dataset_name;1;2;3;4;5;best;gap_1;gap_2;gap_3;gap_4;gap_5
20kroA100_v2_p2;4256;4256;4256;4256;4256;4256;0;0;0;0;0
20kroA100_v3_p1;80;80;80;80;80;80;0;0;0;0;0
20kroA100_v3_p2;4116;4116;4116;4116;4116;4116;0;0;0;0;0
20kroA100_v4_p1;83;83;83;83;83;83;0;0;0;0;0
20kroA100_v4_p2;4256;4256;4256;4256;4256;4256;0;0;0;0;0
20kroB100_v2_p1;80;80;80;80;80;80;0;0;0;0;0
20kroB100_v2_p2;3738;3738;3738;3738;3738;3738;0;0;0;0;0
20kroB100_v3_p1;72;72;72;72;72;72;0;0;0;0;0
20kroB100_v3_p2;3411;3411;3411;3411;3411;3411;0;0;0;0;0
20kroB100_v4_p1;74;74;74;74;74;74;0;0;0;0;0
20kroB100_v4_p2;3482;3482;3482;3482;3482;3482;0;0;0;0;0
20kroC100_v2_p1;75;75;75;75;75;75;0;0;0;0;0
20kroC100_v2_p2;3755;3755;3755;3755;3755;3755;0;0;0;0;0
20kroC100_v3_p1;71;71;71;71;71;71;0;0;0;0;0
20kroC100_v3_p2;3565;3565;3565;3565;3565;3565;0;0;0;0;0
20kroC100_v4_p1;71;71;71;71;71;71;0;0;0;0;0
20kroC100_v4_p2;3565;3565;3565;3565;3565;3565;0;0;0;0;0
20kroD100_v2_p1;75;75;75;75;75;75;0;0;0;0;0
20kroD100_v2_p2;3568;3568;3568;3568;3568;3568;0;0;0;0;0
20kroD100_v3_p1;64;64;64;64;64;64;0;0;0;0;0
20kroD100_v3_p2;3133;3133;3133;3133;3133;3133;0;0;0;0;0
20kroD100_v4_p1;67;67;67;67;67;67;0;0;0;0;0
20kroD100_v4_p2;3379;3379;3379;3379;3379;3379;0;0;0;0;0
20kroE100_v2_p1;66;66;66;66;66;66;0;0;0;0;0
20kroE100_v2_p2;3089;3089;3089;3089;3089;3089;0;0;0;0;0
20kroE100_v3_p1;63;63;63;63;63;63;0;0;0;0;0
20kroE100_v3_p2;2945;2945;2945;2945;2945;2945;0;0;0;0;0
20kroE100_v4_p1;66;66;66;66;66;66;0;0;0;0;0
20kroE100_v4_p2;3089;3089;3089;3089;3089;3089;0;0;0;0;0
20rat99_v2_p1;53;53;53;53;53;53;0;0;0;0;0
20rat99_v2_p2;2776;2776;2776;2776;2776;2776;0;0;0;0;0
20rat99_v3_p1;49;49;49;49;49;49;0;0;0;0;0
20rat99_v3_p2;2508;2508;2508;2508;2508;2508;0;0;0;0;0
20rat99_v4_p1;49;49;49;49;49;49;0;0;0;0;0
20rat99_v4_p2;2508;2508;2508;2508;2508;2508;0;0;0;0;0
20rd100_v2_p1;81;81;81;81;81;81;0;0;0;0;0
20rd100_v2_p2;4053;4060;4053;4053;4053;4060;0,001724138;0;0,001724138;0,001724138;0,001724138
20rd100_v3_p1;67;67;67;67;67;67;0;0;0;0;0
20rd100_v3_p2;3467;3467;3467;3467;3467;3467;0;0;0;0;0
20rd100_v4_p1;67;67;67;67;67;67;0;0;0;0;0
20rd100_v4_p2;3467;3467;3467;3467;3467;3467;0;0;0;0;0
212u1060_v2_p1;1053;1053;1051;1049;1046;1053;0;0;0,001899335;0,00379867;0,006647673
212u1060_v2_p2;53308;53347;53248;53273;53062;53347;0,000731063;0;0,001855774;0,001387145;0,005342381
212u1060_v3_p1;1059;1058;1058;1057;1057;1059;0;0,000944287;0,000944287;0,001888574;0,001888574
212u1060_v3_p2;53523;53504;53517;53456;53437;53523;0;0,000354988;0,000112101;0,001251798;0,001606786
212u1060_v4_p1;1059;1059;1059;1059;1059;1059;0;0;0;0;0
212u1060_v4_p2;53548;53548;53548;53548;53548;53548;0;0;0;0;0
217vm1084_v2_p1;1068;1069;1066;1068;1056;1069;0,000935454;0;0,002806361;0,000935454;0,012160898
217vm1084_v2_p2;54170;54233;54124;53997;54073;54233;0,001161654;0;0,002009846;0,004351594;0,002950233
217vm1084_v3_p1;1083;1083;1083;1083;1082;1083;0;0;0;0;0,000923361
217vm1084_v3_p2;54712;54712;54712;54712;54696;54712;0;0;0;0;0,00029244
217vm1084_v4_p1;1083;1083;1083;1083;1083;1083;0;0;0;0;0
