dataset_name;solution_1;solution_2;solution_3;solution_4;solution_5;solution_6;solution_7;solution_8;solution_9;solution_10;max;gap_1;gap_2;gap_3;gap_4;gap_5;gap_6;gap_7;gap_8;gap_9;gap_10;avg_gap;norm_avg_gap;is_best_1;is_best_2;is_best_3;is_best_4;is_best_5;is_best_6;is_best_7;is_best_8;is_best_9;is_best_10;sum_is_best
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_160_v_3\115rat575_v3_p1.msop;574;574;574;574;574;574;574;574;574;574;574;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_160_v_3\115rat575_v3_p2.msop;29033;29033;29033;29033;29033;29033;29033;29033;29033;29033;29033;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_160_v_3\115u574_v3_p1.msop;573;573;573;573;573;573;573;573;573;573;573;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_160_v_3\115u574_v3_p2.msop;28957;28957;28957;28957;28957;28957;28957;28957;28957;28957;28957;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_160_v_3\11berlin52_v3_p1.msop;51;51;51;51;51;51;51;51;51;51;51;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_160_v_3\11berlin52_v3_p2.msop;2608;2608;2608;2608;2608;2608;2608;2608;2608;2608;2608;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_160_v_3\11eil51_v3_p1.msop;48;48;48;48;48;48;48;48;48;48;48;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_160_v_3\11eil51_v3_p2.msop;2426;2426;2426;2426;2426;2426;2426;2426;2426;2426;2426;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_160_v_3\131p654_v3_p1.msop;653;653;653;653;653;652;653;653;652;653;653;0;0;0;0;0;0,001531394;0;0;0,001531394;0;0,000306279;0,200000131;1;1;1;1;1;0;1;1;0;1;8
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_160_v_3\131p654_v3_p2.msop;32950;32997;32997;32997;32997;32997;32997;32997;32981;32997;32997;0,001424372;0;0;0;0;0;0;0;0,000484893;0;0,000190926;0,134042231;0;1;1;1;1;1;1;1;0;1;8
