dataset_name;solution_1;solution_2;solution_3;solution_4;solution_5;solution_6;solution_7;solution_8;solution_9;solution_10;max;gap_1;gap_2;gap_3;gap_4;gap_5;gap_6;gap_7;gap_8;gap_9;gap_10;avg_gap;norm_avg_gap;is_best_1;is_best_2;is_best_3;is_best_4;is_best_5;is_best_6;is_best_7;is_best_8;is_best_9;is_best_10;sum_is_best
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_100_v_3\115rat575_v3_p1.msop;400;405;403;403;403;401;400;403;399;406;406;0,014778325;0,002463054;0,007389163;0,007389163;0,007389163;0,012315271;0,014778325;0,007389163;0,017241379;0;0,0091133;0,52857141;0;0;0;0;0;0;0;0;0;1;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_100_v_3\115rat575_v3_p2.msop;20462;20238;20212;20080;20505;20120;20510;20364;20364;20058;20510;0,002340322;0,013261824;0,014529498;0,020965383;0,000243784;0,019015115;0;0,007118479;0,007118479;0,02203803;0,010663091;0,483849555;0;0;0;0;0;0;1;0;0;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_100_v_3\115u574_v3_p1.msop;443;443;449;448;449;444;445;446;444;444;449;0,013363029;0,013363029;0;0,002227171;0;0,011135857;0,008908686;0,006681514;0,011135857;0,011135857;0,0077951;0,583333315;0;0;1;0;1;0;0;0;0;0;2
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_100_v_3\115u574_v3_p2.msop;22562;22917;22824;22162;22795;22724;22842;22769;22769;22928;22928;0,015963015;0,000479763;0,004535939;0,033408932;0,005800768;0,008897418;0,003750872;0,006934752;0,006934752;0;0,008670621;0,259530026;0;0;0;0;0;0;0;0;0;1;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_100_v_3\11berlin52_v3_p1.msop;44;44;44;44;44;44;44;44;44;44;44;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_100_v_3\11berlin52_v3_p2.msop;2240;2240;2240;2240;2240;2240;2240;2240;2240;2240;2240;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_100_v_3\11eil51_v3_p1.msop;36;36;36;36;36;36;36;36;36;36;36;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_100_v_3\11eil51_v3_p2.msop;1798;1798;1798;1798;1798;1798;1798;1798;1798;1798;1798;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_100_v_3\131p654_v3_p1.msop;365;365;366;366;366;366;366;366;366;366;366;0,00273224;0,00273224;0;0;0;0;0;0;0;0;0,000546448;0,2;0;0;1;1;1;1;1;1;1;1;8
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_100_v_3\131p654_v3_p2.msop;18532;18532;18543;18540;18537;18543;18537;18543;18537;18543;18543;0,000593216;0,000593216;0;0,000161786;0,000323572;0;0,000323572;0;0,000323572;0;0,000231893;0,390908202;0;0;1;0;0;1;0;1;0;1;4
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_100_v_3\132d657_v3_p1.msop;416;417;418;418;419;413;420;424;426;412;426;0,023474178;0,021126761;0,018779343;0,018779343;0,016431925;0,030516432;0,014084507;0,004694836;0;0,03286385;0,018075117;0,549999985;0;0;0;0;0;0;0;0;1;0;1
