dataset_name;solution_1;solution_2;solution_3;solution_4;solution_5;solution_6;solution_7;solution_8;solution_9;solution_10;max;gap_1;gap_2;gap_3;gap_4;gap_5;gap_6;gap_7;gap_8;gap_9;gap_10;avg_gap;norm_avg_gap;is_best_1;is_best_2;is_best_3;is_best_4;is_best_5;is_best_6;is_best_7;is_best_8;is_best_9;is_best_10;sum_is_best
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_60_v_4\115rat575_v4_p1.msop;152;152;152;152;152;152;152;152;152;152;152;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_60_v_4\115rat575_v4_p2.msop;7775;7775;7775;7775;7861;7775;7775;7775;7775;7775;7861;0,010940084;0,010940084;0,010940084;0,010940084;0;0,010940084;0,010940084;0,010940084;0,010940084;0,010940084;0,009846076;0,900000037;0;0;0;0;1;0;0;0;0;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_60_v_4\115u574_v4_p1.msop;157;157;157;157;157;157;157;157;157;157;157;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_60_v_4\115u574_v4_p2.msop;8013;8025;8013;8013;8013;8013;8013;8025;8025;8013;8025;0,001495327;0;0,001495327;0,001495327;0,001495327;0,001495327;0,001495327;0;0;0,001495327;0,001046729;0,700000067;0;1;0;0;0;0;0;1;1;0;3
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_60_v_4\11berlin52_v4_p1.msop;32;32;32;32;32;32;32;32;32;32;32;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_60_v_4\11berlin52_v4_p2.msop;1557;1557;1557;1557;1557;1557;1557;1557;1557;1557;1557;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_60_v_4\11eil51_v4_p1.msop;22;22;22;22;22;22;22;22;22;22;22;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_60_v_4\11eil51_v4_p2.msop;1279;1279;1279;1279;1279;1279;1279;1279;1279;1279;1279;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_60_v_4\131p654_v4_p1.msop;144;144;144;144;144;144;144;144;144;144;144;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_60_v_4\131p654_v4_p2.msop;7290;7290;7290;7290;7290;7290;7290;7290;7290;7290;7290;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
