dataset_name;solution_1;solution_2;solution_3;solution_4;solution_5;solution_6;solution_7;solution_8;solution_9;solution_10;max;gap_1;gap_2;gap_3;gap_4;gap_5;gap_6;gap_7;gap_8;gap_9;gap_10;avg_gap;norm_avg_gap;is_best_1;is_best_2;is_best_3;is_best_4;is_best_5;is_best_6;is_best_7;is_best_8;is_best_9;is_best_10;sum_is_best
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_3\115rat575_v3_p1.msop;493;501;491;502;497;482;501;493;497;502;502;0,017928287;0,001992032;0,021912351;0;0,009960159;0,039840637;0,001992032;0,017928287;0,009960159;0;0,012151394;0,304999993;0;0;0;1;0;0;0;0;0;1;2
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_3\115rat575_v3_p2.msop;25100;25137;24987;24350;24849;24977;24627;25428;25137;24897;25428;0,012899166;0,011444077;0,017343086;0,042394211;0,022770175;0,017736354;0,031500708;0;0,011444077;0,020882492;0,018841435;0,444434147;0;0;0;0;0;0;0;1;0;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_3\115u574_v3_p1.msop;554;551;548;551;555;555;551;546;552;551;555;0,001801802;0,007207207;0,012612613;0,007207207;0;0;0,007207207;0,016216216;0,005405405;0,007207207;0,006486486;0,399999975;0;0;0;0;1;1;0;0;0;0;2
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_3\115u574_v3_p2.msop;27867;27669;27700;27898;27764;27418;27916;27543;27535;27865;27916;0,001755266;0,008847972;0,007737498;0,000644792;0,005444906;0,017839232;0;0,013361513;0,013648087;0,001826909;0,007110618;0,398594401;0;0;0;0;0;0;1;0;0;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_3\11berlin52_v3_p1.msop;44;44;44;44;44;44;44;44;44;44;44;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_3\11berlin52_v3_p2.msop;2240;2240;2240;2240;2240;2240;2240;2240;2240;2240;2240;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_3\11eil51_v3_p1.msop;45;45;45;45;45;45;45;45;45;45;45;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_3\11eil51_v3_p2.msop;2218;2218;2218;2218;2218;2218;2218;2218;2218;2218;2218;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_3\131p654_v3_p1.msop;506;506;506;506;506;506;506;507;506;506;507;0,001972387;0,001972387;0,001972387;0,001972387;0,001972387;0,001972387;0,001972387;0;0,001972387;0,001972387;0,001775148;0,899999848;0;0;0;0;0;0;0;1;0;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_3\131p654_v3_p2.msop;25627;25648;25648;25638;25648;25642;25648;25635;25627;25652;25652;0,000974583;0,000155933;0,000155933;0,000545766;0,000155933;0,000389833;0,000155933;0,000662716;0,000974583;0;0,000417121;0,427999462;0;0;0;0;0;0;0;0;0;1;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_3\132d657_v3_p1.msop;561;566;568;567;563;560;564;564;565;561;568;0,012323944;0,003521127;0;0,001760563;0,008802817;0,014084507;0,007042254;0,007042254;0,00528169;0,012323944;0,00721831;0,512500012;0;0;1;0;0;0;0;0;0;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_3\132d657_v3_p2.msop;28773;28718;28520;28718;28860;28675;28801;28745;28473;28879;28879;0,003670487;0,005574985;0,012431178;0,005574985;0,000657918;0,007063957;0,002700925;0,00464005;0,014058659;0;0,005637314;0,400985186;0;0;0;0;0;0;0;0;0;1;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_3\145u724_v3_p1.msop;680;696;692;701;692;685;705;688;687;675;705;0,035460993;0,012765957;0,018439716;0,005673759;0,018439716;0,028368794;0;0,024113475;0,025531915;0,042553191;0,021134752;0,496666678;0;0;0;0;0;0;1;0;0;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_3\145u724_v3_p2.msop;35154;35730;35031;35513;34880;35290;34401;35307;33783;34131;35730;0,016120907;0;0,019563392;0,006073328;0,023789533;0,012314582;0,037195634;0,011838791;0,054492024;0,044752309;0,02261405;0,414997432;0;1;0;0;0;0;0;0;0;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_3\14st70_v3_p1.msop;49;49;49;49;49;49;49;49;49;49;49;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_3\14st70_v3_p2.msop;2499;2499;2499;2499;2499;2499;2499;2499;2499;2499;2499;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_3\157rat783_v3_p1.msop;726;699;719;739;725;727;723;725;724;708;739;0,01759134;0,054127199;0,027063599;0;0,01894452;0,01623816;0,02165088;0,01894452;0,0202977;0,041948579;0,02368065;0,437500008;0;0;0;1;0;0;0;0;0;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_3\157rat783_v3_p2.msop;37140;37269;36837;37549;37551;36852;36644;36888;36770;37393;37551;0,010945115;0,007509787;0,019014141;5,33E-05;0;0,018614684;0,024153817;0,017655988;0,020798381;0,004207611;0,012295278;0,509040786;0;0;0;0;1;0;0;0;0;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_3\16eil76_v3_p1.msop;60;60;60;60;60;60;60;60;60;60;60;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_3\16eil76_v3_p2.msop;3137;3116;3137;3137;3137;3137;3137;3137;3137;3137;3137;0;0,006694294;0;0;0;0;0;0;0;0;0,000669429;0,09999994;1;0;1;1;1;1;1;1;1;1;9
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_3\16pr76_v3_p1.msop;63;63;63;63;63;63;63;63;63;63;63;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_3\16pr76_v3_p2.msop;3250;3250;3250;3250;3250;3250;3250;3250;3250;3250;3250;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_3\201pr1002_v3_p1.msop;987;989;985;983;982;987;986;988;987;984;989;0,002022245;0;0,004044489;0,006066734;0,007077856;0,002022245;0,003033367;0,001011122;0,002022245;0,005055612;0,003235592;0,457142954;0;1;0;0;0;0;0;0;0;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_3\201pr1002_v3_p2.msop;49568;49650;50091;49649;49736;49971;49910;49926;50197;50054;50197;0,012530629;0,010897066;0,00211168;0,010916987;0,009183816;0,004502261;0,005717473;0,005398729;0;0,002848776;0,006410742;0,511605762;0;0;0;0;0;0;0;0;1;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_3\20kroA100_v3_p1.msop;80;80;79;80;80;80;77;80;80;77;80;0;0;0,0125;0;0;0;0,0375;0;0;0,0375;0,00875;0,233333333;1;1;0;1;1;1;0;1;1;0;7
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_3\20kroA100_v3_p2.msop;4116;4116;4116;4116;4086;4116;4116;4116;4086;4086;4116;0;0;0;0;0,00728863;0;0;0;0,00728863;0,00728863;0,002186589;0,3;1;1;1;1;0;1;1;1;0;0;7
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_3\20kroB100_v3_p1.msop;72;72;72;72;72;72;71;72;72;71;72;0;0;0;0;0;0;0,013888889;0;0;0,013888889;0,002777778;0,200000014;1;1;1;1;1;1;0;1;1;0;8
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_3\20kroB100_v3_p2.msop;3366;3366;3366;3366;3366;3366;3366;3366;3366;3366;3366;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_3\20kroC100_v3_p1.msop;71;71;71;71;71;71;71;71;71;71;71;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_3\20kroC100_v3_p2.msop;3565;3565;3565;3565;3565;3565;3565;3565;3565;3565;3565;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_3\20kroD100_v3_p1.msop;64;64;64;64;64;64;64;64;64;64;64;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_3\20kroD100_v3_p2.msop;3133;3133;3133;3133;3133;3133;3133;3133;3133;3133;3133;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_3\20kroE100_v3_p1.msop;63;63;63;63;63;63;63;63;63;63;63;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_3\20kroE100_v3_p2.msop;2945;2945;2945;2945;2945;2945;2945;2945;2945;2945;2945;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_3\20rat99_v3_p1.msop;49;49;49;49;49;49;49;49;49;49;49;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_3\20rat99_v3_p2.msop;2508;2508;2508;2508;2508;2508;2508;2508;2508;2508;2508;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_3\20rd100_v3_p1.msop;67;67;67;67;67;67;67;67;67;67;67;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_3\20rd100_v3_p2.msop;3467;3467;3467;3467;3467;3467;3467;3467;3467;3467;3467;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_3\212u1060_v3_p1.msop;1056;1055;1055;1055;1057;1057;1056;1056;1055;1056;1057;0,000946074;0,001892148;0,001892148;0,001892148;0;0;0,000946074;0,000946074;0,001892148;0,000946074;0,001135289;0,600000106;0;0;0;0;1;1;0;0;0;0;2
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_3\212u1060_v3_p2.msop;53383;53450;53416;53398;53437;53451;53389;53437;53424;53437;53451;0,001272193;1,87E-05;0,000654805;0,000991562;0,000261922;0;0,001159941;0,000261922;0,000505136;0,000261922;0,000538811;0,423529292;0;0;0;0;0;1;0;0;0;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_3\217vm1084_v3_p1.msop;1082;1081;1082;1081;1082;1082;1081;1080;1081;1082;1082;0;0,000924214;0;0,000924214;0;0;0,000924214;0,001848429;0,000924214;0;0,000554529;0,300000162;1;0;1;0;1;1;0;0;0;1;5
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_3\217vm1084_v3_p2.msop;54704;54688;54614;54704;54696;54712;54708;54712;54712;54697;54712;0,00014622;0,000438661;0,001791198;0,00014622;0,00029244;0;7,31E-05;0;0;0,000274163;0,000316201;0,176530456;0;0;0;0;0;1;0;1;1;0;3
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_3\21eil101_v3_p1.msop;90;90;90;90;90;90;90;90;90;90;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_3\21eil101_v3_p2.msop;4672;4672;4672;4672;4672;4672;4672;4672;4672;4672;4672;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_3\21lin105_v3_p1.msop;59;59;59;59;59;59;59;59;59;59;59;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_3\21lin105_v3_p2.msop;3011;3011;3011;3011;3011;3011;3011;3011;3011;3011;3011;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_3\22pr107_v3_p1.msop;41;41;41;41;41;41;41;41;41;41;41;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_3\22pr107_v3_p2.msop;2123;2123;2123;2123;2123;2123;2123;2123;2123;2123;2123;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_3\25pr124_v3_p1.msop;90;90;90;90;90;90;90;90;90;90;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
