dataset_name;solution_1;solution_2;solution_3;solution_4;solution_5;solution_6;solution_7;solution_8;solution_9;solution_10;max;gap_1;gap_2;gap_3;gap_4;gap_5;gap_6;gap_7;gap_8;gap_9;gap_10;avg_gap;norm_avg_gap;is_best_1;is_best_2;is_best_3;is_best_4;is_best_5;is_best_6;is_best_7;is_best_8;is_best_9;is_best_10;sum_is_best
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_60_v_2\115rat575_v2_p1.msop;291;304;304;297;295;306;300;306;299;306;306;0,049019608;0,006535948;0,006535948;0,029411765;0,035947712;0;0,019607843;0;0,022875817;0;0,016993464;0,346666664;0;0;0;0;0;1;0;1;0;1;3
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_60_v_2\115rat575_v2_p2.msop;14969;15172;15231;14815;14862;14832;15324;15270;14943;15234;15324;0,023166275;0,009919081;0,006068912;0,033215871;0,030148786;0,0321065;0;0,003523884;0,02486296;0,00587314;0,016888541;0,508447934;0;0;0;0;0;0;1;0;0;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_60_v_2\115u574_v2_p1.msop;320;318;319;320;320;317;318;319;314;318;320;0;0,00625;0,003125;0;0;0,009375;0,00625;0,003125;0,01875;0,00625;0,0053125;0,283333333;1;0;0;1;1;0;0;0;0;0;3
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_60_v_2\115u574_v2_p2.msop;16080;16291;16323;16210;16184;16300;16404;16194;16252;16213;16404;0,01975128;0,006888564;0,00493782;0,011826384;0,013411363;0,006339917;0;0,012801756;0,009266033;0,011643502;0,009686662;0,490432114;0;0;0;0;0;0;1;0;0;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_60_v_2\11berlin52_v2_p1.msop;40;40;40;40;40;40;40;40;40;40;40;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_60_v_2\11berlin52_v2_p2.msop;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_60_v_2\11eil51_v2_p1.msop;28;28;28;28;28;28;28;28;28;28;28;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_60_v_2\11eil51_v2_p2.msop;1466;1466;1466;1466;1466;1466;1466;1466;1466;1466;1466;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_60_v_2\131p654_v2_p1.msop;323;324;325;323;323;324;324;324;324;323;325;0,006153846;0,003076923;0;0,006153846;0,006153846;0,003076923;0,003076923;0,003076923;0,003076923;0,006153846;0,004;0,650000016;0;0;1;0;0;0;0;0;0;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_60_v_2\131p654_v2_p2.msop;16436;16476;16433;16476;16433;16415;16476;16436;16415;16450;16476;0,002427774;0;0,002609857;0;0,002609857;0,003702355;0;0,002427774;0,003702355;0,001578053;0,001905802;0,514753988;0;1;0;1;0;0;1;0;0;0;3
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_60_v_2\132d657_v2_p1.msop;305;300;300;303;305;300;301;306;303;299;306;0,003267974;0,019607843;0,019607843;0,009803922;0,003267974;0,019607843;0,016339869;0;0,009803922;0,022875817;0,012418301;0,542857158;0;0;0;0;0;0;0;1;0;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_60_v_2\132d657_v2_p2.msop;15049;15020;15194;15157;15157;15046;15063;15051;14933;15085;15194;0,009543241;0,011451889;0;0,002435172;0,002435172;0,009740687;0,008621824;0,00941161;0,017177833;0,007173884;0,007799131;0,454022984;0;0;1;0;0;0;0;0;0;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_60_v_2\145u724_v2_p1.msop;380;380;380;384;389;384;384;377;371;378;389;0,023136247;0,023136247;0,023136247;0,01285347;0;0,01285347;0,01285347;0,030848329;0,046272494;0,028277635;0,021336761;0,461111108;0;0;0;0;1;0;0;0;0;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_60_v_2\145u724_v2_p2.msop;19703;19820;19712;19812;19787;19562;19656;19771;19678;19814;19820;0,005903128;0;0,005449041;0,000403633;0,001664985;0,013017154;0,00827447;0,00247225;0,00716448;0,000302725;0,004465187;0,343023291;0;1;0;0;0;0;0;0;0;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_60_v_2\14st70_v2_p1.msop;33;33;33;33;33;33;33;33;33;33;33;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_60_v_2\14st70_v2_p2.msop;1672;1672;1672;1672;1672;1672;1672;1672;1672;1672;1672;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_60_v_2\157rat783_v2_p1.msop;396;402;413;416;417;428;407;422;410;418;428;0,074766355;0,060747664;0,035046729;0,028037383;0,025700935;0;0,049065421;0,014018692;0,042056075;0,023364486;0,035280374;0,471875003;0;0;0;0;0;1;0;0;0;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_60_v_2\157rat783_v2_p2.msop;22150;22233;22452;22398;22241;21474;22033;22060;22196;22132;22452;0,013450918;0,009754142;0;0,002405131;0,009397826;0,043559594;0,018662035;0,017459469;0,011402102;0,014252628;0,014034384;0,322188127;0;0;1;0;0;0;0;0;0;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_60_v_2\16eil76_v2_p1.msop;45;45;45;45;45;45;45;45;45;45;45;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_60_v_2\16eil76_v2_p2.msop;2494;2494;2494;2494;2494;2494;2494;2494;2494;2494;2494;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_60_v_2\16pr76_v2_p1.msop;41;41;41;41;41;41;41;41;41;41;41;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_60_v_2\16pr76_v2_p2.msop;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_60_v_2\201pr1002_v2_p1.msop;633;643;640;637;607;648;639;634;629;640;648;0,023148148;0,007716049;0,012345679;0,016975309;0,063271605;0;0,013888889;0,021604938;0,029320988;0,012345679;0,020061728;0,317073164;0;0;0;0;0;1;0;0;0;0;1
