dataset_name;solution_1;solution_2;solution_3;solution_4;solution_5;solution_6;solution_7;solution_8;solution_9;solution_10;max;gap_1;gap_2;gap_3;gap_4;gap_5;gap_6;gap_7;gap_8;gap_9;gap_10;avg_gap;norm_avg_gap;is_best_1;is_best_2;is_best_3;is_best_4;is_best_5;is_best_6;is_best_7;is_best_8;is_best_9;is_best_10;sum_is_best
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_80_v_2\115rat575_v2_p1.msop;410;404;403;406;394;415;413;398;404;411;415;0,012048193;0,026506024;0,028915663;0,021686747;0,05060241;0;0,004819277;0,040963855;0,026506024;0,009638554;0,022168675;0,438095241;0;0;0;0;0;1;0;0;0;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_80_v_2\115rat575_v2_p2.msop;20944;20640;20823;20631;20218;20715;20582;20977;19993;20737;20977;0,001573152;0,016065214;0,007341374;0,016494256;0,036182486;0,01248987;0,018830147;0;0,046908519;0,011441102;0,016732612;0,356707318;0;0;0;0;0;0;0;1;0;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_80_v_2\115u574_v2_p1.msop;468;455;471;471;470;454;452;460;462;467;471;0,006369427;0,033970276;0;0;0,002123142;0,036093418;0,040339703;0,023354565;0,01910828;0,008492569;0,016985138;0,421052629;0;0;1;1;0;0;0;0;0;0;2
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_80_v_2\115u574_v2_p2.msop;23655;22876;22764;23861;22730;23038;23010;23200;23515;23321;23861;0,008633335;0,041280751;0,045974603;0;0,047399522;0,03449143;0,035664893;0,027702108;0,01450065;0,022631072;0,027827836;0,587091068;0;0;0;1;0;0;0;0;0;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_80_v_2\11berlin52_v2_p1.msop;41;41;41;41;41;41;41;41;41;41;41;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_80_v_2\11berlin52_v2_p2.msop;2046;2046;2046;2046;2046;2046;2046;2046;2046;2046;2046;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_80_v_2\11eil51_v2_p1.msop;36;36;35;36;35;35;35;35;36;36;36;0;0;0,027777778;0;0,027777778;0,027777778;0,027777778;0,027777778;0;0;0,013888889;0,5;1;1;0;1;0;0;0;0;1;1;5
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_80_v_2\11eil51_v2_p2.msop;1789;1789;1798;1789;1789;1789;1737;1789;1789;1737;1798;0,005005562;0,005005562;0;0,005005562;0,005005562;0,005005562;0,033926585;0,005005562;0,005005562;0,033926585;0,01028921;0,303278682;0;0;1;0;0;0;0;0;0;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_80_v_2\131p654_v2_p1.msop;460;460;460;457;460;459;457;459;460;460;460;0;0;0;0,006521739;0;0,002173913;0,006521739;0,002173913;0;0;0,00173913;0,266666605;1;1;1;0;1;0;0;0;1;1;6
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_80_v_2\131p654_v2_p2.msop;23312;23312;23312;23300;23312;23305;23300;23300;23312;23312;23312;0;0;0;0,000514756;0;0,000300275;0,000514756;0,000514756;0;0;0,000184454;0,35833288;1;1;1;0;1;0;0;0;1;1;6
