dataset_name;solution_1;solution_2;solution_3;solution_4;solution_5;solution_6;solution_7;solution_8;solution_9;solution_10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\115rat575_v2_p1.msop;574;574;574;574;574;574;574;574;574;574
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\115rat575_v2_p2.msop;29033;29033;29033;29033;29033;29033;29033;29033;29033;29033
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\115u574_v2_p1.msop;573;573;573;573;573;573;573;573;573;573
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\115u574_v2_p2.msop;28957;28957;28957;28957;28957;28957;28957;28957;28957;28957
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\11berlin52_v2_p1.msop;51;51;51;51;51;51;51;51;51;51
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\11berlin52_v2_p2.msop;2608;2608;2608;2608;2608;2608;2608;2608;2608;2608
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\11eil51_v2_p1.msop;50;50;50;50;50;50;50;50;50;50
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\11eil51_v2_p2.msop;2575;2575;2575;2575;2575;2575;2575;2575;2575;2575
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\131p654_v2_p1.msop;653;653;653;653;653;653;653;653;653;653
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\131p654_v2_p2.msop;32997;32997;32997;32997;32997;32997;32997;32997;32997;32997
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\132d657_v2_p1.msop;656;656;656;656;656;656;656;656;656;656
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\132d657_v2_p2.msop;33188;33188;33188;33188;33188;33188;33188;33188;33188;33188
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\145u724_v2_p1.msop;723;723;723;723;723;723;723;723;723;723
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\145u724_v2_p2.msop;36532;36532;36532;36532;36532;36532;36532;36532;36532;36532
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\14st70_v2_p1.msop;69;69;69;69;69;69;69;69;69;69
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\14st70_v2_p2.msop;3513;3513;3513;3513;3513;3513;3513;3513;3513;3513
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\157rat783_v2_p1.msop;782;782;782;782;782;782;782;782;782;782
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\157rat783_v2_p2.msop;39517;39517;39517;39517;39517;39517;39517;39517;39517;39517
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\16eil76_v2_p1.msop;75;75;75;75;75;75;75;75;75;75
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\16eil76_v2_p2.msop;3800;3800;3800;3800;3800;3800;3800;3800;3800;3800
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\16pr76_v2_p1.msop;75;75;75;75;75;75;75;75;75;75
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\16pr76_v2_p2.msop;3800;3800;3800;3800;3800;3800;3800;3800;3800;3800
