dataset_name;solution_1;solution_2;solution_3;solution_4;solution_5;solution_6;solution_7;solution_8;solution_9;solution_10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\201pr1002_v2_p1.msop;1001;1001;1001;1001;1001;1001;1001;1001;1001;1001
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\201pr1002_v2_p2.msop;50583;50583;50583;50583;50583;50583;50583;50583;50583;50583
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\20kroA100_v2_p1.msop;99;99;99;99;99;99;99;99;99;99
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\20kroA100_v2_p2.msop;5008;5008;5008;5008;5008;5008;5008;5008;5008;5008
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\20kroB100_v2_p1.msop;99;99;99;99;99;99;99;99;99;99
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\20kroB100_v2_p2.msop;5008;5008;5008;5008;5008;5008;5008;5008;5008;5008
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\20kroC100_v2_p1.msop;99;99;99;99;99;99;99;99;99;99
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\20kroC100_v2_p2.msop;5008;5008;5008;5008;5008;5008;5008;5008;5008;5008
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\20kroD100_v2_p1.msop;99;99;99;99;99;99;99;99;99;99
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\20kroD100_v2_p2.msop;5008;5008;5008;5008;5008;5008;5008;5008;5008;5008
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\20kroE100_v2_p1.msop;99;99;99;99;99;99;99;99;99;99
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\20kroE100_v2_p2.msop;5008;5008;5008;5008;5008;5008;5008;5008;5008;5008
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\20rat99_v2_p1.msop;98;98;98;98;98;98;98;98;98;98
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\20rat99_v2_p2.msop;5007;5007;5007;5007;5007;5007;5007;5007;5007;5007
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\20rd100_v2_p1.msop;99;99;99;99;99;99;99;99;99;99
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\20rd100_v2_p2.msop;5008;5008;5008;5008;5008;5008;5008;5008;5008;5008
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\212u1060_v2_p1.msop;1059;1059;1059;1059;1059;1059;1059;1059;1059;1059
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\212u1060_v2_p2.msop;53548;53548;53548;53548;53548;53548;53548;53548;53548;53548
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\217vm1084_v2_p1.msop;1083;1083;1083;1083;1083;1083;1083;1083;1083;1083
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\217vm1084_v2_p2.msop;54712;54712;54712;54712;54712;54712;54712;54712;54712;54712
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\21eil101_v2_p1.msop;100;100;100;100;100;100;100;100;100;100
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\21eil101_v2_p2.msop;5050;5050;5050;5050;5050;5050;5050;5050;5050;5050
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\21lin105_v2_p1.msop;104;104;104;104;104;104;104;104;104;104
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\21lin105_v2_p2.msop;5228;5228;5228;5228;5228;5228;5228;5228;5228;5228
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\22pr107_v2_p1.msop;106;106;106;106;106;106;106;106;106;106
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\22pr107_v2_p2.msop;5363;5363;5363;5363;5363;5363;5363;5363;5363;5363
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\25pr124_v2_p1.msop;123;123;123;123;123;123;123;123;123;123
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\25pr124_v2_p2.msop;6232;6232;6232;6232;6232;6232;6232;6232;6232;6232
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\26bier127_v2_p1.msop;126;126;126;126;126;126;126;126;126;126
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\26bier127_v2_p2.msop;6333;6333;6333;6333;6333;6333;6333;6333;6333;6333
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\26ch130_v2_p1.msop;129;129;129;129;129;129;129;129;129;129
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\26ch130_v2_p2.msop;6503;6503;6503;6503;6503;6503;6503;6503;6503;6503
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\28pr136_v2_p1.msop;135;135;135;135;135;135;135;135;135;135
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\28pr136_v2_p2.msop;6850;6850;6850;6850;6850;6850;6850;6850;6850;6850
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\29pr144_v2_p1.msop;143;143;143;143;143;143;143;143;143;143
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\29pr144_v2_p2.msop;7242;7242;7242;7242;7242;7242;7242;7242;7242;7242
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\30ch150_v2_p1.msop;149;149;149;149;149;149;149;149;149;149
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\30ch150_v2_p2.msop;7533;7533;7533;7533;7533;7533;7533;7533;7533;7533
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\30kroA150_v2_p1.msop;149;149;149;149;149;149;149;149;149;149
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\30kroA150_v2_p2.msop;7533;7533;7533;7533;7533;7533;7533;7533;7533;7533
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\30kroB150_v2_p1.msop;149;149;149;149;149;149;149;149;149;149
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\30kroB150_v2_p2.msop;7533;7533;7533;7533;7533;7533;7533;7533;7533;7533
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\31pr152_v2_p1.msop;151;151;151;151;151;151;151;151;151;151
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\31pr152_v2_p2.msop;7658;7658;7658;7658;7658;7658;7658;7658;7658;7658
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\32u159_v2_p1.msop;158;158;158;158;158;158;158;158;158;158
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\32u159_v2_p2.msop;8037;8037;8037;8037;8037;8037;8037;8037;8037;8037
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\39rat195_v2_p1.msop;194;194;194;194;194;194;194;194;194;194
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\39rat195_v2_p2.msop;9863;9863;9863;9863;9863;9863;9863;9863;9863;9863
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\40d198_v2_p1.msop;197;197;197;197;197;197;197;197;197;197
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\40d198_v2_p2.msop;9997;9997;9997;9997;9997;9997;9997;9997;9997;9997
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\40kroa200_v2_p1.msop;199;199;199;199;199;199;199;199;199;199
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\40kroa200_v2_p2.msop;10058;10058;10058;10058;10058;10058;10058;10058;10058;10058
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\40krob200_v2_p1.msop;199;199;199;199;199;199;199;199;199;199
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\40krob200_v2_p2.msop;10058;10058;10058;10058;10058;10058;10058;10058;10058;10058
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\45ts225_v2_p1.msop;224;224;224;224;224;224;224;224;224;224
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\45ts225_v2_p2.msop;11308;11308;11308;11308;11308;11308;11308;11308;11308;11308
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\45tsp225_v2_p1.msop;224;224;224;224;224;224;224;224;224;224
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\45tsp225_v2_p2.msop;11308;11308;11308;11308;11308;11308;11308;11308;11308;11308
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\46pr226_v2_p1.msop;225;225;225;225;225;225;225;225;225;225
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\46pr226_v2_p2.msop;11375;11375;11375;11375;11375;11375;11375;11375;11375;11375
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\53gil262_v2_p1.msop;261;261;261;261;261;261;261;261;261;261
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\53gil262_v2_p2.msop;13193;13193;13193;13193;13193;13193;13193;13193;13193;13193
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\53pr264_v2_p1.msop;263;263;263;263;263;263;263;263;263;263
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\53pr264_v2_p2.msop;13302;13302;13302;13302;13302;13302;13302;13302;13302;13302
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\56a280_v2_p1.msop;279;279;279;279;279;279;279;279;279;279
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\56a280_v2_p2.msop;14178;14178;14178;14178;14178;14178;14178;14178;14178;14178
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\60pr299_v2_p1.msop;298;298;298;298;298;298;298;298;298;298
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\60pr299_v2_p2.msop;15107;15107;15107;15107;15107;15107;15107;15107;15107;15107
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\64lin318_v2_p1.msop;317;317;317;317;317;317;317;317;317;317
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\64lin318_v2_p2.msop;16037;16037;16037;16037;16037;16037;16037;16037;16037;16037
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\80rd400_v2_p1.msop;399;399;399;399;399;399;399;399;399;399
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\80rd400_v2_p2.msop;20158;20158;20158;20158;20158;20158;20158;20158;20158;20158
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\84fl417_v2_p1.msop;416;416;416;416;416;416;416;416;416;416
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\84fl417_v2_p2.msop;21048;21048;21048;21048;21048;21048;21048;21048;21048;21048
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\88pr439_v2_p1.msop;438;438;438;438;438;438;438;438;438;438
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\88pr439_v2_p2.msop;22177;22177;22177;22177;22177;22177;22177;22177;22177;22177
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\89pcb442_v2_p1.msop;441;441;441;441;441;441;441;441;441;441
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\89pcb442_v2_p2.msop;22323;22323;22323;22323;22323;22323;22323;22323;22323;22323
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\99d493_v2_p1.msop;492;492;492;492;492;492;492;492;492;492
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_2\99d493_v2_p2.msop;24862;24862;24862;24862;24862;24862;24862;24862;24862;24862
