dataset_name;solution_1;solution_2;solution_3;solution_4;solution_5;solution_6;solution_7;solution_8;solution_9;solution_10;max;gap_1;gap_2;gap_3;gap_4;gap_5;gap_6;gap_7;gap_8;gap_9;gap_10;avg_gap;norm_avg_gap;is_best_1;is_best_2;is_best_3;is_best_4;is_best_5;is_best_6;is_best_7;is_best_8;is_best_9;is_best_10;sum_is_best
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_100_v_4\115rat575_v4_p1.msop;323;323;323;323;323;322;322;322;323;323;323;0;0;0;0;0;0,003095975;0,003095975;0,003095975;0;0;0,000928793;0,300000162;1;1;1;1;1;0;0;0;1;1;7
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_100_v_4\115rat575_v4_p2.msop;16355;16271;16355;16593;16593;16408;16257;16355;16268;16472;16593;0,014343398;0,019405774;0,014343398;0;0;0,01114928;0,020249503;0,014343398;0,019586573;0,007292232;0,012071355;0,596130927;0;0;0;1;1;0;0;0;0;0;2
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_100_v_4\115u574_v4_p1.msop;347;347;348;346;346;347;345;347;346;346;348;0,002873563;0,002873563;0;0,005747126;0,005747126;0,002873563;0,00862069;0,002873563;0,005747126;0,005747126;0,004310345;0,5;0;0;1;0;0;0;0;0;0;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_100_v_4\115u574_v4_p2.msop;17548;17578;17515;17718;17595;17470;17548;17562;17718;17548;17718;0,009594762;0,007901569;0,011457275;0;0,006942093;0,013997065;0,009594762;0,008804605;0;0,009594762;0,007788689;0,556451585;0;0;0;1;0;0;0;0;1;0;2
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_100_v_4\11berlin52_v4_p1.msop;37;37;37;37;37;37;37;37;37;37;37;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_100_v_4\11berlin52_v4_p2.msop;1829;1829;1829;1829;1829;1829;1829;1829;1829;1829;1829;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_100_v_4\11eil51_v4_p1.msop;32;32;32;32;32;32;32;32;32;32;32;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_100_v_4\11eil51_v4_p2.msop;1624;1624;1624;1624;1624;1624;1624;1624;1624;1624;1624;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_100_v_4\131p654_v4_p1.msop;209;209;209;209;209;209;209;209;209;209;209;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_100_v_4\131p654_v4_p2.msop;10588;10588;10588;10588;10588;10588;10588;10588;10588;10588;10588;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
