dataset_name;solution_1;solution_2;solution_3;solution_4;solution_5;solution_6;solution_7;solution_8;solution_9;solution_10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\115rat575_v3_p1.msop;574;574;574;574;574;574;574;574;574;574
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\115rat575_v3_p2.msop;29033;29033;29033;29033;29033;29033;29033;29033;29033;29033
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\115u574_v3_p1.msop;573;573;573;573;573;573;573;573;573;573
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\115u574_v3_p2.msop;28957;28957;28957;28957;28957;28957;28957;28957;28957;28957
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\11berlin52_v3_p1.msop;51;51;51;51;51;51;51;51;51;51
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\11berlin52_v3_p2.msop;2608;2608;2608;2608;2608;2608;2608;2608;2608;2608
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\11eil51_v3_p1.msop;50;50;50;50;50;50;50;50;50;50
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\11eil51_v3_p2.msop;2575;2575;2575;2575;2575;2575;2575;2426;2575;2575
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\131p654_v3_p1.msop;653;653;653;653;653;653;653;653;653;653
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\131p654_v3_p2.msop;32997;32997;32997;32997;32997;32997;32997;32997;32997;32997
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\132d657_v3_p1.msop;656;656;656;656;656;656;656;656;656;656
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\132d657_v3_p2.msop;33188;33188;33188;33188;33188;33188;33188;33188;33188;33188
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\145u724_v3_p1.msop;723;723;723;723;723;723;723;723;723;723
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\145u724_v3_p2.msop;36532;36532;36532;36532;36532;36532;36532;36532;36532;36532
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\14st70_v3_p1.msop;65;65;65;65;65;65;65;65;65;65
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\14st70_v3_p2.msop;3254;3254;3254;3254;3254;3254;3254;3254;3254;3254
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\157rat783_v3_p1.msop;782;782;782;782;782;782;782;782;782;782
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\157rat783_v3_p2.msop;39517;39517;39517;39517;39517;39517;39517;39517;39517;39517
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\16eil76_v3_p1.msop;74;74;74;74;74;74;74;74;74;74
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\16eil76_v3_p2.msop;3780;3780;3780;3780;3780;3780;3780;3780;3780;3780
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\16pr76_v3_p1.msop;75;74;75;75;75;75;75;75;75;75
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\16pr76_v3_p2.msop;3800;3800;3800;3800;3800;3800;3800;3800;3800;3800
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\201pr1002_v3_p1.msop;1001;1001;1001;1001;1001;1001;1001;1001;1001;1001
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\201pr1002_v3_p2.msop;50583;50583;50583;50583;50583;50583;50583;50583;50583;50583
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\20kroA100_v3_p1.msop;99;99;99;99;99;99;99;99;99;99
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\20kroA100_v3_p2.msop;5008;5008;5008;5008;5008;5008;5008;5008;5008;5008
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\20kroB100_v3_p1.msop;98;98;98;98;98;98;98;98;98;98
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\20kroB100_v3_p2.msop;4916;4916;4800;4916;4916;4916;4916;4916;4916;4916
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\20kroC100_v3_p1.msop;99;99;99;99;99;99;99;99;99;99
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\20kroC100_v3_p2.msop;5008;5008;5008;5008;5008;5008;5008;5008;5008;5008
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\20kroD100_v3_p1.msop;93;93;93;93;93;93;93;93;93;93
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\20kroD100_v3_p2.msop;4838;4838;4838;4838;4838;4838;4838;4838;4838;4838
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\20kroE100_v3_p1.msop;82;82;82;82;82;82;82;82;82;82
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\20kroE100_v3_p2.msop;3955;3955;3955;3955;3955;3955;3955;3955;3955;3955
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\20rat99_v3_p1.msop;71;71;71;71;71;71;71;71;71;71
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\20rat99_v3_p2.msop;3611;3611;3611;3611;3611;3611;3611;3611;3611;3611
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\20rd100_v3_p1.msop;99;99;99;99;99;99;99;99;99;99
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\20rd100_v3_p2.msop;5008;5008;5008;5008;5008;5008;5008;5008;5008;5008
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\212u1060_v3_p1.msop;1059;1059;1059;1059;1059;1059;1059;1059;1059;1059
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\212u1060_v3_p2.msop;53548;53548;53548;53548;53548;53548;53548;53548;53548;53548
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\217vm1084_v3_p1.msop;1083;1083;1083;1083;1083;1083;1083;1083;1083;1083
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\217vm1084_v3_p2.msop;54712;54712;54712;54712;54712;54712;54712;54712;54712;54712
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\21eil101_v3_p1.msop;100;100;100;100;100;100;100;100;100;100
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\21eil101_v3_p2.msop;5050;5050;5050;5050;5050;5050;5050;5050;5050;5050
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\21lin105_v3_p1.msop;90;90;90;90;90;90;90;90;90;90
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\21lin105_v3_p2.msop;4561;4561;4561;4561;4561;4561;4561;4561;4561;4561
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\22pr107_v3_p1.msop;77;77;77;77;77;77;77;77;77;77
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\22pr107_v3_p2.msop;3877;3877;3877;3877;3877;3877;3877;3877;3877;3877
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\25pr124_v3_p1.msop;121;121;121;121;121;121;121;121;121;121
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\25pr124_v3_p2.msop;6158;6158;6158;6158;6158;6158;6158;6158;6158;6158
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\26bier127_v3_p1.msop;126;126;126;126;126;126;126;126;126;126
