dataset_name;solution_1;solution_2;solution_3;solution_4;solution_5;solution_6;solution_7;solution_8;solution_9;solution_10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\26bier127_v3_p2.msop;6333;6333;6333;6333;6333;6333;6333;6333;6333;6333
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\26ch130_v3_p1.msop;129;129;129;129;129;129;129;129;129;129
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\26ch130_v3_p2.msop;6503;6503;6503;6503;6503;6503;6503;6503;6503;6503
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\28pr136_v3_p1.msop;135;135;135;135;135;135;135;135;135;135
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\28pr136_v3_p2.msop;6850;6850;6850;6850;6850;6850;6850;6850;6850;6850
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\29pr144_v3_p1.msop;143;143;143;143;143;143;143;143;143;143
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\29pr144_v3_p2.msop;7242;7242;7242;7242;7242;7242;7242;7242;7242;7242
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\30ch150_v3_p1.msop;149;149;149;149;149;149;149;149;149;149
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\30ch150_v3_p2.msop;7533;7533;7533;7533;7533;7533;7533;7533;7533;7533
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\30kroA150_v3_p1.msop;149;149;149;149;149;149;149;149;149;149
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\30kroA150_v3_p2.msop;7533;7533;7533;7533;7533;7533;7533;7533;7533;7533
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\30kroB150_v3_p1.msop;149;149;149;149;149;149;149;149;149;149
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\30kroB150_v3_p2.msop;7533;7533;7533;7533;7533;7533;7533;7533;7533;7533
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\31pr152_v3_p1.msop;142;142;142;142;142;142;142;142;142;142
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\31pr152_v3_p2.msop;7157;7157;7157;7157;7157;7157;7157;7157;7157;7157
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\32u159_v3_p1.msop;158;157;156;156;158;157;158;157;157;156
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\32u159_v3_p2.msop;7913;7913;7950;7950;7950;7950;7949;8037;8004;7949
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\39rat195_v3_p1.msop;179;179;179;179;179;179;179;179;179;179
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\39rat195_v3_p2.msop;9122;9122;9122;9122;9122;9122;9122;9122;9122;9122
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\40d198_v3_p1.msop;171;171;171;171;171;171;171;171;171;171
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\40d198_v3_p2.msop;8628;8628;8628;8628;8628;8628;8628;8628;8628;8628
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\40kroa200_v3_p1.msop;199;199;199;199;199;199;199;199;199;199
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\40kroa200_v3_p2.msop;10058;10058;10058;10058;10058;10058;10058;10058;10058;10058
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\40krob200_v3_p1.msop;199;199;199;199;199;199;199;199;199;199
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\40krob200_v3_p2.msop;10058;10058;10058;10058;10058;10058;10058;10058;10058;10058
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\45ts225_v3_p1.msop;224;224;224;224;224;224;224;224;224;224
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\45ts225_v3_p2.msop;11308;11308;11308;11308;11308;11308;11308;11308;11308;11308
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\45tsp225_v3_p1.msop;215;215;215;215;215;215;215;215;215;215
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\45tsp225_v3_p2.msop;10779;10779;10862;10862;10862;10862;10862;10779;10862;10741
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\46pr226_v3_p1.msop;225;225;225;225;225;225;222;225;225;225
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\46pr226_v3_p2.msop;11375;11375;11375;11375;11375;11375;11375;11375;11375;11375
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\53gil262_v3_p1.msop;261;261;261;261;261;261;261;261;261;261
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\53gil262_v3_p2.msop;13193;13193;13193;13193;13193;13193;13193;13193;13193;13193
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\53pr264_v3_p1.msop;260;259;259;259;259;259;259;259;259;259
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\53pr264_v3_p2.msop;13148;13148;13148;13148;13277;13148;13173;13148;13148;13148
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\56a280_v3_p1.msop;279;279;279;279;279;277;279;279;274;274
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\56a280_v3_p2.msop;14021;14178;14178;14178;14178;14178;14178;14178;14059;14178
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\60pr299_v3_p1.msop;284;284;284;284;284;284;289;286;281;279
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\60pr299_v3_p2.msop;14353;14353;14488;14382;14352;14488;14488;14353;14382;14376
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\64lin318_v3_p1.msop;317;317;317;317;317;317;317;317;317;317
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\64lin318_v3_p2.msop;16037;16037;16037;16037;16037;16037;16037;16037;16037;16037
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\80rd400_v3_p1.msop;399;399;399;399;399;399;399;399;399;399
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\80rd400_v3_p2.msop;20158;20158;20158;20158;20158;20158;20158;20158;20158;20158
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\84fl417_v3_p1.msop;416;416;416;416;416;416;416;416;416;416
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\84fl417_v3_p2.msop;21048;21048;21048;21048;21048;21048;21048;21048;21048;21048
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\88pr439_v3_p1.msop;438;438;438;438;438;438;438;438;438;438
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\88pr439_v3_p2.msop;22177;22177;22177;22177;22177;22177;22177;22177;22177;22177
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\89pcb442_v3_p1.msop;441;441;441;441;441;441;441;441;441;441
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\89pcb442_v3_p2.msop;22323;22323;22323;22323;22323;22323;22323;22323;22323;22323
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\99d493_v3_p1.msop;492;492;492;492;492;492;492;492;492;492
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_3\99d493_v3_p2.msop;24862;24862;24862;24862;24862;24862;24862;24862;24862;24862
