dataset_name;solution_1;solution_2;solution_3;solution_4;solution_5;solution_6;solution_7;solution_8;solution_9;solution_10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\115rat575_v4_p1.msop;574;574;574;574;574;574;574;574;574;574
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\115rat575_v4_p2.msop;29033;29033;29033;29033;29033;29033;29033;29033;29033;29033
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\115u574_v4_p1.msop;573;573;573;573;573;573;573;573;573;573
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\115u574_v4_p2.msop;28957;28957;28957;28957;28957;28957;28957;28957;28957;28957
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\11berlin52_v4_p1.msop;50;50;50;50;50;50;50;50;50;50
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\11berlin52_v4_p2.msop;2580;2580;2580;2580;2580;2580;2580;2580;2580;2580
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\11eil51_v4_p1.msop;47;47;47;47;47;47;47;47;47;47
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\11eil51_v4_p2.msop;2372;2372;2372;2372;2372;2372;2372;2372;2372;2372
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\131p654_v4_p1.msop;653;653;653;653;653;653;653;653;653;653
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\131p654_v4_p2.msop;32997;32997;32997;32997;32997;32997;32997;32997;32997;32997
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\132d657_v4_p1.msop;656;656;656;656;656;656;656;656;656;656
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\132d657_v4_p2.msop;33188;33188;33188;33188;33188;33188;33188;33188;33188;33188
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\145u724_v4_p1.msop;723;723;723;723;723;723;723;723;723;723
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\145u724_v4_p2.msop;36532;36532;36532;36532;36532;36532;36532;36532;36532;36532
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\14st70_v4_p1.msop;62;62;62;62;62;62;62;62;62;62
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\14st70_v4_p2.msop;3121;3121;3121;3121;3121;3121;3121;3121;3121;3121
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\157rat783_v4_p1.msop;782;782;782;782;782;782;782;782;782;782
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\157rat783_v4_p2.msop;39517;39517;39517;39517;39517;39517;39517;39517;39517;39517
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\16eil76_v4_p1.msop;71;71;71;71;71;71;71;71;71;71
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\16eil76_v4_p2.msop;3655;3655;3655;3655;3655;3655;3655;3655;3655;3655
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\16pr76_v4_p1.msop;71;71;71;71;71;71;71;71;71;71
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\16pr76_v4_p2.msop;3570;3570;3570;3570;3570;3570;3570;3570;3570;3570
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\201pr1002_v4_p1.msop;1001;1001;1001;1001;1001;1001;1001;1001;1001;1001
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\201pr1002_v4_p2.msop;50583;50583;50583;50583;50583;50583;50583;50583;50583;50583
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\20kroA100_v4_p1.msop;91;91;91;91;91;91;91;91;91;91
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\20kroA100_v4_p2.msop;4688;4688;4688;4688;4688;4688;4688;4688;4688;4688
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\20kroB100_v4_p1.msop;86;86;86;86;86;86;86;86;86;86
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\20kroB100_v4_p2.msop;4094;4094;4094;4094;4094;4094;4094;4094;4094;4094
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\20kroC100_v4_p1.msop;85;85;85;85;85;85;85;85;85;85
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\20kroC100_v4_p2.msop;4415;4415;4415;4415;4415;4415;4415;4415;4415;4415
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\20kroD100_v4_p1.msop;80;80;80;80;80;80;80;80;80;80
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\20kroD100_v4_p2.msop;3898;3898;3898;3898;3898;3898;3898;3898;3898;3898
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\20kroE100_v4_p1.msop;69;69;69;69;69;69;69;69;69;69
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\20kroE100_v4_p2.msop;3262;3262;3262;3262;3262;3262;3262;3262;3262;3262
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\20rat99_v4_p1.msop;56;56;56;56;56;56;56;56;56;56
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\20rat99_v4_p2.msop;2911;2911;2911;2911;2911;2911;2911;2911;2911;2911
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\20rd100_v4_p1.msop;96;96;96;96;96;96;96;96;96;96
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\20rd100_v4_p2.msop;4831;4831;4831;4831;4831;4831;4831;4831;4831;4831
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\212u1060_v4_p1.msop;1059;1059;1059;1059;1059;1059;1059;1059;1059;1059
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\212u1060_v4_p2.msop;53548;53548;53548;53548;53548;53548;53548;53548;53548;53548
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\217vm1084_v4_p1.msop;1083;1083;1083;1083;1083;1083;1083;1083;1083;1083
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\217vm1084_v4_p2.msop;54712;54712;54712;54712;54712;54712;54712;54712;54712;54712
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\21eil101_v4_p1.msop;100;100;100;100;100;100;100;100;100;100
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\21eil101_v4_p2.msop;5050;5050;5050;5050;5050;5050;5050;5050;5050;5050
