dataset_name;solution_1;solution_2;solution_3;solution_4;solution_5;solution_6;solution_7;solution_8;solution_9;solution_10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\21lin105_v4_p1.msop;75;75;75;75;75;75;75;75;75;75
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\21lin105_v4_p2.msop;3831;3831;3831;3831;3831;3831;3831;3831;3831;3831
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\22pr107_v4_p1.msop;53;53;53;53;53;53;53;53;53;53
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\22pr107_v4_p2.msop;2697;2697;2697;2697;2697;2697;2697;2697;2697;2697
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\25pr124_v4_p1.msop;105;105;105;105;105;105;105;105;105;105
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\25pr124_v4_p2.msop;5265;5265;5265;5265;5265;5265;5265;5265;5265;5265
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\26bier127_v4_p1.msop;126;126;126;126;126;126;126;126;126;126
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\26bier127_v4_p2.msop;6333;6333;6333;6333;6333;6333;6333;6333;6333;6333
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\26ch130_v4_p1.msop;129;129;129;129;129;129;129;129;129;129
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\26ch130_v4_p2.msop;6503;6503;6503;6503;6503;6503;6503;6503;6503;6503
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\28pr136_v4_p1.msop;129;129;129;129;129;129;129;129;129;129
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\28pr136_v4_p2.msop;6570;6570;6570;6570;6570;6570;6570;6570;6570;6570
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\29pr144_v4_p1.msop;136;136;136;136;136;136;136;136;136;136
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\29pr144_v4_p2.msop;6733;6838;6842;6733;6838;6842;6733;6733;6842;6733
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\30ch150_v4_p1.msop;144;142;142;142;142;144;144;142;142;144
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\30ch150_v4_p2.msop;7267;7267;7267;7267;7267;7267;7184;7267;7267;7184
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\30kroA150_v4_p1.msop;149;149;149;149;149;149;149;149;149;149
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\30kroA150_v4_p2.msop;7533;7533;7533;7533;7533;7533;7533;7533;7533;7533
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\30kroB150_v4_p1.msop;149;149;149;149;149;149;149;149;149;149
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\30kroB150_v4_p2.msop;7533;7533;7533;7533;7533;7533;7533;7533;7533;7533
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\31pr152_v4_p1.msop;115;115;115;115;115;115;115;115;115;115
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\31pr152_v4_p2.msop;5800;5800;5800;5800;5800;5800;5800;5800;5800;5800
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\32u159_v4_p1.msop;142;142;142;142;142;142;142;142;142;142
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\32u159_v4_p2.msop;7357;7357;7357;7357;7357;7357;7357;7357;7357;7357
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\39rat195_v4_p1.msop;145;150;147;147;150;147;145;147;147;150
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\39rat195_v4_p2.msop;7552;7552;7552;7552;7552;7295;7552;7552;7351;7552
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\40d198_v4_p1.msop;125;125;125;125;125;125;125;125;125;125
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\40d198_v4_p2.msop;6369;6369;6369;6369;6369;6369;6369;6369;6369;6369
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\40kroa200_v4_p1.msop;199;199;199;199;199;199;199;199;199;199
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\40kroa200_v4_p2.msop;10058;10058;10058;10058;10058;10058;10058;10058;10058;10058
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\40krob200_v4_p1.msop;199;199;199;199;199;199;199;199;199;199
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\40krob200_v4_p2.msop;10058;10058;10058;10058;10058;10058;10058;10058;10058;10058
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\45ts225_v4_p1.msop;224;224;224;224;224;224;224;224;224;224
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\45ts225_v4_p2.msop;11308;11308;11308;11308;11308;11308;11308;11308;11308;11308
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\45tsp225_v4_p1.msop;184;184;184;184;184;184;182;184;184;184
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\45tsp225_v4_p2.msop;9358;9358;9358;9358;9358;9358;9358;9358;9358;9358
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\46pr226_v4_p1.msop;212;212;212;212;212;212;212;212;212;212
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\46pr226_v4_p2.msop;10749;10749;10749;10749;10749;10749;10749;10749;10749;10749
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\53gil262_v4_p1.msop;257;257;257;257;257;257;257;257;257;257
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\53gil262_v4_p2.msop;13004;13059;13004;13004;13004;13004;13004;13004;13004;13004
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\53pr264_v4_p1.msop;244;244;244;244;244;244;244;244;244;244
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\53pr264_v4_p2.msop;12462;12224;12462;12462;12462;12462;11970;12462;12462;12462
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\56a280_v4_p1.msop;254;250;258;254;254;254;258;255;258;258
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\56a280_v4_p2.msop;12871;12929;13053;13053;13211;12676;13053;13211;12818;12676
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\60pr299_v4_p1.msop;234;234;234;234;234;234;234;234;234;234
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\60pr299_v4_p2.msop;11860;11860;11860;11860;11860;11860;11860;11860;11860;11860
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\64lin318_v4_p1.msop;317;317;317;317;317;317;317;317;317;317
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\64lin318_v4_p2.msop;16037;16037;16037;16037;16037;16037;16037;16037;16037;16037
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\80rd400_v4_p1.msop;399;399;399;399;399;399;399;399;399;399
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\80rd400_v4_p2.msop;20158;20158;20158;20158;20158;20158;20158;20158;20158;20158
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\84fl417_v4_p1.msop;416;416;416;416;416;416;416;416;416;416
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\84fl417_v4_p2.msop;21048;21048;21048;21048;21048;21048;21048;21048;21048;21048
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\88pr439_v4_p1.msop;438;438;438;438;438;438;438;438;438;438
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\88pr439_v4_p2.msop;22177;22177;22177;22177;22177;22177;22177;22177;22177;22177
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\89pcb442_v4_p1.msop;441;441;441;441;441;441;441;441;441;441
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\89pcb442_v4_p2.msop;22323;22323;22323;22323;22323;22323;22323;22323;22323;22323
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\99d493_v4_p1.msop;492;492;492;492;492;492;492;492;492;492
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_4\99d493_v4_p2.msop;24862;24862;24862;24862;24862;24862;24862;24862;24862;24862
