dataset_name;solution_1;solution_2;solution_3;solution_4;solution_5;solution_6;solution_7;solution_8;solution_9;solution_10;max;gap_1;gap_2;gap_3;gap_4;gap_5;gap_6;gap_7;gap_8;gap_9;gap_10;avg_gap;norm_avg_gap;is_best_1;is_best_2;is_best_3;is_best_4;is_best_5;is_best_6;is_best_7;is_best_8;is_best_9;is_best_10;sum_is_best
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_80_v_4\115rat575_v4_p1.msop;234;234;238;236;234;238;234;234;234;234;238;0,016806723;0,016806723;0;0,008403361;0,016806723;0;0,016806723;0,016806723;0,016806723;0,016806723;0,012605042;0,749999985;0;0;1;0;0;1;0;0;0;0;2
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_80_v_4\115rat575_v4_p2.msop;12101;12101;12101;12101;12101;12101;12101;12101;12285;12101;12285;0,014977615;0,014977615;0,014977615;0,014977615;0,014977615;0,014977615;0,014977615;0,014977615;0;0,014977615;0,013479853;0,899999967;0;0;0;0;0;0;0;0;1;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_80_v_4\115u574_v4_p1.msop;249;245;245;243;245;245;241;249;242;243;249;0;0,016064257;0,016064257;0,024096386;0,016064257;0,016064257;0,032128514;0;0,02811245;0,024096386;0,017269076;0,537499991;1;0;0;0;0;0;0;1;0;0;2
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_80_v_4\115u574_v4_p2.msop;12554;12690;12554;12333;12469;12430;12333;12333;12469;12333;12690;0,0107171;0;0,0107171;0,028132388;0,017415288;0,020488574;0,028132388;0,028132388;0,017415288;0,028132388;0,01892829;0,672829125;0;1;0;0;0;0;0;0;0;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_80_v_4\11berlin52_v4_p1.msop;37;37;37;37;37;37;37;37;37;37;37;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_80_v_4\11berlin52_v4_p2.msop;1829;1829;1829;1829;1829;1829;1829;1829;1829;1829;1829;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_80_v_4\11eil51_v4_p1.msop;22;22;22;22;22;22;22;22;22;22;22;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_80_v_4\11eil51_v4_p2.msop;1279;1279;1279;1279;1279;1279;1279;1279;1279;1279;1279;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_80_v_4\131p654_v4_p1.msop;170;170;171;170;170;171;171;170;170;170;171;0,005847953;0,005847953;0;0,005847953;0,005847953;0;0;0,005847953;0,005847953;0,005847953;0,004093567;0,699999983;0;0;1;0;0;1;1;0;0;0;3
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_80_v_4\131p654_v4_p2.msop;8708;8708;8708;8708;8708;8725;8725;8708;8708;8708;8725;0,001948424;0,001948424;0,001948424;0,001948424;0,001948424;0;0;0,001948424;0,001948424;0,001948424;0,001558739;0,799999897;0;0;0;0;0;1;1;0;0;0;2
