dataset_name;solution_1;solution_2;solution_3;solution_4;solution_5;solution_6;solution_7;solution_8;solution_9;solution_10;max;gap_1;gap_2;gap_3;gap_4;gap_5;gap_6;gap_7;gap_8;gap_9;gap_10;avg_gap;norm_avg_gap;is_best_1;is_best_2;is_best_3;is_best_4;is_best_5;is_best_6;is_best_7;is_best_8;is_best_9;is_best_10;sum_is_best
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_2\115rat575_v2_p1.msop;571;568;571;567;565;571;566;565;571;572;572;0,001748252;0,006993007;0,001748252;0,008741259;0,012237762;0,001748252;0,01048951;0,012237762;0,001748252;0;0,005769231;0,471428599;0;0;0;0;0;0;0;0;0;1;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_2\115rat575_v2_p2.msop;28725;28635;28792;28676;28856;28801;28751;28715;28728;28749;28856;0,004539784;0,007658719;0,00221791;0,006237871;0;0,001906016;0,003638758;0,004886332;0,004435819;0,003708068;0,003922928;0,512217252;0;0;0;0;1;0;0;0;0;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_2\115u574_v2_p1.msop;570;570;570;570;571;571;571;571;571;572;572;0,003496503;0,003496503;0,003496503;0,003496503;0,001748252;0,001748252;0,001748252;0,001748252;0,001748252;0;0,002272727;0,650000014;0;0;0;0;0;0;0;0;0;1;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_2\115u574_v2_p2.msop;28888;28888;28888;28935;28888;28866;28866;28935;28890;28888;28935;0,00162433;0,00162433;0,00162433;0;0,00162433;0,002384655;0,002384655;0;0,00155521;0,00162433;0,001444617;0,605797065;0;0;0;1;0;0;0;1;0;0;2
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_2\11berlin52_v2_p1.msop;49;49;49;49;49;49;49;49;49;49;49;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_2\11berlin52_v2_p2.msop;2526;2526;2526;2526;2526;2526;2526;2526;2526;2526;2526;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_2\11eil51_v2_p1.msop;46;46;46;46;46;46;46;46;46;46;46;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_2\11eil51_v2_p2.msop;2272;2272;2272;2272;2272;2272;2272;2272;2272;2272;2272;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_2\131p654_v2_p1.msop;650;647;651;650;650;650;650;650;650;650;651;0,001536098;0,006144393;0;0,001536098;0,001536098;0,001536098;0,001536098;0,001536098;0,001536098;0,001536098;0,001843318;0,300000016;0;0;1;0;0;0;0;0;0;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_2\131p654_v2_p2.msop;32887;32778;32887;32748;32920;32887;32784;32903;32887;32876;32920;0,00100243;0,004313487;0,00100243;0,005224787;0;0,00100243;0,004131227;0,000516403;0,00100243;0,001336574;0,00195322;0,373837249;0;0;0;0;1;0;0;0;0;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_2\132d657_v2_p1.msop;641;648;640;641;647;646;643;635;644;642;648;0,010802469;0;0,012345679;0,010802469;0,00154321;0,00308642;0,007716049;0,020061728;0,00617284;0,009259259;0,008179012;0,407692298;0;1;0;0;0;0;0;0;0;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_2\132d657_v2_p2.msop;32671;32883;32603;32771;32625;32599;32598;32816;32585;32759;32883;0,0064471;0;0,008515038;0,003406015;0,007845999;0,008636682;0,008667092;0,002037527;0,009062433;0,003770945;0,005838883;0,644295301;0;1;0;0;0;0;0;0;0;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_2\145u724_v2_p1.msop;722;720;721;721;722;720;721;722;721;720;722;0;0,002770083;0,001385042;0,001385042;0;0,002770083;0,001385042;0;0,001385042;0,002770083;0,001385042;0,500000181;1;0;0;0;1;0;0;1;0;0;3
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_2\145u724_v2_p2.msop;36518;36517;36532;36518;36532;36532;36532;36532;36532;36503;36532;0,000383226;0,000410599;0;0,000383226;0;0;0;0;0;0,000793825;0,000197087;0,248275124;0;0;1;0;1;1;1;1;1;0;6
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_2\14st70_v2_p1.msop;64;64;64;64;64;64;64;64;64;64;64;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_2\14st70_v2_p2.msop;3229;3229;3229;3229;3229;3229;3229;3229;3229;3229;3229;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_2\157rat783_v2_p1.msop;779;778;777;773;775;779;777;777;781;775;781;0,002560819;0,003841229;0,005121639;0,010243278;0,007682458;0,002560819;0,005121639;0,005121639;0;0,007682458;0,004993598;0,487499998;0;0;0;0;0;0;0;0;1;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_2\157rat783_v2_p2.msop;39456;39459;39459;39506;39470;39459;39517;39506;39477;39517;39517;0,001543639;0,001467723;0,001467723;0,000278361;0,001189362;0,001467723;0;0,000278361;0,001012223;0;0,000870511;0,563934314;0;0;0;0;0;0;1;0;0;1;2
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_2\16eil76_v2_p1.msop;69;71;69;72;69;71;72;70;71;72;72;0,041666667;0,013888889;0,041666667;0;0,041666667;0,013888889;0;0,027777778;0,013888889;0;0,019444444;0,466666652;0;0;0;1;0;0;1;0;0;1;3
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_2\16eil76_v2_p2.msop;3698;3698;3698;3698;3698;3698;3698;3698;3698;3698;3698;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
