dataset_name;solution_1;solution_2;solution_3;solution_4;solution_5;solution_6;solution_7;solution_8;solution_9;solution_10;max;gap_1;gap_2;gap_3;gap_4;gap_5;gap_6;gap_7;gap_8;gap_9;gap_10;avg_gap;norm_avg_gap;is_best_1;is_best_2;is_best_3;is_best_4;is_best_5;is_best_6;is_best_7;is_best_8;is_best_9;is_best_10;sum_is_best
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_60_v_3\115rat575_v3_p1.msop;219;220;221;220;220;220;221;221;219;220;221;0,009049774;0,004524887;0;0,004524887;0,004524887;0,004524887;0;0;0,009049774;0,004524887;0,004072398;0,449999967;0;0;1;0;0;0;1;1;0;0;3
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_60_v_3\115rat575_v3_p2.msop;11229;11461;11461;11461;11461;11213;11461;11363;11461;11213;11461;0,020242562;0;0;0;0;0,0216386;0;0,008550737;0;0,0216386;0,00720705;0,333064524;0;1;1;1;1;0;1;0;1;0;6
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_60_v_3\115u574_v3_p1.msop;228;224;227;225;226;227;225;225;226;224;228;0;0,01754386;0,004385965;0,013157895;0,00877193;0,004385965;0,013157895;0,013157895;0,00877193;0,01754386;0,010087719;0,574999972;1;0;0;0;0;0;0;0;0;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_60_v_3\115u574_v3_p2.msop;11581;11674;11674;11674;11581;11581;11674;11538;11581;11581;11674;0,007966421;0;0;0;0,007966421;0,007966421;0;0,01164982;0,007966421;0,007966421;0,005148193;0,441911806;0;1;1;1;0;0;1;0;0;0;4
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_60_v_3\11berlin52_v3_p1.msop;37;37;37;37;37;37;37;37;37;37;37;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_60_v_3\11berlin52_v3_p2.msop;1829;1829;1829;1829;1829;1829;1829;1829;1829;1829;1829;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_60_v_3\11eil51_v3_p1.msop;22;22;22;22;22;22;22;22;22;22;22;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_60_v_3\11eil51_v3_p2.msop;1279;1279;1279;1279;1279;1279;1279;1279;1279;1279;1279;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_60_v_3\131p654_v3_p1.msop;169;169;169;169;169;169;169;169;169;169;169;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_60_v_3\131p654_v3_p2.msop;8632;8632;8632;8632;8632;8632;8632;8632;8632;8632;8632;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_60_v_3\132d657_v3_p1.msop;122;122;118;122;122;122;122;122;122;122;122;0;0;0,032786885;0;0;0;0;0;0;0;0,003278689;0,100000015;1;1;0;1;1;1;1;1;1;1;9
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_60_v_3\132d657_v3_p2.msop;6470;6470;6470;6470;6470;6470;6470;6470;6470;6470;6470;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_60_v_3\145u724_v3_p1.msop;304;301;298;299;298;293;298;307;303;304;307;0,009771987;0,019543974;0,029315961;0,026058632;0,029315961;0,045602606;0,029315961;0;0,013029316;0,009771987;0,021172638;0,464285703;0;0;0;0;0;0;0;1;0;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_60_v_3\145u724_v3_p2.msop;15548;15535;15346;15421;15593;15548;15383;15490;15386;15433;15593;0,00288591;0,003719618;0,015840441;0,011030591;0;0,00288591;0,013467582;0,006605528;0,013275188;0,010261015;0,007997178;0,504858293;0;0;0;0;1;0;0;0;0;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_60_v_3\14st70_v3_p1.msop;20;20;20;20;20;20;20;20;20;20;20;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_60_v_3\14st70_v3_p2.msop;877;877;877;877;877;877;877;877;877;877;877;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_60_v_3\157rat783_v3_p1.msop;325;318;324;324;323;318;328;323;321;321;328;0,009146341;0,030487805;0,012195122;0,012195122;0,015243902;0,030487805;0;0,015243902;0,021341463;0,021341463;0,016768293;0,550000008;0;0;0;0;0;0;1;0;0;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_60_v_3\157rat783_v3_p2.msop;16554;16394;16598;16603;16374;16598;16598;16516;16639;16587;16639;0,00510848;0,014724443;0,00246409;0,002163592;0,015926438;0,00246409;0,00246409;0,007392271;0;0,003125188;0,005583268;0,350566021;0;0;0;0;0;0;0;0;1;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_60_v_3\16eil76_v3_p1.msop;34;34;34;34;34;34;34;34;34;34;34;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_60_v_3\16eil76_v3_p2.msop;1893;1893;1893;1893;1893;1893;1893;1893;1893;1893;1893;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
