dataset_name;solution_1;solution_2;solution_3;solution_4;solution_5;solution_6;solution_7;solution_8;solution_9;solution_10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\20kroC100_v3_p1.msop;99;99;99;99;99;99;99;99;99;99
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\20kroC100_v3_p2.msop;5008;5008;5008;5008;5008;5008;5008;5008;5008;5008
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\20kroD100_v3_p1.msop;99;99;99;99;99;99;99;99;99;99
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\20kroD100_v3_p2.msop;5008;5008;5008;5008;5008;5008;5008;5008;5008;5008
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\20kroE100_v3_p1.msop;93;93;93;93;93;93;93;93;93;93
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\20kroE100_v3_p2.msop;4564;4564;4564;4564;4564;4564;4564;4564;4564;4564
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\20rat99_v3_p1.msop;82;82;82;82;82;82;82;82;82;82
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\20rat99_v3_p2.msop;4179;4179;4179;4179;4179;4179;4179;4179;4179;4179
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\20rd100_v3_p1.msop;99;99;99;99;99;99;99;99;99;99
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\20rd100_v3_p2.msop;5008;5008;5008;5008;5008;5008;5008;5008;5008;5008
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\212u1060_v3_p1.msop;1059;1059;1059;1059;1059;1059;1059;1059;1059;1059
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\212u1060_v3_p2.msop;53548;53548;53548;53548;53548;53548;53548;53548;53548;53548
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\217vm1084_v3_p1.msop;1083;1083;1083;1083;1083;1083;1083;1083;1083;1083
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\217vm1084_v3_p2.msop;54712;54712;54712;54712;54712;54712;54712;54712;54712;54712
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\21eil101_v3_p1.msop;100;100;100;100;100;100;100;100;100;100
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\21eil101_v3_p2.msop;5050;5050;5050;5050;5050;5050;5050;5050;5050;5050
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\21lin105_v3_p1.msop;96;96;96;96;96;96;96;96;96;96
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\21lin105_v3_p2.msop;4906;4906;4906;4906;4906;4906;4906;4906;4906;4906
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\22pr107_v3_p1.msop;89;89;89;89;89;89;89;89;89;89
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\22pr107_v3_p2.msop;4539;4539;4539;4539;4539;4539;4539;4539;4539;4539
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\25pr124_v3_p1.msop;123;123;123;123;123;123;123;123;123;123
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\25pr124_v3_p2.msop;6232;6232;6232;6232;6232;6232;6232;6232;6232;6232
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\26bier127_v3_p1.msop;126;126;126;126;126;126;126;126;126;126
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\26bier127_v3_p2.msop;6333;6333;6333;6333;6333;6333;6333;6333;6333;6333
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\26ch130_v3_p1.msop;129;129;129;129;129;129;129;129;129;129
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\26ch130_v3_p2.msop;6503;6503;6503;6503;6503;6503;6503;6503;6503;6503
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\28pr136_v3_p1.msop;135;135;135;135;135;135;135;135;135;135
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\28pr136_v3_p2.msop;6850;6850;6850;6850;6850;6850;6850;6850;6850;6850
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\29pr144_v3_p1.msop;143;143;143;143;143;143;143;143;143;143
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\29pr144_v3_p2.msop;7242;7242;7242;7242;7242;7242;7242;7242;7242;7242
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\30ch150_v3_p1.msop;149;149;149;149;149;149;149;149;149;149
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\30ch150_v3_p2.msop;7533;7533;7533;7533;7533;7533;7533;7533;7533;7533
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\30kroA150_v3_p1.msop;149;149;149;149;149;149;149;149;149;149
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\30kroA150_v3_p2.msop;7533;7533;7533;7533;7533;7533;7533;7533;7533;7533
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\30kroB150_v3_p1.msop;149;149;149;149;149;149;149;149;149;149
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\30kroB150_v3_p2.msop;7533;7533;7533;7533;7533;7533;7533;7533;7533;7533
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\31pr152_v3_p1.msop;151;151;151;151;151;151;151;151;151;151
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\31pr152_v3_p2.msop;7658;7658;7658;7658;7658;7658;7658;7658;7658;7658
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\32u159_v3_p1.msop;158;158;158;158;158;158;158;158;158;158
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\32u159_v3_p2.msop;8037;8037;8037;8037;8037;8037;8037;8037;8037;8037
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\39rat195_v3_p1.msop;184;184;184;185;188;185;184;186;184;184
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\39rat195_v3_p2.msop;9408;9340;9340;9340;9340;9499;9340;9499;9340;9340
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\40d198_v3_p1.msop;171;171;171;171;171;171;171;171;171;171
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\40d198_v3_p2.msop;8628;8628;8628;8628;8628;8628;8628;8628;8628;8628
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\40kroa200_v3_p1.msop;199;199;199;199;199;199;199;199;199;199
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\40kroa200_v3_p2.msop;10058;10058;10058;10058;10058;10058;10058;10058;10058;10058
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\40krob200_v3_p1.msop;199;199;199;199;199;199;199;199;199;199
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\40krob200_v3_p2.msop;10058;10058;10058;10058;10058;10058;10058;10058;10058;10058
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\45ts225_v3_p1.msop;224;224;224;224;224;224;224;224;224;224
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\45ts225_v3_p2.msop;11308;11308;11308;11308;11308;11308;11308;11308;11308;11308
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\45tsp225_v3_p1.msop;224;224;224;224;224;224;224;224;224;224
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\45tsp225_v3_p2.msop;11308;11308;11308;11308;11308;11308;11308;11308;11308;11308
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\46pr226_v3_p1.msop;225;225;225;225;225;225;225;225;225;225
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\46pr226_v3_p2.msop;11375;11375;11375;11375;11375;11375;11375;11375;11375;11375
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\53gil262_v3_p1.msop;261;261;261;261;261;261;261;261;261;261
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\53gil262_v3_p2.msop;13193;13193;13193;13193;13193;13193;13193;13193;13193;13193
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\53pr264_v3_p1.msop;263;263;263;263;263;263;263;263;263;263
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\53pr264_v3_p2.msop;13302;13302;13302;13302;13302;13302;13302;13302;13302;13302
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\56a280_v3_p1.msop;279;279;279;279;279;279;279;279;279;279
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\56a280_v3_p2.msop;14178;14178;14178;14178;14178;14178;14178;14178;14178;14178
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\60pr299_v3_p1.msop;298;298;298;298;298;298;298;298;298;298
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\60pr299_v3_p2.msop;15107;15107;15107;15107;15107;15107;15107;15107;15107;15107
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\64lin318_v3_p1.msop;317;317;317;317;317;317;317;317;317;317
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\64lin318_v3_p2.msop;16037;16037;16037;16037;16037;16037;16037;16037;16037;16037
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\80rd400_v3_p1.msop;399;399;399;399;399;399;399;399;399;399
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\80rd400_v3_p2.msop;20158;20158;20158;20158;20158;20158;20158;20158;20158;20158
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\84fl417_v3_p1.msop;416;416;416;416;416;416;416;416;416;416
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\84fl417_v3_p2.msop;21048;21048;21048;21048;21048;21048;21048;21048;21048;21048
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\88pr439_v3_p1.msop;438;438;438;438;438;438;438;438;438;438
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\88pr439_v3_p2.msop;22177;22177;22177;22177;22177;22177;22177;22177;22177;22177
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\89pcb442_v3_p1.msop;441;441;441;441;441;441;441;441;441;441
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\89pcb442_v3_p2.msop;22323;22323;22323;22323;22323;22323;22323;22323;22323;22323
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\99d493_v3_p1.msop;492;492;492;492;492;492;492;492;492;492
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_200_v_3\99d493_v3_p2.msop;24862;24862;24862;24862;24862;24862;24862;24862;24862;24862
