dataset_name;solution_1;solution_2;solution_3;solution_4;solution_5;solution_6;solution_7;solution_8;solution_9;solution_10;max;gap_1;gap_2;gap_3;gap_4;gap_5;gap_6;gap_7;gap_8;gap_9;gap_10;avg_gap;norm_avg_gap;is_best_1;is_best_2;is_best_3;is_best_4;is_best_5;is_best_6;is_best_7;is_best_8;is_best_9;is_best_10;sum_is_best
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_3\115rat575_v3_p1.msop;563;564;561;559;563;564;561;558;559;561;564;0,00177305;0;0,005319149;0,008865248;0,00177305;0;0,005319149;0,010638298;0,008865248;0,005319149;0,004787234;0,449999991;0;1;0;0;0;1;0;0;0;0;2
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_3\115rat575_v3_p2.msop;28362;28298;28409;28436;28330;28272;28151;28364;28433;28500;28500;0,004842105;0,007087719;0,003192982;0,002245614;0,005964912;0,008;0,012245614;0,00477193;0,002350877;0;0,005070175;0,41404008;0;0;0;0;0;0;0;0;0;1;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_3\115u574_v3_p1.msop;571;571;571;571;573;570;572;571;571;571;573;0,003490401;0,003490401;0,003490401;0,003490401;0;0,005235602;0,001745201;0,003490401;0,003490401;0,003490401;0,003141361;0,599999962;0;0;0;0;1;0;0;0;0;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_3\115u574_v3_p2.msop;28888;28888;28957;28888;28888;28798;28935;28888;28888;28888;28957;0,002382844;0,002382844;0;0,002382844;0,002382844;0,0054909;0,000759747;0,002382844;0,002382844;0,002382844;0,002293055;0,417610046;0;0;1;0;0;0;0;0;0;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_3\11berlin52_v3_p1.msop;47;47;47;47;47;47;47;47;47;47;47;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_3\11berlin52_v3_p2.msop;2438;2438;2438;2438;2438;2438;2438;2438;2438;2438;2438;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_3\11eil51_v3_p1.msop;45;45;45;45;45;45;45;45;45;45;45;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_3\11eil51_v3_p2.msop;2218;2218;2218;2218;2218;2218;2218;2218;2218;2218;2218;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_3\131p654_v3_p1.msop;648;647;647;649;648;647;648;648;646;649;649;0,001540832;0,003081664;0,003081664;0;0,001540832;0,003081664;0,001540832;0,001540832;0,004622496;0;0,002003082;0,43333342;0;0;0;1;0;0;0;0;0;1;2
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_3\131p654_v3_p2.msop;32814;32853;32829;32813;32829;32820;32829;32823;32853;32853;32853;0,001187106;0;0,000730527;0,001217545;0,000730527;0,001004474;0,000730527;0,000913159;0;0;0,000651386;0,534999528;0;1;0;0;0;0;0;0;1;1;3
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_3\132d657_v3_p1.msop;633;627;635;633;625;626;633;635;634;630;635;0,003149606;0,012598425;0;0,003149606;0,015748031;0,014173228;0,003149606;0;0,001574803;0,007874016;0,006141732;0,389999994;0;0;1;0;0;0;0;1;0;0;2
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_3\132d657_v3_p2.msop;32283;32424;32267;32067;32255;32559;32270;32314;32140;32188;32559;0,008476919;0,004146319;0,008968334;0,015111029;0,009336896;0;0,008876194;0,007524801;0,012868946;0,011394699;0,008670414;0,573780515;0;0;0;0;0;1;0;0;0;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_3\145u724_v3_p1.msop;723;722;723;723;722;722;723;722;722;723;723;0;0,001383126;0;0;0,001383126;0,001383126;0;0,001383126;0,001383126;0;0,000691563;0,5;1;0;1;1;0;0;1;0;0;1;5
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_3\145u724_v3_p2.msop;36532;36532;36532;36532;36532;36532;36532;36532;36532;36532;36532;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_3\14st70_v3_p1.msop;57;57;57;57;57;57;57;57;57;57;57;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_3\14st70_v3_p2.msop;2900;2900;2900;2900;2900;2900;2900;2900;2900;2900;2900;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_3\157rat783_v3_p1.msop;779;782;780;779;779;782;781;781;780;779;782;0,003836317;0;0,002557545;0,003836317;0,003836317;0;0,001278772;0,001278772;0,002557545;0,003836317;0,00230179;0,599999948;0;1;0;0;0;1;0;0;0;0;2
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_3\157rat783_v3_p2.msop;39414;39517;39403;39430;39470;39477;39414;39414;39470;39414;39517;0,002606473;0;0,002884834;0,002201584;0,001189362;0,001012223;0,002606473;0,002606473;0,001189362;0,002606473;0,001890326;0,655263353;0;1;0;0;0;0;0;0;0;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_3\16eil76_v3_p1.msop;69;69;69;69;69;67;69;69;69;69;69;0;0;0;0;0;0,028985507;0;0;0;0;0,002898551;0,10000001;1;1;1;1;1;0;1;1;1;1;9
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_3\16eil76_v3_p2.msop;3573;3573;3573;3573;3573;3525;3573;3525;3573;3445;3573;0;0;0;0;0;0,013434089;0;0,013434089;0;0,035824237;0,006269242;0,175000015;1;1;1;1;1;0;1;0;1;0;7
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_3\16pr76_v3_p1.msop;71;71;71;71;71;71;71;71;71;71;71;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_3\16pr76_v3_p2.msop;3570;3570;3570;3570;3570;3570;3570;3570;3570;3570;3570;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_3\201pr1002_v3_p1.msop;1001;1001;1001;1001;1001;1001;1001;1001;1001;1001;1001;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_3\201pr1002_v3_p2.msop;50583;50583;50583;50583;50583;50583;50583;50583;50583;50583;50583;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_3\20kroA100_v3_p1.msop;88;88;88;88;88;88;88;88;88;88;88;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
