dataset_name;solution_1;solution_2;solution_3;solution_4;solution_5;solution_6;solution_7;solution_8;solution_9;solution_10;max;gap_1;gap_2;gap_3;gap_4;gap_5;gap_6;gap_7;gap_8;gap_9;gap_10;avg_gap;norm_avg_gap;is_best_1;is_best_2;is_best_3;is_best_4;is_best_5;is_best_6;is_best_7;is_best_8;is_best_9;is_best_10;sum_is_best
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_100_v_2\115rat575_v2_p1.msop;523;505;512;512;525;511;518;514;525;516;525;0,003809524;0,038095238;0,024761905;0,024761905;0;0,026666667;0,013333333;0,020952381;0;0,017142857;0,016952381;0,445000002;0;0;0;0;1;0;0;0;1;0;2
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_100_v_2\115rat575_v2_p2.msop;26218;25836;25936;26230;26079;26283;26204;25714;25858;25877;26283;0,002473081;0,017007191;0,01320245;0,002016513;0,007761671;0;0,003005745;0,021648975;0,016170148;0,015447247;0,009873302;0,456063255;0;0;0;0;0;1;0;0;0;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_100_v_2\115u574_v2_p1.msop;548;551;553;557;548;546;545;546;555;551;557;0,016157989;0,010771993;0,007181329;0;0,016157989;0,019748654;0,021543986;0,019748654;0,003590664;0,010771993;0,012567325;0,583333326;0;0;0;1;0;0;0;0;0;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_100_v_2\115u574_v2_p2.msop;27898;28095;27804;27869;27637;28058;27786;27706;27942;27906;28095;0,007011924;0;0,010357715;0,008044136;0,016301833;0,00131696;0,010998398;0,01384588;0,005445809;0,006727176;0,008004983;0,491048031;0;1;0;0;0;0;0;0;0;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_100_v_2\11berlin52_v2_p1.msop;47;47;47;47;47;47;47;47;47;47;47;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_100_v_2\11berlin52_v2_p2.msop;2384;2384;2384;2384;2384;2384;2384;2384;2384;2384;2384;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_100_v_2\11eil51_v2_p1.msop;43;43;43;43;43;43;43;43;43;43;43;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_100_v_2\11eil51_v2_p2.msop;2069;2069;2069;2069;2069;2069;2069;2069;2069;2069;2069;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_100_v_2\131p654_v2_p1.msop;590;590;559;590;590;590;589;591;589;589;591;0,001692047;0,001692047;0,054145516;0,001692047;0,001692047;0,001692047;0,003384095;0;0,003384095;0,003384095;0,007275804;0,134375005;0;0;0;0;0;0;0;1;0;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_100_v_2\131p654_v2_p2.msop;28268;28286;29863;28293;29878;29863;29770;29885;27709;29767;29885;0,054107412;0,053505103;0,000736155;0,053270872;0,000234231;0,000736155;0,003848084;0;0,072812448;0,003948469;0,024319893;0,334007353;0;0;0;0;0;0;0;1;0;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_100_v_2\132d657_v2_p1.msop;598;575;586;589;583;586;583;581;584;586;598;0;0,038461538;0,02006689;0,015050167;0,025083612;0,02006689;0,025083612;0,028428094;0,023411371;0,02006689;0,021571906;0,560869563;1;0;0;0;0;0;0;0;0;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_100_v_2\132d657_v2_p2.msop;30415;30229;29645;30335;29949;29901;30088;29960;29820;30278;30415;0;0,006115404;0,025316456;0,002630281;0,015321387;0,016899556;0,010751274;0,014959724;0,019562716;0,004504356;0,011606115;0,458441537;1;0;0;0;0;0;0;0;0;0;1
