dataset_name;solution_1;solution_2;solution_3;solution_4;solution_5;solution_6;solution_7;solution_8;solution_9;solution_10;max;gap_1;gap_2;gap_3;gap_4;gap_5;gap_6;gap_7;gap_8;gap_9;gap_10;avg_gap;norm_avg_gap;is_best_1;is_best_2;is_best_3;is_best_4;is_best_5;is_best_6;is_best_7;is_best_8;is_best_9;is_best_10;sum_is_best
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_80_v_3\115rat575_v3_p1.msop;326;321;326;325;324;323;320;324;327;324;327;0,003058104;0,018348624;0,003058104;0,006116208;0,009174312;0,012232416;0,021406728;0,009174312;0;0,009174312;0,009174312;0,428571429;0;0;0;0;0;0;0;0;1;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_80_v_3\115rat575_v3_p2.msop;16740;16694;16301;16215;16596;16275;16359;16538;16588;16341;16740;0;0,002747909;0,026224612;0,031362007;0,008602151;0,027777778;0,022759857;0,012066906;0,009080048;0,023835125;0,016445639;0,524380949;1;0;0;0;0;0;0;0;0;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_80_v_3\115u574_v3_p1.msop;337;339;335;339;336;338;340;339;335;341;341;0,011730205;0,005865103;0,017595308;0,005865103;0,014662757;0,008797654;0,002932551;0,005865103;0,017595308;0;0,009090909;0,516666659;0;0;0;0;0;0;0;0;0;1;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_80_v_3\115u574_v3_p2.msop;17149;17115;16890;16947;17109;16950;17152;17154;17012;16958;17154;0,000291477;0,002273522;0,015389997;0,012067156;0,002623295;0,01189227;0,000116591;0;0,008277953;0,011425906;0,006435817;0,418181823;0;0;0;0;0;0;0;1;0;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_80_v_3\11berlin52_v3_p1.msop;37;37;37;37;37;37;37;37;37;37;37;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_80_v_3\11berlin52_v3_p2.msop;1829;1829;1829;1829;1829;1829;1829;1829;1829;1829;1829;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_80_v_3\11eil51_v3_p1.msop;32;32;32;32;32;32;32;32;32;32;32;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_80_v_3\11eil51_v3_p2.msop;1624;1624;1624;1624;1624;1624;1624;1624;1624;1624;1624;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_80_v_3\131p654_v3_p1.msop;219;219;219;219;219;219;219;219;219;219;219;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets\t_80_v_3\131p654_v3_p2.msop;11071;11071;11071;11071;11071;11071;11071;11071;11071;11071;11071;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
