dataset_name;solution_1;solution_2;solution_3;solution_4;solution_5;solution_6;solution_7;solution_8;solution_9;solution_10;max;gap_1;gap_2;gap_3;gap_4;gap_5;gap_6;gap_7;gap_8;gap_9;gap_10;avg_gap;norm_avg_gap;is_best_1;is_best_2;is_best_3;is_best_4;is_best_5;is_best_6;is_best_7;is_best_8;is_best_9;is_best_10;sum_is_best
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_4\115rat575_v4_p1.msop;453;452;456;453;456;458;452;454;453;453;458;0,010917031;0,013100437;0,004366812;0,010917031;0,004366812;0;0,013100437;0,008733624;0,010917031;0,010917031;0,008733624;0,666666616;0;0;0;0;0;1;0;0;0;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_4\115rat575_v4_p2.msop;23022;23017;23059;22774;23120;23022;22961;23141;22849;23120;23141;0,005142388;0,005358455;0,003543494;0,015859297;0,00090748;0,005142388;0,007778402;0;0,012618297;0,00090748;0,005725768;0,361035423;0;0;0;0;0;0;0;1;0;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_4\115u574_v4_p1.msop;526;525;527;528;523;530;525;528;525;525;530;0,00754717;0,009433962;0,005660377;0,003773585;0,013207547;0;0,009433962;0,003773585;0,009433962;0,009433962;0,007169811;0,542857126;0;0;0;0;0;1;0;0;0;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_4\115u574_v4_p2.msop;26877;26526;26081;26924;26434;26681;26201;26574;26039;26521;26924;0,001745654;0,01478235;0,031310355;0;0,018199376;0,009025405;0,026853365;0,012999554;0,032870302;0,014968058;0,016275442;0,495141237;0;0;0;1;0;0;0;0;0;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_4\11berlin52_v4_p1.msop;44;44;44;44;44;44;44;44;44;44;44;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_4\11berlin52_v4_p2.msop;2240;2240;2240;2240;2240;2240;2240;2240;2240;2240;2240;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_4\11eil51_v4_p1.msop;38;38;38;38;38;38;38;38;38;38;38;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_4\11eil51_v4_p2.msop;1947;1947;1947;1947;1947;1947;1947;1947;1947;1947;1947;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_4\131p654_v4_p1.msop;437;438;438;438;438;438;438;438;438;438;438;0,002283105;0;0;0;0;0;0;0;0;0;0,000228311;0,100000219;0;1;1;1;1;1;1;1;1;1;9
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_4\131p654_v4_p2.msop;22145;22145;22145;22145;22145;22145;22145;22145;22145;22145;22145;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_4\132d657_v4_p1.msop;511;520;515;518;513;510;511;518;515;515;520;0,017307692;0;0,009615385;0,003846154;0,013461538;0,019230769;0,017307692;0,003846154;0,009615385;0,009615385;0,010384615;0,539999986;0;1;0;0;0;0;0;0;0;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_4\132d657_v4_p2.msop;26426;26607;26348;26370;26127;26541;26531;26629;26639;26172;26639;0,007995796;0,001201246;0,010923833;0,010097977;0,019219941;0,003678817;0,004054206;0,000375389;0;0,017530688;0,007507789;0,390624976;0;0;0;0;0;0;0;0;1;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_4\145u724_v4_p1.msop;658;661;664;660;664;657;661;663;660;661;664;0,009036145;0,004518072;0;0,006024096;0;0,010542169;0,004518072;0,001506024;0,006024096;0,004518072;0,004668675;0,442857158;0;0;1;0;1;0;0;0;0;0;2
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_4\145u724_v4_p2.msop;33317;33149;33280;33335;33480;33415;33318;32221;33398;33503;33503;0,005551742;0,010566218;0,00665612;0,005014476;0,000686506;0,00262663;0,005521894;0,03826523;0,003134048;0;0,007802286;0,203900146;0;0;0;0;0;0;0;0;0;1;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_4\14st70_v4_p1.msop;37;37;37;37;37;37;37;37;37;37;37;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_4\14st70_v4_p2.msop;1891;1891;1891;1891;1891;1891;1891;1891;1891;1891;1891;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_4\157rat783_v4_p1.msop;703;704;702;704;698;697;702;707;708;710;710;0,009859155;0,008450704;0,011267606;0,008450704;0,016901408;0,018309859;0,011267606;0,004225352;0,002816901;0;0,00915493;0,500000027;0;0;0;0;0;0;0;0;0;1;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_4\157rat783_v4_p2.msop;35825;35912;35826;35691;35521;35855;35959;35515;35781;35892;35959;0,003726466;0,001307044;0,003698657;0,007452933;0,012180539;0,002892183;0;0,012347396;0,004950082;0,001863233;0,005041853;0,408333304;0;0;0;0;0;0;1;0;0;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_4\16eil76_v4_p1.msop;54;54;54;54;54;54;54;54;54;54;54;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_4\16eil76_v4_p2.msop;2814;2814;2814;2814;2814;2814;2814;2814;2814;2814;2814;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_4\16pr76_v4_p1.msop;62;62;62;62;62;62;62;62;62;62;62;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_4\16pr76_v4_p2.msop;3219;3219;3219;3219;3219;3219;3219;3219;3219;3219;3219;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_4\201pr1002_v4_p1.msop;996;996;999;995;995;998;992;998;996;994;999;0,003003003;0,003003003;0;0,004004004;0,004004004;0,001001001;0,007007007;0,001001001;0,003003003;0,005005005;0,003103103;0,442857129;0;0;1;0;0;0;0;0;0;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_4\201pr1002_v4_p2.msop;50374;50221;50331;50320;50429;50458;50479;50392;50249;50341;50479;0,002080073;0,005111036;0,002931912;0,003149825;0,000990511;0,000416015;0;0,001723489;0,00455635;0,00273381;0,002369302;0,463565899;0;0;0;0;0;0;1;0;0;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_4\20kroA100_v4_p1.msop;77;77;77;77;77;77;77;77;77;77;77;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_4\20kroA100_v4_p2.msop;3821;3821;3821;3821;3821;3821;3821;3821;3821;3821;3821;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_4\20kroB100_v4_p1.msop;66;66;66;66;66;66;66;66;66;66;66;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_4\20kroB100_v4_p2.msop;3203;3203;3203;3203;3203;3203;3203;3203;3203;3203;3203;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_4\20kroC100_v4_p1.msop;64;64;64;64;64;64;64;64;64;64;64;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_4\20kroC100_v4_p2.msop;3203;3203;3203;3203;3203;3203;3203;3203;3203;3203;3203;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_4\20kroD100_v4_p1.msop;60;60;60;60;60;60;60;60;60;60;60;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_4\20kroD100_v4_p2.msop;2985;2985;2985;2985;2985;2985;2985;2985;2985;2985;2985;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_4\20kroE100_v4_p1.msop;55;55;55;55;55;55;55;55;55;55;55;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_4\20kroE100_v4_p2.msop;2554;2554;2554;2554;2554;2554;2554;2554;2554;2554;2554;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_4\20rat99_v4_p1.msop;32;32;32;32;32;32;32;32;32;32;32;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_4\20rat99_v4_p2.msop;1607;1607;1607;1607;1607;1607;1607;1607;1607;1607;1607;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_4\20rd100_v4_p1.msop;57;57;57;57;57;57;57;57;57;57;57;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_4\20rd100_v4_p2.msop;2883;2883;2883;2883;2883;2883;2883;2883;2883;2883;2883;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_4\212u1060_v4_p1.msop;1056;1055;1056;1055;1056;1056;1056;1056;1055;1056;1056;0;0,00094697;0;0,00094697;0;0;0;0;0,00094697;0;0,000284091;0,3;1;0;1;0;1;1;1;1;0;1;7
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_4\212u1060_v4_p2.msop;53437;53468;53450;53370;53437;53424;53385;53492;53387;53398;53492;0,001028191;0,000448665;0,000785164;0,002280715;0,001028191;0,001271218;0,002000299;0;0,00196291;0,001757272;0,001256263;0,550819809;0;0;0;0;0;0;0;1;0;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_4\217vm1084_v4_p1.msop;1083;1083;1083;1083;1083;1083;1083;1083;1083;1083;1083;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_4\217vm1084_v4_p2.msop;54712;54712;54712;54712;54712;54712;54712;54712;54712;54712;54712;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_4\21eil101_v4_p1.msop;91;91;91;91;91;91;91;91;91;91;91;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_4\21eil101_v4_p2.msop;4680;4680;4680;4680;4680;4680;4680;4680;4680;4680;4680;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_4\21lin105_v4_p1.msop;55;55;55;55;55;55;55;55;55;55;55;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_4\21lin105_v4_p2.msop;2744;2744;2744;2744;2744;2744;2744;2744;2744;2744;2744;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_4\22pr107_v4_p1.msop;35;35;35;35;35;35;35;35;35;35;35;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_4\22pr107_v4_p2.msop;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_140_v_4\25pr124_v4_p1.msop;74;74;74;74;74;74;74;74;74;74;74;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
