dataset_name;a;a;a;obj_1;duration_1;obj_2;duration_2;obj_3;duration_3;obj_4;duration_4;obj_5;duration_5;best;gap_1;gap_2;gap_3;gap_4;gap_5;average_gap;avg_avg_gap;duration_1;duration_2;duration_3;duration_4;duration_5;
30kroB150_v2_p1;30kroB150_;v2_;p1;136;43,99;136;51,575;136;53,778;136;35,824;136;50,83;136;0;0;0;0;0;0;;43,991;51,575;53,778;35,824;50,826;47,1988
31pr152_v2_p1;31pr152_;v2_;p1;110;26,67;110;31,279;110;40,838;110;35,693;110;27,10;110;0;0;0;0;0;0;;26,671;31,279;40,838;35,693;27,097;32,3156
32u159_v2_p1;32u159_;v2_;p1;127;36,21;127;35,351;127;43,562;127;43,638;127;36,96;127;0;0;0;0;0;0;;36,214;35,351;43,562;43,638;36,964;39,1458
39rat195_v2_p1;39rat195_;v2_;p1;133;34,71;133;34,46;133;28,513;133;37,559;133;29,01;133;0;0;0;0;0;0;;34,711;34,46;28,513;37,559;29,01;32,8506
40d198_v2_p1;40d198_;v2_;p1;125;32,65;125;31,269;125;35,519;125;42,845;125;37,43;125;0;0;0;0;0;0;;32,647;31,269;35,519;42,845;37,426;35,9412
40kroa200_v2_p1;40kroa200_;v2_;p1;186;32,98;187;38;187;37;186;31,823;185;45,62;187;0,005347594;0;0;0,005347594;0,010695187;0,004278075;;0;38,087;36,915;0;0;37,501
40krob200_v2_p1;40krob200_;v2_;p1;177;46,90;177;49,078;177;37,426;177;48,936;177;43,70;177;0;0;0;0;0;0;;46,901;49,078;37,426;48,936;43,695;45,2072
45ts225_v2_p1;45ts225_;v2_;p1;196;63,77;196;50;197;61;196;57;196;49,46;197;0,005076142;0,005076142;0;0,005076142;0,005076142;0,004060914;;0;0;60,966;0;0;60,966
45tsp225_v2_p1;45tsp225_;v2_;p1;168;49,89;168;70;168;57;168;54;168;68,52;168;0;0;0;0;0;0;;49,893;70,429;57,175;53,885;68,523;59,981
46pr226_v2_p1;46pr226_;v2_;p1;179;25,09;179;25;179;26;179;25;179;27,07;179;0;0;0;0;0;0;;25,088;25,177;25,974;24,792;27,07;25,6202
53gil262_v2_p1;53gil262_;v2_;p1;219;25,29;220;24;219;25;219;25;219;30,87;220;0,004545455;0;0,004545455;0,004545455;0,004545455;0,003636364;;0;24,455;0;0;0;24,455
53pr264_v2_p1;53pr264_;v2_;p1;189;0,06;189;0;189;0;189;0;189;0,06;189;0;0;0;0;0;0;;0,058;0,058;0,058;0,057;0,057;0,0576
56a280_v2_p1;56a280_;v2_;p1;199;0,06;203;0;202;0;206;0;200;0,06;206;0,033980583;0,014563107;0,019417476;0;0,029126214;0,019417476;;0;0;0;0,058;0;0,058
60pr299_v2_p1;60pr299_;v2_;p1;206;0,08;206;0;206;0;206;0;206;0,07;206;0;0;0;0;0;0;;0,075;0,075;0,075;0,073;0,073;0,0742
64lin318_v2_p1;64lin318_;v2_;p1;295;0,08;298;0;297;0;297;0,076;295;0,08;298;0,010067114;0;0,003355705;0,003355705;0,010067114;0,005369128;;0;0,075;0;0;0;0,075
80rd400_v2_p1;80rd400_;v2_;p1;392;0,09;393;0;392;0;393;0;392;0,09;393;0,002544529;0;0,002544529;0;0,002544529;0,001526718;;0;0,092;0;0,093;0;0,0925
84fl417_v2_p1;84fl417_;v2_;p1;368;0,09;368;0;369;0;368;0;370;0,09;370;0,005405405;0,005405405;0,002702703;0,005405405;0;0,003783784;;0;0;0;0;0,091;0,091
88pr439_v2_p1;88pr439_;v2_;p1;423;63,65;423;44;427;65;424;51;430;61,08;430;0,01627907;0,01627907;0,006976744;0,013953488;0;0,010697674;;0;0;0;0;61,077;61,077
89pcb442_v2_p1;89pcb442_;v2_;p1;418;63,57;418;72;420;67;416;79;418;88,40;420;0,004761905;0,004761905;0;0,00952381;0,004761905;0,004761905;;0;0;66,528;0;0;66,528
99d493_v2_p1;99d493_;v2_;p1;459;72,52;460;82;459;82;459;58,891;459;70,13;460;0,002173913;0;0,002173913;0,002173913;0,002173913;0,00173913;;0;81,587;0;0;0;81,587
115rat575_v3_p1;115rat575_;v3_;p1;506;89,32;505;65;508;69;506;57;508;72,09;508;0,003937008;0,005905512;0;0,003937008;0;0,002755906;0,000970984;0;0;68,517;0;72,087;70,302
115u574_v3_p1;115u574_;v3_;p1;556;48,05;557;42,504;557;47;557;52;557;62,23;557;0,001795332;0;0;0;0;0,000359066;;0;42,504;46,937;52,264;62,232;50,98425
11berlin52_v3_p1;11berlin52_;v3_;p1;44;40,23;44;49,833;44;44,566;44;50,927;44;63,14;44;0;0;0;0;0;0;;40,231;49,833;44,566;50,927;63,143;49,74
11eil51_v3_p1;11eil51_;v3_;p1;45;0,09;45;0,091;45;0,095;45;0,082;45;0,09;45;0;0;0;0;0;0;;0,09;0,091;0,095;0,082;0,092;0,09
131p654_v3_p1;131p654_;v3_;p1;507;0,10;507;0;507;0;506;0;507;0,10;507;0;0;0;0,001972387;0;0,000394477;;0,097;0,088;0,091;0;0,097;0,09325
132d657_v3_p1;132d657_;v3_;p1;570;0,09;568;0;569;0;570;0;568;0,09;570;0;0,003508772;0,001754386;0;0,003508772;0,001754386;;0,091;0;0;0,086;0;0,0885
145u724_v3_p1;145u724_;v3_;p1;710;0,10;708;0;707;0;709;0;708;0,09;710;0;0,002816901;0,004225352;0,001408451;0,002816901;0,002253521;;0,101;0;0;0;0;0,101
14st70_v3_p1;14st70_;v3_;p1;49;0,11;49;0,107;49;0,103;49;0,103;49;0,10;49;0;0;0;0;0;0;;0,106;0,107;0,103;0,103;0,103;0,1044
157rat783_v3_p1;157rat783_;v3_;p1;737;0,11;734;0;743;0;738;0;740;0,11;743;0,00807537;0,012113055;0;0,006729475;0,004037685;0,006191117;;0;0;0,103;0;0;0,103
16eil76_v3_p1;16eil76_;v3_;p1;60;0,07;60;0,073;60;0,073;60;0,07;60;0,07;60;0;0;0;0;0;0;;0,072;0,073;0,073;0,07;0,072;0,072
16pr76_v3_p1;16pr76_;v3_;p1;63;0,08;63;0,074;63;0,078;63;0,081;63;0,08;63;0;0;0;0;0;0;;0,083;0,074;0,078;0,081;0,081;0,0794
201pr1002_v3_p1;201pr1002_;v3_;p1;996;0,09;995;0;995;0;994;0;992;0,09;996;0;0,001004016;0,001004016;0,002008032;0,004016064;0,001606426;;0,093;0;0;0;0;0,093
20kroA100_v3_p1;20kroA100_;v3_;p1;80;0,09;80;0,089;80;0,086;80;0,087;80;0,09;80;0;0;0;0;0;0;;0,089;0,089;0,086;0,087;0,086;0,0874
20kroB100_v3_p1;20kroB100_;v3_;p1;72;0,11;72;0,108;72;0,107;72;0,107;72;0,11;72;0;0;0;0;0;0;;0,114;0,108;0,107;0,107;0,109;0,109
20kroC100_v3_p1;20kroC100_;v3_;p1;71;0,11;71;0,115;71;0,115;71;0,116;71;0,11;71;0;0;0;0;0;0;;0,111;0,115;0,115;0,116;0,114;0,1142
20kroD100_v3_p1;20kroD100_;v3_;p1;64;108,90;64;80,589;64;97,605;64;99,448;64;121,35;64;0;0;0;0;0;0;;108,899;80,589;97,605;99,448;121,346;101,5774
20kroE100_v3_p1;20kroE100_;v3_;p1;63;92,46;63;117,5;63;118,275;63;125,252;63;135,55;63;0;0;0;0;0;0;;92,459;117,5;118,275;125,252;135,553;117,8078
20rat99_v3_p1;20rat99_;v3_;p1;49;118,93;49;86,031;49;81,529;49;106,263;49;89,35;49;0;0;0;0;0;0;;118,925;86,031;81,529;106,263;89,348;96,4192
