dataset_name;a;a;a;obj_1;duration_1;obj_2;duration_2;obj_3;duration_3;obj_4;duration_4;obj_5;duration_5;best;gap_1;gap_2;gap_3;gap_4;gap_5;average_gap;avg_avg_gap;duration_1;duration_2;duration_3;duration_4;duration_5;
32u159_v4_p1;32u159_;v4_;p1;109;0,19;109;0,189;109;0,183;109;0,187;109;0,19;109;0;0;0;0;0;0;;0,19;0,189;0,183;0,187;0,185;0,1868
39rat195_v4_p1;39rat195_;v4_;p1;124;0,22;124;0,209;124;0,214;124;0,22;124;0,21;124;0;0;0;0;0;0;;0,215;0,209;0,214;0,22;0,213;0,2142
40d198_v4_p1;40d198_;v4_;p1;94;0,22;94;0,209;94;0,207;94;0,208;94;0,23;94;0;0;0;0;0;0;;0,217;0,209;0,207;0,208;0,226;0,2134
40kroa200_v4_p1;40kroa200_;v4_;p1;191;0,15;190;0,148;191;0;191;0,154;191;0,15;191;0;0,005235602;0;0;0;0,00104712;;0,152;0;0,148;0,154;0,15;0,151
40krob200_v4_p1;40krob200_;v4_;p1;178;0,15;178;0,147;178;0;178;0;178;0,15;178;0;0;0;0;0;0;;0,151;0,147;0,149;0,147;0,148;0,1484
45ts225_v4_p1;45ts225_;v4_;p1;190;0,17;190;0,17;190;0;190;0,171;190;0,17;190;0;0;0;0;0;0;;0,174;0,17;0,172;0,171;0,173;0,172
45tsp225_v4_p1;45tsp225_;v4_;p1;154;0,18;154;0;154;0;154;0;154;0,17;154;0;0;0;0;0;0;;0,177;0,171;0,175;0,175;0,173;0,1742
46pr226_v4_p1;46pr226_;v4_;p1;169;0,20;169;0;169;0;169;0;169;0,20;169;0;0;0;0;0;0;;0,201;0,2;0,199;0,2;0,2;0,2
53gil262_v4_p1;53gil262_;v4_;p1;209;0,21;209;0,209;209;0;209;0;207;0,20;209;0;0;0;0;0,009569378;0,001913876;;0,207;0,209;0,206;0,201;0;0,20575
53pr264_v4_p1;53pr264_;v4_;p1;131;0,24;131;0;131;0;131;0;131;0,23;131;0;0;0;0;0;0;;0,235;0,23;0,233;0,232;0,229;0,2318
56a280_v4_p1;56a280_;v4_;p1;185;0,24;185;0;185;0;185;0;185;0,24;185;0;0;0;0;0;0;;0,236;0,237;0,239;0,237;0,241;0,238
60pr299_v4_p1;60pr299_;v4_;p1;178;0,27;178;0;178;0,263;178;0,26;178;0,27;178;0;0;0;0;0;0;;0,268;0,267;0,263;0,26;0,268;0,2652
64lin318_v4_p1;64lin318_;v4_;p1;302;0,28;302;0,274;302;0;302;0;302;0,28;302;0;0;0;0;0;0;;0,281;0,274;0,277;0,272;0,28;0,2768
80rd400_v4_p1;80rd400_;v4_;p1;399;0,30;399;0;399;0;399;0;399;0,30;399;0;0;0;0;0;0;;0,304;0,297;0,299;0,302;0,299;0,3002
84fl417_v4_p1;84fl417_;v4_;p1;364;0,31;365;0,302;365;0;365;0;365;0,30;365;0,002739726;0;0;0;0;0,000547945;;0;0,302;0,304;0,304;0,299;0,30225
88pr439_v4_p1;88pr439_;v4_;p1;438;0,26;438;0;438;0;438;0;438;0,23;438;0;0;0;0;0;0;;0,257;0,226;0,222;0,267;0,231;0,2406
89pcb442_v4_p1;89pcb442_;v4_;p1;438;0,26;438;0;438;0;438;0;438;0,31;438;0;0;0;0;0;0;;0,256;0,253;0,284;0,243;0,311;0,2694
99d493_v4_p1;99d493_;v4_;p1;457;0,32;458;0;457;0;458;0;457;0,32;458;0,002183406;0;0,002183406;0;0,002183406;0,001310044;;0;0,297;0;0,285;0;0,291
115rat575_v2_p2;115rat575_;v2_;p2;26448;0,32;26438;0;26362;0;26517;0;26754;0,27;26754;0,011437542;0,011811318;0,014652015;0,008858488;0;0,009351873;0,00135525;0;0;0;0;0,271;0,271
115u574_v2_p2;115u574_;v2_;p2;28052;0,31;28122;0;28138;0;28244;0;28007;0,31;28244;0,006797904;0,004319501;0,003753009;0;0,008391163;0,004652316;;0;0;0;0,302;0;0,302
11berlin52_v2_p2;11berlin52_;v2_;p2;2384;0,31;2384;0,286;2384;0,308;2384;0,31;2384;0,30;2384;0;0;0;0;0;0;;0,309;0,286;0,308;0,31;0,302;0,303
11eil51_v2_p2;11eil51_;v2_;p2;2069;0,29;2069;0,279;2069;0,317;2069;0,306;2069;0,26;2069;0;0;0;0;0;0;;0,292;0,279;0,317;0,306;0,264;0,2916
131p654_v2_p2;131p654_;v2_;p2;29882;0,29;29859;0;29875;0;29882;0;29748;0,36;29882;0;0,000769694;0,000234255;0;0,004484305;0,001097651;;0,289;0;0;0,283;0;0,286
132d657_v2_p2;132d657_;v2_;p2;30452;0,29;30563;0;30653;0;30508;0;30533;0,31;30653;0,00655727;0,002936091;0;0,004730369;0,003914788;0,003627704;;0;0;0,336;0;0;0,336
145u724_v2_p2;145u724_;v2_;p2;34997;0,38;35027;0;35198;0;35002;0;34920;0,31;35198;0,005710552;0,004858231;0;0,005568498;0,007898176;0,004807091;;0;0;0,355;0;0;0,355
14st70_v2_p2;14st70_;v2_;p2;2875;0,32;2875;0,317;2875;0,326;2875;0,304;2875;0,32;2875;0;0;0;0;0;0;;0,316;0,317;0,326;0,304;0,324;0,3174
157rat783_v2_p2;157rat783_;v2_;p2;37446;0,31;37126;0;37352;0;37534;0;37601;0,32;37601;0,004122231;0,012632643;0,006622164;0,001781868;0;0,005031781;;0;0;0;0;0,319;0,319
16eil76_v2_p2;16eil76_;v2_;p2;3363;0,33;3363;0,349;3363;0,315;3363;0,368;3363;0,32;3363;0;0;0;0;0;0;;0,325;0,349;0,315;0,368;0,318;0,335
16pr76_v2_p2;16pr76_;v2_;p2;3442;0,37;3442;0,314;3442;0,364;3442;0,326;3442;0,35;3442;0;0;0;0;0;0;;0,366;0,314;0,364;0,326;0,352;0,3444
201pr1002_v2_p2;201pr1002_;v2_;p2;49159;0,44;49285;0,363;49185;0;49274;0;49023;0,37;49285;0,002556559;0;0,002029015;0,000223192;0,005316019;0,002024957;;0;0,363;0;0;0;0,363
20kroA100_v2_p2;20kroA100_;v2_;p2;4256;0,41;4256;0,489;4256;0,394;4256;0,399;4256;0,39;4256;0;0;0;0;0;0;;0,409;0,489;0,394;0,399;0,394;0,417
20kroB100_v2_p2;20kroB100_;v2_;p2;3738;0,43;3738;0,52;3738;0,614;3738;0,557;3738;0,50;3738;0;0;0;0;0;0;;0,432;0,52;0,614;0,557;0,496;0,5238
20kroC100_v2_p2;20kroC100_;v2_;p2;3755;0,40;3755;0,475;3755;0,443;3755;0,471;3755;0,40;3755;0;0;0;0;0;0;;0,402;0,475;0,443;0,471;0,4;0,4382
20kroD100_v2_p2;20kroD100_;v2_;p2;3568;0,44;3568;0,434;3568;0,451;3568;0,479;3568;0,42;3568;0;0;0;0;0;0;;0,438;0,434;0,451;0,479;0,415;0,4434
20kroE100_v2_p2;20kroE100_;v2_;p2;3089;0,42;3089;0,384;3089;0,428;3089;0,371;3089;0,43;3089;0;0;0;0;0;0;;0,421;0,384;0,428;0,371;0,427;0,4062
20rat99_v2_p2;20rat99_;v2_;p2;2776;0,40;2776;0,406;2776;0,394;2776;0,404;2776;0,40;2776;0;0;0;0;0;0;;0,4;0,406;0,394;0,404;0,401;0,401
20rd100_v2_p2;20rd100_;v2_;p2;4053;0,44;4060;0,433;4053;0,414;4053;0,421;4053;0,41;4060;0,001724138;0;0,001724138;0,001724138;0,001724138;0,00137931;;0;0,433;0;0;0;0,433
212u1060_v2_p2;212u1060_;v2_;p2;53322;0,51;53344;0,505;53306;1;53331;1;53360;0,53;53360;0,000712144;0,00029985;0,001011994;0,000543478;0;0,000513493;;0;0;0;0;0,525;0,525
217vm1084_v2_p2;217vm1084_;v2_;p2;54208;0,46;54099;0;54100;0;54298;0;54187;0,50;54298;0,00165752;0,00366496;0,003646543;0;0,002044274;0,002202659;;0;0;0;0,488;0;0,488
21eil101_v2_p2;21eil101_;v2_;p2;4714;0,48;4714;0,414;4714;0,445;4714;0,392;4714;0,39;4714;0;0;0;0;0;0;;0,48;0,414;0,445;0,392;0,389;0,424
21lin105_v2_p2;21lin105_;v2_;p2;3704;0,37;3704;0,355;3704;0,399;3704;0,379;3704;0,42;3704;0;0;0;0;0;0;;0,372;0,355;0,399;0,379;0,423;0,3856
22pr107_v2_p2;22pr107_;v2_;p2;2697;0,57;2697;0,583;2697;0,518;2697;0,436;2697;0,45;2697;0;0;0;0;0;0;;0,574;0,583;0,518;0,436;0,454;0,513
25pr124_v2_p2;25pr124_;v2_;p2;4860;0,45;4860;0,446;4860;0,432;4860;0,454;4860;0,42;4860;0;0;0;0;0;0;;0,448;0,446;0,432;0,454;0,423;0,4406
26bier127_v2_p2;26bier127_;v2_;p2;6249;0,60;6236;0,719;6236;0,558;6249;0,58;6241;0,58;6249;0;0,002080333;0,002080333;0;0,001280205;0,001088174;;0,601;0;0;0,58;0;0,5905
26ch130_v2_p2;26ch130_;v2_;p2;5934;0,49;5895;0,484;5940;0,47;5934;0,483;5934;0,48;5940;0,001010101;0,007575758;0;0,001010101;0,001010101;0,002121212;;0;0;0,47;0;0;0,47
28pr136_v2_p2;28pr136_;v2_;p2;5260;0,41;5260;0,351;5260;0,363;5260;0,358;5260;0,37;5260;0;0;0;0;0;0;;0,408;0,351;0,363;0,358;0,372;0,3704
29pr144_v2_p2;29pr144_;v2_;p2;5662;0,43;5662;0,426;5662;0,47;5662;0,418;5662;0,43;5662;0;0;0;0;0;0;;0,425;0,426;0,47;0,418;0,432;0,4342
30ch150_v2_p2;30ch150_;v2_;p2;6024;0,60;6024;0,506;6024;0,477;6024;0,481;6024;0,51;6024;0;0;0;0;0;0;;0,603;0,506;0,477;0,481;0,514;0,5162
30kroA150_v2_p2;30kroA150_;v2_;p2;6564;0,50;6564;0,425;6564;0,493;6564;0,463;6564;0,42;6564;0;0;0;0;0;0;;0,497;0,425;0,493;0,463;0,424;0,4604
30kroB150_v2_p2;30kroB150_;v2_;p2;6760;0,48;6760;0,546;6760;0,481;6760;0,468;6760;0,48;6760;0;0;0;0;0;0;;0,48;0,546;0,481;0,468;0,481;0,4912
31pr152_v2_p2;31pr152_;v2_;p2;5559;0,47;5559;0,466;5559;0,477;5559;0,47;5559;0,47;5559;0;0;0;0;0;0;;0,468;0,466;0,477;0,47;0,47;0,4702
32u159_v2_p2;32u159_;v2_;p2;6529;0,36;6529;0,384;6529;0,351;6529;0,338;6529;0,35;6529;0;0;0;0;0;0;;0,355;0,384;0,351;0,338;0,347;0,355
39rat195_v2_p2;39rat195_;v2_;p2;6644;0,34;6644;0;6644;0;6644;0;6644;0,35;6644;0;0;0;0;0;0;;0,342;0,362;0,356;0,422;0,352;0,3668
40d198_v2_p2;40d198_;v2_;p2;6369;0,40;6369;0,397;6369;0,389;6369;0,393;6369;0,39;6369;0;0;0;0;0;0;;0,399;0,397;0,389;0,393;0,394;0,3944
40kroa200_v2_p2;40kroa200_;v2_;p2;9463;0,43;9463;0,439;9463;1;9463;1;9463;0,53;9463;0;0;0;0;0;0;;0,434;0,439;0,51;0,519;0,527;0,4858
40krob200_v2_p2;40krob200_;v2_;p2;8854;0,45;8854;0,448;8854;0,442;8902;0,462;8902;0,45;8902;0,005392047;0,005392047;0,005392047;0;0;0,003235228;;0;0;0;0,462;0,449;0,4555
45ts225_v2_p2;45ts225_;v2_;p2;10030;0,46;10054;0;10030;0;10054;0,464;10030;0,45;10054;0,00238711;0;0,00238711;0;0,00238711;0,001432266;;0;0,457;0;0,464;0;0,4605
45tsp225_v2_p2;45tsp225_;v2_;p2;8618;0,65;8618;1;8618;1;8618;1;8618;0,59;8618;0;0;0;0;0;0;;0,647;0,614;0,565;0,583;0,591;0,6
46pr226_v2_p2;46pr226_;v2_;p2;8959;0,50;8959;1;8959;0;8959;1;8954;0,79;8959;0;0;0;0;0,000558098;0,00011162;;0,5;0,758;0,484;0,757;0;0,62475
53gil262_v2_p2;53gil262_;v2_;p2;11153;0,49;11197;0;11197;0;11153;0;11075;0,47;11197;0,003929624;0;0;0,003929624;0,010895776;0,003751005;;0;0,45;0,464;0;0;0,457
53pr264_v2_p2;53pr264_;v2_;p2;9528;0,48;9528;0;9528;0;9528;0;9528;0,49;9528;0;0;0;0;0;0;;0,484;0,477;0,489;0,476;0,489;0,483
56a280_v2_p2;56a280_;v2_;p2;10472;0,52;10402;1;10402;1;10484;1;10484;0,54;10484;0,001144601;0,007821442;0,007821442;0;0;0,003357497;;0;0;0;0,527;0,535;0,531
60pr299_v2_p2;60pr299_;v2_;p2;10588;0,53;10445;1;10445;1;10445;1;10524;0,52;10588;0;0,013505856;0,013505856;0,013505856;0,006044579;0,009312429;;0,527;0;0;0;0;0,527
64lin318_v2_p2;64lin318_;v2_;p2;15129;0,64;15168;1;15147;1;15202;1;15217;0,60;15217;0,005783006;0,003220083;0,004600118;0,00098574;0;0,002917789;;0;0;0;0;0,598;0,598
80rd400_v2_p2;80rd400_;v2_;p2;19846;0,50;19875;1;19875;1;19875;0;19818;0,54;19875;0,001459119;0;0;0;0,002867925;0,000865409;;0;0,511;0,542;0,481;0;0,511333333
84fl417_v2_p2;84fl417_;v2_;p2;19059;0,52;19042;1;19026;1;19042;1;19059;0,50;19059;0;0,000891967;0,001731465;0,000891967;0;0,00070308;;0,515;0;0;0;0,5;0,5075
88pr439_v2_p2;88pr439_;v2_;p2;21442;0,52;21460;1;21453;0,562;21510;1;21550;0,57;21550;0,005011601;0,004176334;0,00450116;0,001856148;0;0,003109049;;0;0;0;0;0,569;0,569
89pcb442_v2_p2;89pcb442_;v2_;p2;21133;0,58;21063;1;21136;1;21116;1;21116;0,60;21136;0,000141938;0,003453823;0;0,000946253;0,000946253;0,001097653;;0;0;0,576;0;0;0,576
99d493_v2_p2;99d493_;v2_;p2;23219;0,58;23195;1;23195;1;23151;1;23181;0,57;23219;0;0,001033636;0,001033636;0,002928636;0,001636591;0,0013265;;0,58;0;0;0;0;0,58
115rat575_v3_p2;115rat575_;v3_;p2;25607;1,12;25428;1;25433;1;25433;1;25340;1,02;25607;0;0,006990276;0,006795017;0,006795017;0,010426836;0,006201429;0,001210336;1,119;0;0;0;0;1,119
115u574_v3_p2;115u574_;v3_;p2;28132;0,97;28132;1;27918;1;28109;1;28024;1,03;28132;0;0;0,007606996;0,000817574;0,003839045;0,002452723;;0,972;1,131;0;0;0;1,0515
11berlin52_v3_p2;11berlin52_;v3_;p2;2240;0,86;2240;0,826;2240;0,836;2240;0,883;2240;0,86;2240;0;0;0;0;0;0;;0,856;0,826;0,836;0,883;0,857;0,8516
11eil51_v3_p2;11eil51_;v3_;p2;2218;0,91;2218;0,961;2218;0,931;2218;0,964;2218;1,03;2218;0;0;0;0;0;0;;0,909;0,961;0,931;0,964;1,025;0,958
131p654_v3_p2;131p654_;v3_;p2;25658;0,89;25658;1;25658;1;25658;0,894;25666;0,89;25666;0,000311696;0,000311696;0,000311696;0,000311696;0;0,000249357;;0;0;0;0;0,889;0,889
132d657_v3_p2;132d657_;v3_;p2;28946;0,93;28884;1;28854;1;28987;1;29166;0,93;29166;0,00754303;0,009668792;0,010697387;0,006137283;0;0,006809298;;0;0;0;0;0,932;0,932
145u724_v3_p2;145u724_;v3_;p2;35501;0,78;35772;1;35698;1;35805;1;35753;0,74;35805;0,008490434;0,000921659;0,002988409;0;0,001452311;0,002770563;;0;0;0;0,716;0;0,716
14st70_v3_p2;14st70_;v3_;p2;2499;0,85;2499;0,862;2499;0,839;2499;0,712;2499;0,83;2499;0;0;0;0;0;0;;0,853;0,862;0,839;0,712;0,826;0,8184
157rat783_v3_p2;157rat783_;v3_;p2;37716;0,70;37666;1;37638;1;37598;1;37441;0,70;37716;0;0,001325697;0,002068088;0,003128646;0,007291335;0,002762753;;0,696;0;0;0;0;0,696
16eil76_v3_p2;16eil76_;v3_;p2;3137;0,65;3137;0,656;3137;0,677;3137;0,67;3137;0,65;3137;0;0;0;0;0;0;;0,653;0,656;0,677;0,67;0,654;0,662
16pr76_v3_p2;16pr76_;v3_;p2;3250;0,76;3250;0,753;3250;0,748;3250;0,751;3250;0,74;3250;0;0;0;0;0;0;;0,759;0,753;0,748;0,751;0,74;0,7502
201pr1002_v3_p2;201pr1002_;v3_;p2;50183;0,75;50381;1;50349;1;50313;1;50415;0,75;50415;0,004601805;0,000674402;0,001309134;0,002023207;0;0,00172171;;0;0;0;0;0,749;0,749
20kroA100_v3_p2;20kroA100_;v3_;p2;4116;0,85;4116;1,166;4116;1,018;4116;0,901;4116;0,92;4116;0;0;0;0;0;0;;0,848;1,166;1,018;0,901;0,922;0,971
20kroB100_v3_p2;20kroB100_;v3_;p2;3411;1,11;3411;0,946;3366;1,164;3411;1,083;3411;1,10;3411;0;0;0,013192612;0;0;0,002638522;;1,106;0,946;0;1,083;1,102;1,05925
20kroC100_v3_p2;20kroC100_;v3_;p2;3565;1,01;3565;1,325;3565;0,988;3565;0,967;3565;0,92;3565;0;0;0;0;0;0;;1,005;1,325;0,988;0,967;0,917;1,0404
20kroD100_v3_p2;20kroD100_;v3_;p2;3193;1,16;3133;1,466;3133;1,423;3133;1,067;3133;1,18;3193;0;0,018791106;0,018791106;0,018791106;0,018791106;0,015032884;;1,156;0;0;0;0;1,156
20kroE100_v3_p2;20kroE100_;v3_;p2;2945;0,96;2945;0,956;2945;1,287;2945;1,2;2945;0,90;2945;0;0;0;0;0;0;;0,959;0,956;1,287;1,2;0,9;1,0604
20rat99_v3_p2;20rat99_;v3_;p2;2508;1,33;2508;1,025;2508;1,042;2508;1,04;2508;1,02;2508;0;0;0;0;0;0;;1,333;1,025;1,042;1,04;1,024;1,0928
20rd100_v3_p2;20rd100_;v3_;p2;3467;0,79;3467;0,902;3467;0,969;3467;1,01;3467;1,07;3467;0;0;0;0;0;0;;0,79;0,902;0,969;1,01;1,07;0,9482
212u1060_v3_p2;212u1060_;v3_;p2;53482;0,91;53468;1;53468;1;53482;1;53468;1,23;53482;0;0,00026177;0,00026177;0;0,00026177;0,000157062;;0,913;0;0;1,06;0;0,9865
217vm1084_v3_p2;217vm1084_;v3_;p2;54712;1,59;54712;1;54712;1,091;54712;1;54712;1,44;54712;0;0;0;0;0;0;;1,589;1,18;1,091;1,346;1,439;1,329
21eil101_v3_p2;21eil101_;v3_;p2;4672;1,24;4672;1,246;4672;1,107;4672;1,357;4672;1,23;4672;0;0;0;0;0;0;;1,236;1,246;1,107;1,357;1,229;1,235
21lin105_v3_p2;21lin105_;v3_;p2;3011;1,06;3011;0,949;3011;1,088;3011;1,127;3011;1,09;3011;0;0;0;0;0;0;;1,062;0,949;1,088;1,127;1,087;1,0626
22pr107_v3_p2;22pr107_;v3_;p2;2123;1,16;2123;1,196;2123;1,15;2123;1,049;2123;1,03;2123;0;0;0;0;0;0;;1,158;1,196;1,15;1,049;1,029;1,1164
25pr124_v3_p2;25pr124_;v3_;p2;4584;1,48;4584;2,015;4584;1,469;4584;1,454;4584;1,27;4584;0;0;0;0;0;0;;1,481;2,015;1,469;1,454;1,268;1,5374
26bier127_v3_p2;26bier127_;v3_;p2;6314;1,34;6314;1,775;6314;1,712;6314;1,9;6314;1,44;6314;0;0;0;0;0;0;;1,341;1,775;1,712;1,9;1,441;1,6338
26ch130_v3_p2;26ch130_;v3_;p2;6150;1,20;6150;1,182;6150;1,307;6150;1,243;6150;1,23;6150;0;0;0;0;0;0;;1,2;1,182;1,307;1,243;1,231;1,2326
28pr136_v3_p2;28pr136_;v3_;p2;4464;1,30;4464;1,332;4464;1,426;4464;1,342;4464;1,48;4464;0;0;0;0;0;0;;1,299;1,332;1,426;1,342;1,475;1,3748
29pr144_v3_p2;29pr144_;v3_;p2;5218;1,37;5218;1,37;5218;1,232;5218;1,5;5218;1,46;5218;0;0;0;0;0;0;;1,368;1,37;1,232;1,5;1,457;1,3854
30ch150_v3_p2;30ch150_;v3_;p2;5531;1,35;5531;1,259;5531;1,353;5531;1,437;5531;1,28;5531;0;0;0;0;0;0;;1,354;1,259;1,353;1,437;1,278;1,3362
30kroA150_v3_p2;30kroA150_;v3_;p2;6351;1,79;6351;1,391;6351;1,498;6351;1,392;6351;1,72;6351;0;0;0;0;0;0;;1,789;1,391;1,498;1,392;1,722;1,5584
30kroB150_v3_p2;30kroB150_;v3_;p2;6461;1,77;6461;1,987;6461;1,763;6461;1,629;6461;1,51;6461;0;0;0;0;0;0;;1,772;1,987;1,763;1,629;1,506;1,7314
31pr152_v3_p2;31pr152_;v3_;p2;4968;1,81;4968;1,738;4968;1,828;4968;1,629;4968;1,54;4968;0;0;0;0;0;0;;1,806;1,738;1,828;1,629;1,537;1,7076
32u159_v3_p2;32u159_;v3_;p2;5452;1,66;5452;1,735;5452;2,148;5452;1,932;5452;1,96;5452;0;0;0;0;0;0;;1,661;1,735;2,148;1,932;1,956;1,8864
39rat195_v3_p2;39rat195_;v3_;p2;6058;1,39;6058;1,497;6058;1,442;6058;1,358;6058;1,44;6058;0;0;0;0;0;0;;1,39;1,497;1,442;1,358;1,435;1,4244
40d198_v3_p2;40d198_;v3_;p2;4713;1,57;4713;2,007;4713;1,497;4713;1,558;4713;1,72;4713;0;0;0;0;0;0;;1,567;2,007;1,497;1,558;1,715;1,6688
40kroa200_v3_p2;40kroa200_;v3_;p2;9250;1,38;9250;1;9250;1;9250;1;9250;1,16;9250;0;0;0;0;0;0;;1,381;1,058;1,139;1,378;1,157;1,2226
40krob200_v3_p2;40krob200_;v3_;p2;8216;1,50;8216;2;8216;1;8216;2;8216;1,57;8216;0;0;0;0;0;0;;1,502;1,573;1,317;1,707;1,572;1,5342
45ts225_v3_p2;45ts225_;v3_;p2;9177;1,61;9177;2;9177;2;9177;2;9177;1,60;9177;0;0;0;0;0;0;;1,605;1,538;1,754;1,746;1,6;1,6486
45tsp225_v3_p2;45tsp225_;v3_;p2;7414;1,56;7636;2;7636;2;7636;1;7636;1,56;7636;0,029072813;0;0;0;0;0,005814563;;0;1,501;1,747;1,44;1,563;1,56275
46pr226_v3_p2;46pr226_;v3_;p2;7903;1,34;7903;1;7903;1;7903;1,348;7903;1,40;7903;0;0;0;0;0;0;;1,336;1,389;1,341;1,348;1,396;1,362
53gil262_v3_p2;53gil262_;v3_;p2;9689;1,39;9689;1;9653;1;9689;1;9653;1,42;9689;0;0;0,003715554;0;0,003715554;0,001486221;;1,389;1,473;0;1,4;0;1,420666667
53pr264_v3_p2;53pr264_;v3_;p2;6588;2,52;6588;2;6588;2;6588;2;6588;2,68;6588;0;0;0;0;0;0;;2,524;2,474;2,042;2,327;2,681;2,4096
56a280_v3_p2;56a280_;v3_;p2;9116;2,23;9116;3;9116;3;9111;2;9116;3,34;9116;0;0;0;0,000548486;0;0,000109697;;2,226;3,092;2,734;0;3,335;2,84675
60pr299_v3_p2;60pr299_;v3_;p2;8834;2,39;8834;2;8834;2;8834;2;8834;2,09;8834;0;0;0;0;0;0;;2,393;2,181;2,438;2,319;2,087;2,2836
64lin318_v3_p2;64lin318_;v3_;p2;14924;2,74;14958;4;14924;2,058;14973;3;14958;2,78;14973;0,003272557;0,001001803;0,003272557;0;0,001001803;0,001709744;;0;0;0;2,694;0;2,694
80rd400_v3_p2;80rd400_;v3_;p2;20140;2,14;20158;2;20158;2;20158;2;20140;1,99;20158;0,000892946;0;0;0;0,000892946;0,000357178;;0;2,09;1,974;2,303;0;2,122333333
84fl417_v3_p2;84fl417_;v3_;p2;16234;2,25;16324;3;16217;3;16217;2;16237;2,64;16324;0,005513355;0;0,006554766;0,006554766;0,005329576;0,004790493;;0;2,589;0;0;0;2,589
88pr439_v3_p2;88pr439_;v3_;p2;21642;1,50;21691;2;21657;2;21710;2;21683;1,46;21710;0,003132197;0,000875173;0,002441271;0;0,001243667;0,001538462;;0;0;0;1,528;0;1,528
89pcb442_v3_p2;89pcb442_;v3_;p2;21584;1,57;21508;2;21487;2;21501;2;21405;1,57;21584;0;0,003521127;0,00449407;0,003845441;0,00829318;0,004030764;;1,573;0;0;0;0;1,573
99d493_v3_p2;99d493_;v3_;p2;20998;1,48;20992;2;20986;1;21025;1;21029;1,48;21029;0,001474155;0,001759475;0,002044795;0,000190214;0;0,001093728;;0;0;0;0;1,476;1,476
115rat575_v4_p2;115rat575_;v4_;p2;26955;1,50;26911;2;26990;1,519;27009;1;27020;1,51;27020;0,002405625;0,004034049;0,001110289;0,000407106;0;0,001591414;0,000264239;0;0;0;0;1,505;1,505
115u574_v4_p2;115u574_;v4_;p2;28888;1,66;28888;2;28888;2;28888;2;28888;1,65;28888;0;0;0;0;0;0;;1,657;1,674;1,659;1,654;1,65;1,6588
11berlin52_v4_p2;11berlin52_;v4_;p2;2384;1,66;2384;1,669;2384;1,665;2384;1,676;2384;1,68;2384;0;0;0;0;0;0;;1,663;1,669;1,665;1,676;1,677;1,67
11eil51_v4_p2;11eil51_;v4_;p2;2218;3,61;2218;2,975;2218;4,296;2218;3,586;2218;3,00;2218;0;0;0;0;0;0;;3,61;2,975;4,296;3,586;3,001;3,4936
131p654_v4_p2;131p654_;v4_;p2;26072;3,80;26072;3;26072;2;26072;2;26072;3,08;26072;0;0;0;0;0;0;;3,801;2,608;2,181;2,327;3,078;2,799
132d657_v4_p2;132d657_;v4_;p2;31307;2,88;31414;3;31150;3;31395;3;31431;3,32;31431;0,00394515;0,000540867;0,008940218;0,001145366;0;0,00291432;;0;0;0;0;3,32;3,32
145u724_v4_p2;145u724_;v4_;p2;36532;3,49;36532;5;36532;4;36532;2,954;36532;3,50;36532;0;0;0;0;0;0;;3,492;5,125;4,439;2,954;3,504;3,9028
14st70_v4_p2;14st70_;v4_;p2;2524;3,39;2524;3,166;2524;3,226;2524;2,985;2524;3,01;2524;0;0;0;0;0;0;;3,394;3,166;3,226;2,985;3,006;3,1554
157rat783_v4_p2;157rat783_;v4_;p2;39430;2,89;39517;3;39517;4;39517;3;39517;3,65;39517;0,002201584;0;0;0;0;0,000440317;;0;3,198;3,503;3,363;3,649;3,42825
16eil76_v4_p2;16eil76_;v4_;p2;3411;3,80;3411;3,535;3411;3,197;3411;3,107;3411;3,35;3411;0;0;0;0;0;0;;3,798;3,535;3,197;3,107;3,349;3,3972
16pr76_v4_p2;16pr76_;v4_;p2;3378;3,40;3378;3,662;3378;3,981;3378;3,429;3378;4,23;3378;0;0;0;0;0;0;;3,399;3,662;3,981;3,429;4,23;3,7402
201pr1002_v4_p2;201pr1002_;v4_;p2;50583;4,09;50583;3;50583;5;50583;3,536;50583;3,80;50583;0;0;0;0;0;0;;4,093;3,241;4,591;3,536;3,803;3,8528
20kroA100_v4_p2;20kroA100_;v4_;p2;4256;3,48;4256;3,935;4256;3,153;4256;3,819;4256;3,12;4256;0;0;0;0;0;0;;3,481;3,935;3,153;3,819;3,117;3,501
20kroB100_v4_p2;20kroB100_;v4_;p2;3482;3,55;3482;3,692;3482;3,22;3482;3,6;3482;4,40;3482;0;0;0;0;0;0;;3,55;3,692;3,22;3,6;4,397;3,6918
20kroC100_v4_p2;20kroC100_;v4_;p2;3565;4,55;3565;3,962;3565;4,435;3565;3,742;3565;3,70;3565;0;0;0;0;0;0;;4,55;3,962;4,435;3,742;3,695;4,0768
20kroD100_v4_p2;20kroD100_;v4_;p2;3379;2,77;3379;2,661;3379;2,833;3379;2,82;3379;2,55;3379;0;0;0;0;0;0;;2,768;2,661;2,833;2,82;2,551;2,7266
20kroE100_v4_p2;20kroE100_;v4_;p2;3089;3,04;3089;4,139;3089;2,447;3089;3,149;3089;3,34;3089;0;0;0;0;0;0;;3,035;4,139;2,447;3,149;3,339;3,2218
20rat99_v4_p2;20rat99_;v4_;p2;2508;3,30;2508;3,119;2508;2,883;2508;3,179;2508;3,04;2508;0;0;0;0;0;0;;3,298;3,119;2,883;3,179;3,035;3,1028
