;;MASOP;;;;;VNS-SOP;;;;;BRKGA;;;;;;
Instance;Best;Sol;Sol.Avg;Time;Gap%;;Sol;Sol.Avg;Time;Gap%;;Sol;Sol.Avg;Time;Gap%;;Instances;Gap deviation
99d493_T40_p1;278;278;277,7;92,11;0,00%;;278;275,9;25,43;0,00%;;278;278;16,12;0,00%;;212u1060_RND_T60_p1;0,014094286
115rat575_T40_p1;264;262;259,5;191,49;0,76%;;264;258,9;36,52;0,00%;;264;260,9;20,56;0,00%;;201pr1002_T80_p2;0,014048092
115u574_T40_p1;275;275;270,2;122,31;0,00%;;270;265,1;39,34;1,82%;;274;269,7;22,66;0,36%;;201pr1002_T40_p1;0,014047855
131p654_T40_p1;315;315;315;193,36;0,00%;;315;315;39,78;0,00%;;315;313;25,53;0,00%;;132d657_T80_p1;0,013482169
132d657_T40_p1;308;304;303;246,39;1,30%;;300;295;46,75;2,60%;;305;299,3;27,65;0,97%;;89pcb442_RND_T40_p1;0,013265075
145u724_T40_p1;326;324;321,8;173,22;0,61%;;315;303,1;64,94;3,37%;;323;317;35,69;0,92%;;145u724_T80_p2;0,013241433
157rat783_T40_p1;349;348;344,9;225,44;0,29%;;346;331,2;80,92;0,86%;;349;342,8;42,93;0,00%;;132d657_T60_p1;0,013051266
201pr1002_T40_p1;536;535;532,6;652,11;0,19%;;519;491,4;149,37;3,17%;;535;507,2;88,97;0,19%;;30ch150_RND_T40_p1;0,012397939
212u1060_T40_p1;563;559;532,8;723,77;0,71%;;535;521,2;187,21;4,97%;;563;538;108,07;0,00%;;157rat783_T80_p1;0,012349359
217vm1084_T40_p1;672;666;656,9;463,8;0,89%;;574;551,9;227,34;14,58%;;663;655,6;97,41;1,34%;;145u724_T40_p1;0,012345129
11berlin52_T40_p2;1829;1829;1829;1,87;0,00%;;1829;1829;0,29;0,00%;;1829;1829;1,23;0,00%;;201pr1002_RND_T60_p1;0,012338107
11eil51_T40_p2;1279;1279;1279;2,09;0,00%;;1279;1279;0,26;0,00%;;1279;1279;1,34;0,00%;;31pr152_T80_p1;0,011973675
14st70_T40_p2;1672;1672;1672;4,39;0,00%;;1672;1672;0,4;0,00%;;1672;1672;1,48;0,00%;;145u724_T80_p1;0,011970055
16eil76_T40_p2;2223;2223;2223;4,92;0,00%;;2223;2223;0,51;0,00%;;2223;2223;1,38;0,00%;;217vm1084_T80_p1;0,011690832
16pr76_T40_p2;2449;2449;2449;5,96;0,00%;;2449;2449;0,56;0,00%;;2449;2449;1,58;0,00%;;20rd100_RND_T40_p1;0,01150227
20kroA100_T40_p2;2151;2151;2151;6,42;0,00%;;2151;2151;0,66;0,00%;;2151;2151;1,68;0,00%;;132d657_RND_T60_p1;0,01141354
20kroB100_T40_p2;2431;2202;2202;2,14;9,42%;;2431;2431;0,66;0,00%;;2431;2431;1,68;0,00%;;145u724_RND_T40_p1;0,011229821
20kroC100_T40_p2;2174;2174;2174;5,57;0,00%;;2174;2174;0,67;0,00%;;2174;2174;1,57;0,00%;;45ts225_T80_p1;0,011186996
20kroD100_T40_p2;1740;1740;1740;6,07;0,00%;;1740;1740;0,63;0,00%;;1740;1740;1,58;0,00%;;132d657_RND_T40_p1;0,011167313
20kroE100_T40_p2;2415;2415;2415;7,62;0,00%;;2415;2415;0,69;0,00%;;2415;2415;1,42;0,00%;;28pr136_RND_T60_p1;0,010700883
20rat99_T40_p2;1905;1905;1905;4,76;0,00%;;1905;1905;0,56;0,00%;;1905;1905;1,47;0,00%;;39rat195_RND_T60_p2;0,010323759
20rd100_T40_p2;2228;2228;2228;6,54;0,00%;;2228;2228;0,69;0,00%;;2228;2228;1,63;0,00%;;31pr152_T80_p2;0,010182338
21eil101_T40_p2;3365;3365;3365;7,1;0,00%;;3365;3365;0,99;0,00%;;3365;3365;1,87;0,00%;;30ch150_RND_T40_p2;0,010088057
21lin105_T40_p2;2489;2489;2489;7,94;0,00%;;2489;2489;0,72;0,00%;;2489;2489;1,49;0,00%;;157rat783_RND_T60_p2;0,010069205
22pr107_T40_p2;2123;2123;2123;8,42;0,00%;;2123;2123;0,63;0,00%;;2123;2123;1,65;0,00%;;89pcb442_RND_T40_p2;0,009937918
25pr124_T40_p2;2302;2302;2302;7,29;0,00%;;2302;2302;1,08;0,00%;;2302;2302;1,88;0,00%;;53pr264_T80_p1;0,009899495
26bier127_T40_p2;5420;5420;5420;10,35;0,00%;;5420;5420;1,94;0,00%;;5420;5420;3,15;0,00%;;20kroC100_RND_T60_p2;0,009805214
26ch130_T40_p2;3423;3423;3412,2;6,84;0,00%;;3423;3423;1,36;0,00%;;3423;3419,4;2,41;0,00%;;217vm1084_RND_T40_p1;0,00975944
28pr136_T40_p2;2699;2699;2699;7,8;0,00%;;2699;2691,6;1,38;0,00%;;2699;2699;1,91;0,00%;;20kroA100_RND_T60_p1;0,009616652
29pr144_T40_p2;3055;3055;3055;10,13;0,00%;;3055;3055;1,22;0,00%;;3055;3055;2,08;0,00%;;212u1060_RND_T60_p2;0,009595253
30ch150_T40_p2;3131;3078;3076,1;9,89;1,69%;;3131;3131;1,54;0,00%;;3078;3078;2,11;1,69%;;132d657_RND_T60_p2;0,009300299
30kroA150_T40_p2;3039;3039;3039;10,01;0,00%;;3039;3039;1,61;0,00%;;3039;3039;2,27;0,00%;;115u574_RND_T40_p1;0,00924013
30kroB150_T40_p2;3172;3172;3172;9,02;0,00%;;3172;3172;1,67;0,00%;;3172;3172;2,38;0,00%;;80rd400_RND_T40_p2;0,009095909
31pr152_T40_p2;2915;2915;2915;9,15;0,00%;;2915;2915;1,12;0,00%;;2915;2915;1,94;0,00%;;201pr1002_RND_T40_p2;0,008579433
32u159_T40_p2;4002;4002;4002;10,41;0,00%;;4002;4000,8;1,95;0,00%;;4002;4002;2,28;0,00%;;115u574_RND_T40_p2;0,008463385
39rat195_T40_p2;3656;3656;3656;14,73;0,00%;;3656;3656;2,33;0,00%;;3656;3656;2,42;0,00%;;115u574_T80_p2;0,00838663
40d198_T40_p2;3595;3400;3400;10,3;5,42%;;3595;3595;1,96;0,00%;;3400;3400;1,9;5,42%;;115rat575_RND_T40_p2;0,008257522
40kroa200_T40_p2;4550;4550;4550;15,76;0,00%;;4550;4550;3,05;0,00%;;4550;4550;3,11;0,00%;;201pr1002_RND_T40_p1;0,008165918
40krob200_T40_p2;4348;4348;4348;12,58;0,00%;;4348;4348;3,07;0,00%;;4348;4348;3;0,00%;;115rat575_T80_p1;0,008102263
45ts225_T40_p2;5037;5037;5037;18,16;0,00%;;5037;4945;4,63;0,00%;;5037;5037;3,49;0,00%;;26ch130_T80_p1;0,008061017
45tsp225_T40_p2;4297;4297;4297;16,11;0,00%;;4297;4297;3,16;0,00%;;4297;4297;2,72;0,00%;;30ch150_T40_p2;0,007966736
46pr226_T40_p2;4403;4403;4394,6;14,74;0,00%;;4403;4403;2,68;0,00%;;4403;4403;2,85;0,00%;;39rat195_RND_T60_p1;0,007966736
53gil262_T40_p2;5330;5330;5330;20,92;0,00%;;5330;5284,9;5,76;0,00%;;5330;5330;5,03;0,00%;;80rd400_T80_p1;0,007904851
53pr264_T40_p2;6423;6423;6423;38,43;0,00%;;6423;6423;5,35;0,00%;;6397;6383,5;3,55;0,40%;;115u574_T40_p2;0,00789219
56a280_T40_p2;5630;5630;5611,3;23,15;0,00%;;5630;5605;6,3;0,00%;;5630;5606,3;4;0,00%;;115u574_T40_p1;0,007869491
60pr299_T40_p2;6600;6600;6600;31,91;0,00%;;6600;6600;6,91;0,00%;;6600;6600;4,26;0,00%;;53pr264_RND_T40_p2;0,007589613
64lin318_T40_p2;8600;8600;8600;35,88;0,00%;;8600;8593,1;7,19;0,00%;;8600;8600;7,18;0,00%;;56a280_RND_T60_p2;0,007550865
80rd400_T40_p2;10966;10825;10752,3;59,59;1,29%;;10966;10858,8;16,91;0,00%;;10874;10816,6;12,76;0,84%;;89pcb442_T60_p2;0,007478413
84fl417_T40_p2;10163;10133;9375,4;46,73;0,30%;;10163;10119,6;14,93;0,00%;;10133;10123,4;12,43;0,30%;;157rat783_T40_p2;0,007402852
88pr439_T40_p2;17082;17037;17013,5;121,16;0,26%;;17022;16804,6;31,13;0,35%;;17082;16944,6;22,85;0,00%;;132d657_T80_p2;0,007327119
89pcb442_T40_p2;11627;11565;11546,3;79,99;0,53%;;11627;11502,1;22,27;0,00%;;11627;11587,6;14,91;0,00%;;89pcb442_T80_p1;0,007314521
99d493_T40_p2;14131;14131;14083,3;83,23;0,00%;;13992;13992;25,16;0,98%;;14131;14131;15,21;0,00%;;80rd400_T80_p2;0,00728606
115rat575_T40_p2;13367;13300;13203;296,66;0,50%;;13203;12950,8;41,04;1,23%;;13367;13293;21,88;0,00%;;157rat783_T60_p1;0,007153709
115u574_T40_p2;14046;13969;13739,6;124,07;0,55%;;13782;13407,2;37,37;1,88%;;14046;13823,3;23,32;0,00%;;145u724_RND_T60_p2;0,007080019
131p654_T40_p2;16003;16003;16003;260,42;0,00%;;15983;15958,9;35,53;0,12%;;16003;15902,5;25,67;0,00%;;132d657_T40_p1;0,007036255
132d657_T40_p2;15903;15855;15790,2;311,43;0,30%;;15141;14633,2;46,81;4,79%;;15903;15738,4;27,51;0,00%;;201pr1002_RND_T60_p2;0,006989993
145u724_T40_p2;17230;17230;17127,2;216,07;0,00%;;16616;15998,6;69,03;3,56%;;17094;16974,3;36,05;0,79%;;45tsp225_RND_T60_p1;0,006693944
157rat783_T40_p2;18216;18018;17720,8;315,26;1,09%;;17889;17088,8;73,92;1,80%;;18216;17838,8;44,28;0,00%;;115u574_T60_p1;0,006646469
201pr1002_T40_p2;27275;26239;26086,2;766,51;3,80%;;25357;24632,4;149,33;7,03%;;27189;26369,8;89,4;0,32%;;16pr76_T80_p1;0,006552523
212u1060_T40_p2;28221;27348;26638,9;771,67;3,09%;;26463;25952,5;181,95;6,23%;;28221;27458,3;110,62;0,00%;;64lin318_RND_T40_p1;0,006505382
217vm1084_T40_p2;34398;34291;33818,5;710,76;0,31%;;31473;27875,1;217,37;8,50%;;34398;33799,6;95,07;0,00%;;30kroA150_RND_T60_p1;0,006505382
11berlin52_T60_p1;43;43;43;2,4;0,00%;;43;43;0,37;0,00%;;43;43;1,42;0,00%;;145u724_RND_T60_p1;0,006342625
11eil51_T60_p1;39;39;39;5,41;0,00%;;39;39;0,34;0,00%;;39;39;1,51;0,00%;;145u724_RND_T40_p2;0,006257973
14st70_T60_p1;50;50;50;4,68;0,00%;;50;50;0,53;0,00%;;50;50;1,72;0,00%;;30ch150_RND_T60_p2;0,006128259
16eil76_T60_p1;59;59;58,8;3,6;0,00%;;59;59;0,67;0,00%;;59;59;1,92;0,00%;;99d493_RND_T40_p2;0,005967132
16pr76_T60_p1;65;65;65;7,89;0,00%;;65;65;0,78;0,00%;;65;65;2,04;0,00%;;80rd400_RND_T40_p1;0,005834571
20kroA100_T60_p1;65;65;65;7,87;0,00%;;65;65;0,9;0,00%;;65;65;2,12;0,00%;;80rd400_T60_p1;0,005778889
20kroB100_T60_p1;66;66;66;8,51;0,00%;;66;66;0,9;0,00%;;66;66;2,11;0,00%;;53pr264_RND_T40_p1;0,005751135
20kroC100_T60_p1;62;62;62;6,63;0,00%;;62;62;1,01;0,00%;;62;62;2,14;0,00%;;26ch130_RND_T60_p2;0,005751135
20kroD100_T60_p1;64;64;64;10,15;0,00%;;64;64;0,89;0,00%;;64;64;2,29;0,00%;;115u574_T80_p1;0,005704384
20kroE100_T60_p1;63;63;63;7,36;0,00%;;63;63;0,95;0,00%;;63;63;2,03;0,00%;;26ch130_T80_p2;0,005703995
20rat99_T60_p1;52;52;52;8,71;0,00%;;52;52;0,84;0,00%;;52;52;1,81;0,00%;;157rat783_RND_T80_p1;0,005421152
20rd100_T60_p1;72;72;72;2,49;0,00%;;72;72;1,05;0,00%;;72;72;2,23;0,00%;;89pcb442_RND_T60_p1;0,005374012
21eil101_T60_p1;82;82;82;7,62;0,00%;;82;82;1,29;0,00%;;82;82;2,41;0,00%;;80rd400_T40_p2;0,005346027
21lin105_T60_p1;78;78;78;9,84;0,00%;;78;78;1,04;0,00%;;78;78;2,03;0,00%;;115rat575_RND_T60_p2;0,005229617
22pr107_T60_p1;53;53;53;12,74;0,00%;;53;53;0,94;0,00%;;53;53;1,87;0,00%;;132d657_T60_p2;0,00520918
25pr124_T60_p1;75;75;75;12,14;0,00%;;75;75;1,43;0,00%;;75;75;2,48;0,00%;;217vm1084_RND_T40_p2;0,0051422
26bier127_T60_p1;118;118;117,8;5,3;0,00%;;118;118;2,9;0,00%;;118;117,8;3,7;0,00%;;88pr439_T80_p1;0,005138309
26ch130_T60_p1;99;98;98;5,95;1,01%;;99;99;2,6;0,00%;;98;98;2,81;1,01%;;30kroA150_RND_T60_p2;0,005091169
28pr136_T60_p1;89;89;89;8,51;0,00%;;89;89;1,93;0,00%;;89;89;2,71;0,00%;;115rat575_T40_p2;0,005050633
29pr144_T60_p1;98;98;98;7,31;0,00%;;98;97,9;1,7;0,00%;;98;98;3,06;0,00%;;84fl417_RND_T40_p1;0,005044028
30ch150_T60_p1;96;96;96;8,96;0,00%;;96;95,4;2,28;0,00%;;96;96;2,94;0,00%;;99d493_RND_T60_p1;0,005021509
30kroA150_T60_p1;90;90;90;10,45;0,00%;;90;89;2,19;0,00%;;90;90;2,9;0,00%;;115rat575_RND_T80_p1;0,004949747
30kroB150_T60_p1;105;105;105;8,31;0,00%;;105;103,7;2,89;0,00%;;105;103,9;3,49;0,00%;;99d493_T60_p2;0,00488899
31pr152_T60_p1;105;105;105;12,17;0,00%;;105;105;1,44;0,00%;;105;105;3,14;0,00%;;115rat575_T80_p2;0,004864155
32u159_T60_p1;114;114;114;10,97;0,00%;;114;114;2,48;0,00%;;114;114;3,1;0,00%;;56a280_RND_T60_p1;0,004864155
39rat195_T60_p1;118;118;117,8;18,24;0,00%;;118;117,3;3,57;0,00%;;118;117,4;3,71;0,00%;;88pr439_RND_T40_p2;0,004813176
40d198_T60_p1;160;160;160;17,41;0,00%;;160;160;5,23;0,00%;;160;159,6;4,46;0,00%;;157rat783_RND_T80_p2;0,004808326
40kroa200_T60_p1;142;142;141,7;18,08;0,00%;;142;141,1;5,06;0,00%;;142;141,4;4,72;0,00%;;26ch130_T60_p1;0,004761186
40krob200_T60_p1;138;138;137,3;15,13;0,00%;;138;137,1;6,03;0,00%;;138;137,4;5,04;0,00%;;45tsp225_T80_p1;0,004761186
45ts225_T60_p1;152;152;151,1;6,4;0,00%;;152;151;7,82;0,00%;;152;151,2;5,09;0,00%;;131p654_T60_p2;0,004714045
45tsp225_T60_p1;147;146;146;21,47;0,68%;;147;146,3;4,9;0,00%;;146;145,7;5,95;0,68%;;99d493_T40_p2;0,004619764
46pr226_T60_p1;162;162;162;10,2;0,00%;;162;161,4;5,69;0,00%;;162;162;5,16;0,00%;;45tsp225_T80_p2;0,004525483
53gil262_T60_p1;177;176;176;17,56;0,56%;;176;173,3;8,63;0,56%;;177;175,9;8,01;0,00%;;64lin318_RND_T60_p1;0,004478343
53pr264_T60_p1;162;162;161,5;29,49;0,00%;;162;160,4;7,4;0,00%;;162;161,4;7,05;0,00%;;30kroA150_RND_T40_p2;0,004431202
56a280_T60_p1;164;164;163,5;23,8;0,00%;;164;163,8;9,33;0,00%;;164;161,9;8,24;0,00%;;56a280_T40_p1;0,004384062
60pr299_T60_p1;187;187;187;25,48;0,00%;;177;175;9,39;5,35%;;187;187;8,35;0,00%;;88pr439_RND_T40_p1;0,004384062
64lin318_T60_p1;256;256;255,1;21,96;0,00%;;256;249,4;15,8;0,00%;;256;255,1;12,7;0,00%;;80rd400_RND_T60_p1;0,004294958
80rd400_T60_p1;295;291;288,5;41,04;1,36%;;294;287,5;24,83;0,34%;;295;286,4;18,44;0,00%;;99d493_T60_p1;0,004203438
84fl417_T60_p1;288;288;285,9;35,3;0,00%;;286;254,3;17,73;0,69%;;288;284,9;15,6;0,00%;;115u574_RND_T60_p1;0,00414836
88pr439_T60_p1;385;385;384,1;47,22;0,00%;;385;383,5;36,33;0,00%;;384;382,7;28,59;0,26%;;115rat575_T60_p1;0,004123375
89pcb442_T60_p1;327;325;322,8;58,24;0,61%;;326;314,1;34,08;0,31%;;323;319;21,98;1,22%;;84fl417_T60_p2;0,003959798
99d493_T60_p1;406;406;404,1;82,79;0,00%;;402;399,1;67,96;0,99%;;405;399,6;36,15;0,25%;;89pcb442_T60_p1;0,003786232
115rat575_T60_p1;396;396;391,6;102,67;0,00%;;392;377,9;59,25;1,01%;;394;383,2;34,82;0,51%;;30ch150_T80_p2;0,003771236
115u574_T60_p1;444;442;441;77,04;0,45%;;435;427,2;69,96;2,03%;;440;434,1;40,98;0,90%;;99d493_T80_p2;0,003754405
131p654_T60_p1;529;529;528,9;118,69;0,00%;;476;470,4;40,17;10,02%;;529;518,1;48,26;0,00%;;53gil262_RND_T60_p2;0,003715134
132d657_T60_p1;478;478;474,1;145,54;0,00%;;463;456,6;91,08;3,14%;;468;459,3;51,98;2,09%;;53pr264_T40_p1;0,003676955
145u724_T60_p1;514;514;510,9;120,72;0,00%;;494;476,6;114,56;3,89%;;508;502,2;59,95;1,17%;;115rat575_T40_p1;0,003582674
157rat783_T60_p1;524;524;517,4;257,5;0,00%;;515;495,4;130,95;1,72%;;521;503,5;69,64;0,57%;;157rat783_T40_p1;0,003572425
201pr1002_T60_p1;770;770;762,6;249,39;0,00%;;736;716,3;268,7;4,42%;;751;740,5;156,37;2,47%;;99d493_RND_T40_p1;0,003441253
212u1060_T60_p1;827;827;821,8;285,05;0,00%;;790;753,6;305,65;4,47%;;812;790,9;185,13;1,81%;;115rat575_T60_p2;0,003256105
217vm1084_T60_p1;871;871;867,3;269;0,00%;;822;779;410,45;5,63%;;860;834,8;144,19;1,26%;;84fl417_T60_p1;0,003252691
11berlin52_T60_p2;2190;2190;2190;3,03;0,00%;;2190;2190;0,37;0,00%;;2190;2190;1,44;0,00%;;53pr264_RND_T80_p2;0,003252691
11eil51_T60_p2;1911;1911;1911;5,14;0,00%;;1911;1911;0,35;0,00%;;1911;1911;1,45;0,00%;;45tsp225_T60_p1;0,003205551
14st70_T60_p2;2589;2589;2589;7,02;0,00%;;2589;2589;0,53;0,00%;;2589;2589;1,7;0,00%;;40d198_RND_T40_p1;0,00315841
16eil76_T60_p2;3119;3119;3119;5,3;0,00%;;3119;3119;0,68;0,00%;;3119;3119;1,91;0,00%;;31pr152_RND_T60_p1;0,00311127
16pr76_T60_p2;3275;3275;3275;8,22;0,00%;;3275;3275;0,8;0,00%;;3275;3275;2,05;0,00%;;40krob200_RND_T60_p2;0,003064129
20kroA100_T60_p2;3192;3192;3192;6,36;0,00%;;3192;3192;0,94;0,00%;;3192;3192;2,11;0,00%;;64lin318_RND_T60_p2;0,003037909
20kroB100_T60_p2;3203;3203;3203;7,8;0,00%;;3203;3203;0,92;0,00%;;3203;3203;2,11;0,00%;;40krob200_RND_T40_p1;0,002922708
20kroC100_T60_p2;3110;3110;3110;6,2;0,00%;;3110;3110;0,96;0,00%;;3110;3110;2,12;0,00%;;131p654_RND_T60_p1;0,002922708
20kroD100_T60_p2;3133;3133;3133;10,74;0,00%;;3133;3133;0,9;0,00%;;3133;3133;2,11;0,00%;;115rat575_RND_T80_p2;0,002875568
20kroE100_T60_p2;2950;2950;2950;8,08;0,00%;;2950;2950;0,97;0,00%;;2950;2950;2,01;0,00%;;31pr152_RND_T60_p2;0,002781287
20rat99_T60_p2;2643;2643;2643;8,01;0,00%;;2643;2643;0,87;0,00%;;2643;2643;1,83;0,00%;;88pr439_RND_T60_p2;0,002781287
20rd100_T60_p2;3591;3585;3585;5,22;0,17%;;3591;3588;1,33;0,00%;;3585;3585;2,23;0,17%;;45tsp225_RND_T60_p2;0,002720703
21eil101_T60_p2;4187;4187;4186,2;8,81;0,00%;;4187;4185;1,5;0,00%;;4187;4187;2,46;0,00%;;89pcb442_RND_T60_p2;0,002691963
21lin105_T60_p2;3955;3955;3955;9,33;0,00%;;3955;3955;1,05;0,00%;;3955;3955;2,01;0,00%;;53gil262_T60_p1;0,002639865
22pr107_T60_p2;2697;2697;2697;12,51;0,00%;;2697;2697;0,96;0,00%;;2697;2697;1,72;0,00%;;80rd400_T60_p2;0,002638602
25pr124_T60_p2;3763;3763;3763;11,44;0,00%;;3763;3763;1,49;0,00%;;3763;3763;2,46;0,00%;;89pcb442_T40_p2;0,002498444
26bier127_T60_p2;5882;5882;5882;9,54;0,00%;;5882;5882;2,82;0,00%;;5882;5882;3,95;0,00%;;89pcb442_T80_p2;0,002485067
26ch130_T60_p2;5123;5123;5123;4,98;0,00%;;5123;5123;1,62;0,00%;;5123;5123;2,8;0,00%;;60pr299_T60_p2;0,002404163
28pr136_T60_p2;4579;4579;4579;9,18;0,00%;;4579;4579;1,85;0,00%;;4579;4579;2,76;0,00%;;40krob200_RND_T60_p1;0,002404163
29pr144_T60_p2;4947;4947;4947;7,57;0,00%;;4947;4916,4;1,65;0,00%;;4947;4947;3,09;0,00%;;201pr1002_RND_T80_p1;0,002357023
30ch150_T60_p2;4825;4825;4825;9,17;0,00%;;4825;4819;2,4;0,00%;;4825;4825;3,32;0,00%;;56a280_RND_T40_p1;0,002309882
30kroA150_T60_p2;4542;4542;4542;10,79;0,00%;;4542;4469,4;2,2;0,00%;;4542;4542;2,97;0,00%;;80rd400_T40_p1;0,002262742
