;;MASOP;;;;;VNS-SOP;;;;;BRKGA;;;;;;
Instance;Best;Sol;Sol.Avg;Time;Gap%;;Sol;Sol.Avg;Time;Gap%;;Sol;Sol.Avg;Time;Gap%;;Instances;Gap deviation
30kroB150_T60_p2;5123;5123;5123;9,58;0,00%;;5120;5079,6;3,14;0,06%;;5123;5121,5;3,58;0,00%;;88pr439_RND_T60_p1;0,002168461
31pr152_T60_p2;5235;5235;5235;11,98;0,00%;;5235;5235;1,49;0,00%;;5235;5235;3,12;0,00%;;99d493_RND_T60_p2;0,002123414
32u159_T60_p2;5906;5906;5906;11,04;0,00%;;5906;5906;2,54;0,00%;;5906;5906;3,12;0,00%;;89pcb442_T40_p1;0,00212132
39rat195_T60_p2;5846;5846;5839,1;18,88;0,00%;;5846;5829,2;4,6;0,00%;;5846;5846;3,95;0,00%;;115u574_RND_T60_p2;0,002053182
40d198_T60_p2;8102;8102;8102;17,41;0,00%;;8102;8102;5,84;0,00%;;8102;8102;4,92;0,00%;;53pr264_T40_p2;0,001885618
40kroa200_T60_p2;7105;7105;7104,6;17,36;0,00%;;7105;7062,4;4,9;0,00%;;7105;7104,6;4,83;0,00%;;60pr299_RND_T40_p1;0,001838478
40krob200_T60_p2;6943;6943;6943;14,57;0,00%;;6943;6884,8;6,01;0,00%;;6943;6940;5,11;0,00%;;131p654_RND_T60_p2;0,001838478
45ts225_T60_p2;7948;7948;7896,7;8,89;0,00%;;7948;7853,5;7,26;0,00%;;7948;7918,2;5,28;0,00%;;53pr264_RND_T80_p1;0,001791337
45tsp225_T60_p2;7603;7603;7603;19,03;0,00%;;7603;7584;4,94;0,00%;;7603;7603;5,49;0,00%;;99d493_T80_p1;0,001755626
46pr226_T60_p2;8280;8280;8280;12,6;0,00%;;8280;8233;4,82;0,00%;;8280;8280;5,25;0,00%;;60pr299_T80_p1;0,001744197
53gil262_T60_p2;8864;8864;8854,6;34,77;0,00%;;8864;8862,4;8,6;0,00%;;8864;8863,4;8,15;0,00%;;217vm1084_RND_T60_p1;0,001744197
53pr264_T60_p2;8404;8404;8404;30,08;0,00%;;8404;8397;7,24;0,00%;;8404;8404;6,59;0,00%;;131p654_T80_p2;0,001657977
56a280_T60_p2;8470;8470;8468,1;25,79;0,00%;;8470;8330,7;9,65;0,00%;;8470;8468,1;8,01;0,00%;;80rd400_RND_T60_p2;0,001525341
60pr299_T60_p2;9544;9544;9544;23,69;0,00%;;9495;8939,9;10,58;0,51%;;9544;9496,3;8,22;0,00%;;88pr439_T40_p2;0,001483989
64lin318_T60_p2;13188;13188;13188;21,22;0,00%;;13185;13038,3;14,97;0,02%;;13188;13188;12,46;0,00%;;88pr439_T80_p2;0,001461354
80rd400_T60_p2;15147;15051;14983,9;38,14;0,63%;;15147;15009,8;21,94;0,00%;;15118;14901,9;18,79;0,19%;;88pr439_T40_p1;0,001414214
84fl417_T60_p2;14937;14937;14937;43,2;0,00%;;14812;12890,8;16,79;0,84%;;14937;14826,8;16,42;0,00%;;84fl417_T40_p2;0,001414214
88pr439_T60_p2;19642;19640;19613,2;82,12;0,01%;;19601;19489,7;40,23;0,21%;;19642;19516,9;29,84;0,00%;;30kroB150_RND_T60_p2;0,001367073
89pcb442_T60_p2;16644;16523;16455,4;61,87;0,73%;;16341;16099,6;35,83;1,82%;;16644;16463,7;23,47;0,00%;;217vm1084_RND_T60_p2;0,001367073
99d493_T60_p2;20584;20574;20481,5;74,17;0,05%;;20348;20060,5;61,42;1,15%;;20376;20216,1;35,2;1,01%;;145u724_RND_T80_p1;0,001319933
115rat575_T60_p2;20062;19962;19817,6;103,39;0,50%;;19811;18977,7;63,52;1,25%;;19933;19530,3;36,29;0,64%;;56a280_T80_p2;0,001272792
115u574_T60_p2;22685;22606;22149,3;75,5;0,35%;;21688;20976,8;63,78;4,39%;;22542;22032,8;40,54;0,63%;;88pr439_T60_p1;0,001225652
131p654_T60_p2;26905;26905;26904,4;134,53;0,00%;;26636;24064,8;49,55;1,00%;;26905;25828,1;46,93;0,00%;;84fl417_T80_p1;0,001178511
132d657_T60_p2;24186;24132;24013,7;146,78;0,22%;;23867;23225,9;91,32;1,32%;;24135;23644,3;50,31;0,21%;;145u724_RND_T80_p2;0,001131371
145u724_T60_p2;26564;26510;26302,3;173,86;0,20%;;25459;24562,6;111,1;4,16%;;26564;25945;60,15;0,00%;;64lin318_RND_T40_p2;0,001070825
157rat783_T60_p2;26883;26740;26516,8;210,35;0,53%;;25512;25076,3;138,19;5,10%;;26739;25794,7;70,6;0,54%;;88pr439_T60_p2;0,000967241
201pr1002_T60_p2;39262;39123;38537,7;231,66;0,35%;;37133;36207,1;264,15;5,42%;;38336;37611;155,51;2,36%;;99d493_RND_T80_p1;0,000942809
212u1060_T60_p2;41533;41362;41042,7;434,21;0,41%;;38921;37879,5;348,27;6,29%;;40311;39577,9;184,72;2,94%;;132d657_RND_T80_p2;0,000942809
217vm1084_T60_p2;44641;44573;44325,9;341,7;0,15%;;41730;40052,2;365,5;6,52%;;43938;42925,3;146,62;1,57%;;20rd100_T60_p2;0,000801388
11berlin52_T80_p1;47;47;47;7,76;0,00%;;47;47;0,42;0,00%;;47;47;1,67;0,00%;;201pr1002_RND_T80_p2;0,000801388
11eil51_T80_p1;43;43;43;2,93;0,00%;;43;43;0,42;0,00%;;43;43;1,65;0,00%;;132d657_RND_T80_p1;0,000707107
14st70_T80_p1;65;65;65;9,24;0,00%;;65;65;0,64;0,00%;;65;64,8;2,02;0,00%;;212u1060_RND_T80_p2;0,000707107
16eil76_T80_p1;69;69;69;4,03;0,00%;;69;69;0,81;0,00%;;69;69;2,42;0,00%;;84fl417_T80_p2;0,000659966
16pr76_T80_p1;72;71;71;3,71;1,39%;;72;71,7;1,12;0,00%;;72;72;2,49;0,00%;;131p654_T40_p2;0,000565685
20kroA100_T80_p1;79;79;79;7,81;0,00%;;79;78,6;1,5;0,00%;;79;78,9;2,62;0,00%;;56a280_RND_T40_p2;0,000518545
20kroB100_T80_p1;86;86;86;7,72;0,00%;;86;86;1,1;0,00%;;86;86;2,5;0,00%;;46pr226_RND_T40_p2;0,000471405
20kroC100_T80_p1;83;83;83;8,58;0,00%;;83;83;1,25;0,00%;;83;83;2,46;0,00%;;212u1060_RND_T80_p1;0,000424264
20kroD100_T80_p1;85;85;85;9,56;0,00%;;85;85;1,28;0,00%;;85;85;2,43;0,00%;;30kroB150_T60_p2;0,000282843
20kroE100_T80_p1;80;80;80;3,32;0,00%;;80;80;1,38;0,00%;;80;80;2,45;0,00%;;84fl417_RND_T40_p2;0,000141421
20rat99_T80_p1;79;79;79;9,88;0,00%;;79;79;1,19;0,00%;;79;78,4;2,62;0,00%;;84fl417_RND_T60_p2;0,000141421
20rd100_T80_p1;91;91;91;10,74;0,00%;;91;91;1,42;0,00%;;91;91;2,86;0,00%;;64lin318_T60_p2;9,43E-05
21eil101_T80_p1;91;91;91;7,71;0,00%;;91;91;1,44;0,00%;;91;91;3,01;0,00%;;11berlin52_T40_p1;0
21lin105_T80_p1;90;90;90;9,88;0,00%;;90;90;1,19;0,00%;;90;90;2,61;0,00%;;11eil51_T40_p1;0
22pr107_T80_p1;65;65;65;4,04;0,00%;;65;65;0,86;0,00%;;65;65;2,41;0,00%;;14st70_T40_p1;0
25pr124_T80_p1;99;99;99;10,63;0,00%;;99;99;1,66;0,00%;;99;99;3,02;0,00%;;16eil76_T40_p1;0
26bier127_T80_p1;123;123;123;7,64;0,00%;;123;123;3,05;0,00%;;123;122,8;4,32;0,00%;;16pr76_T40_p1;0
26ch130_T80_p1;117;115;114,7;4,87;1,71%;;117;116,8;2,21;0,00%;;115;115;3,41;1,71%;;20kroA100_T40_p1;0
28pr136_T80_p1;123;123;122,7;7,03;0,00%;;123;123;2,77;0,00%;;123;123;3,56;0,00%;;20kroB100_T40_p1;0
29pr144_T80_p1;125;125;125;4,86;0,00%;;125;124,1;2,29;0,00%;;125;125;3,5;0,00%;;20kroC100_T40_p1;0
30ch150_T80_p1;127;127;126,8;7,85;0,00%;;127;126,9;3,58;0,00%;;127;127;3,76;0,00%;;20kroD100_T40_p1;0
30kroA150_T80_p1;120;120;120;9,44;0,00%;;120;119,6;2,99;0,00%;;120;120;3,69;0,00%;;20kroE100_T40_p1;0
30kroB150_T80_p1;138;138;138;6,69;0,00%;;138;137,8;3,48;0,00%;;138;138;3,91;0,00%;;20rat99_T40_p1;0
31pr152_T80_p1;118;118;118;10,44;0,00%;;115;115;1,83;2,54%;;118;116,5;3,76;0,00%;;20rd100_T40_p1;0
32u159_T80_p1;140;140;140;9,9;0,00%;;140;140;3,76;0,00%;;140;140;4,1;0,00%;;21eil101_T40_p1;0
39rat195_T80_p1;167;167;167;12,44;0,00%;;167;167;6,4;0,00%;;167;167;5;0,00%;;21lin105_T40_p1;0
40d198_T80_p1;171;171;171;32,96;0,00%;;171;171;7,84;0,00%;;171;171;5,24;0,00%;;22pr107_T40_p1;0
40kroa200_T80_p1;184;184;184;13,24;0,00%;;184;183,7;5,14;0,00%;;184;184;6,16;0,00%;;25pr124_T40_p1;0
40krob200_T80_p1;179;179;178,1;16,74;0,00%;;179;177,1;7,45;0,00%;;179;177,3;6,34;0,00%;;26bier127_T40_p1;0
45ts225_T80_p1;193;188;187,1;4,8;2,59%;;192;188,5;9,21;0,52%;;193;188,5;6,44;0,00%;;26ch130_T40_p1;0
45tsp225_T80_p1;198;196;195,9;19,04;1,01%;;198;197,9;7,48;0,00%;;196;195,8;8,15;1,01%;;28pr136_T40_p1;0
46pr226_T80_p1;213;213;213;12,86;0,00%;;213;213;5,13;0,00%;;213;213;7,68;0,00%;;29pr144_T40_p1;0
53gil262_T80_p1;226;226;225;17,39;0,00%;;226;225;10,69;0,00%;;226;224,5;10,8;0,00%;;30ch150_T40_p1;0
53pr264_T80_p1;238;238;238;23,72;0,00%;;233;233;5,96;2,10%;;238;237,5;11,96;0,00%;;30kroA150_T40_p1;0
56a280_T80_p1;232;232;231,8;23,05;0,00%;;232;228,7;12,27;0,00%;;232;231,3;12,48;0,00%;;30kroB150_T40_p1;0
60pr299_T80_p1;270;270;269,5;26,29;0,00%;;269;267,3;15,83;0,37%;;270;269,2;14,44;0,00%;;31pr152_T40_p1;0
64lin318_T80_p1;295;295;294,1;22,17;0,00%;;295;291,5;17,79;0,00%;;295;291,8;16,95;0,00%;;32u159_T40_p1;0
80rd400_T80_p1;364;363;360,7;37,22;0,27%;;359;354,3;36,63;1,37%;;356;350,6;24,71;2,20%;;39rat195_T40_p1;0
84fl417_T80_p1;399;399;398,8;67,36;0,00%;;399;395,1;20,87;0,00%;;398;397,4;24,36;0,25%;;40kroa200_T40_p1;0
88pr439_T80_p1;419;419;418,9;80,23;0,00%;;415;412,5;38,09;0,95%;;414;412,1;33,66;1,19%;;40krob200_T40_p1;0
89pcb442_T80_p1;402;401;399,2;53,78;0,25%;;394;385,4;44,48;1,99%;;399;389,5;30,06;0,75%;;45ts225_T40_p1;0
99d493_T80_p1;468;468;467;44,04;0,00%;;467;458,6;74,6;0,21%;;466;462,1;45,72;0,43%;;45tsp225_T40_p1;0
115rat575_T80_p1;498;495;493;79,36;0,60%;;487;478,1;80,53;2,21%;;486;478,2;47,94;2,41%;;46pr226_T40_p1;0
115u574_T80_p1;540;539;537,4;87,25;0,19%;;533;527,2;102,86;1,30%;;532;521,5;55,65;1,48%;;53gil262_T40_p1;0
131p654_T80_p1;637;636;636;95,31;0,16%;;636;632;45,6;0,16%;;636;633;79,01;0,16%;;60pr299_T40_p1;0
132d657_T80_p1;594;592;589,3;97,33;0,34%;;575;561,1;122,89;3,20%;;575;565,1;72,99;3,20%;;64lin318_T40_p1;0
145u724_T80_p1;649;645;639,4;84,98;0,62%;;626;603,1;170,54;3,54%;;634;621,1;86,01;2,31%;;84fl417_T40_p1;0
157rat783_T80_p1;663;661;653,8;149,52;0,30%;;652;643,3;188,87;1,66%;;641;632,1;100,67;3,32%;;99d493_T40_p1;0
201pr1002_T80_p1;928;928;925,1;184,13;0,00%;;896;884,4;403,31;3,45%;;909;874,5;213,96;2,05%;;131p654_T40_p1;0
212u1060_T80_p1;1001;1001;994,5;228,23;0,00%;;967;958,3;476,64;3,40%;;960;945;247,62;4,10%;;11berlin52_T40_p2;0
217vm1084_T80_p1;1006;1004;1001,8;119,15;0,20%;;979;968,4;688,76;2,68%;;979;965,3;195,57;2,68%;;11eil51_T40_p2;0
11berlin52_T80_p2;2384;2384;2384;7,16;0,00%;;2384;2384;0,42;0,00%;;2384;2384;1,41;0,00%;;14st70_T40_p2;0
11eil51_T80_p2;2114;2114;2114;3,26;0,00%;;2114;2114;0,44;0,00%;;2114;2114;1,58;0,00%;;16eil76_T40_p2;0
14st70_T80_p2;3355;3355;3355;8,49;0,00%;;3355;3355;0,68;0,00%;;3355;3355;1,99;0,00%;;16pr76_T40_p2;0
16eil76_T80_p2;3573;3573;3568,2;6,03;0,00%;;3573;3573;0,82;0,00%;;3573;3573;2,23;0,00%;;20kroA100_T40_p2;0
16pr76_T80_p2;3611;3611;3608;3,25;0,00%;;3611;3607;1,1;0,00%;;3611;3611;2,42;0,00%;;20kroC100_T40_p2;0
20kroA100_T80_p2;4115;4115;4115;7,87;0,00%;;4115;4115;1,21;0,00%;;4115;4115;2,45;0,00%;;20kroD100_T40_p2;0
20kroB100_T80_p2;4188;4188;4188;5,49;0,00%;;4188;4169,2;1,34;0,00%;;4188;4188;2,53;0,00%;;20kroE100_T40_p2;0
20kroC100_T80_p2;3999;3999;3999;7,56;0,00%;;3999;3999;1,14;0,00%;;3999;3999;2,47;0,00%;;20rat99_T40_p2;0
20kroD100_T80_p2;4267;4267;4267;9,31;0,00%;;4267;4267;1,25;0,00%;;4267;4267;2,45;0,00%;;20rd100_T40_p2;0
20kroE100_T80_p2;4002;4002;4002;4,83;0,00%;;4002;3974,4;1,37;0,00%;;4002;4002;2,51;0,00%;;21eil101_T40_p2;0
20rat99_T80_p2;3992;3992;3992;9,85;0,00%;;3992;3992;1,21;0,00%;;3992;3992;2,35;0,00%;;21lin105_T40_p2;0
20rd100_T80_p2;4640;4640;4640;10,3;0,00%;;4640;4640;1,27;0,00%;;4640;4640;2,79;0,00%;;22pr107_T40_p2;0
21eil101_T80_p2;4717;4717;4705,3;9,04;0,00%;;4717;4717;1,45;0,00%;;4717;4707,9;2,83;0,00%;;25pr124_T40_p2;0
21lin105_T80_p2;4561;4561;4561;9,92;0,00%;;4561;4561;1,21;0,00%;;4561;4561;2,59;0,00%;;26bier127_T40_p2;0
22pr107_T80_p2;3275;3275;3275;7,59;0,00%;;3275;3275;0,99;0,00%;;3275;3275;2,24;0,00%;;26ch130_T40_p2;0
25pr124_T80_p2;4947;4947;4932,2;4,88;0,00%;;4947;4947;1,63;0,00%;;4947;4947;3,04;0,00%;;28pr136_T40_p2;0
26bier127_T80_p2;6218;6218;6218;8,64;0,00%;;6218;6218;2,98;0,00%;;6218;6211,5;4,08;0,00%;;29pr144_T40_p2;0
26ch130_T80_p2;5967;5895;5882,1;7,43;1,21%;;5967;5920,2;3,09;0,00%;;5895;5895;3,64;1,21%;;30kroA150_T40_p2;0
28pr136_T80_p2;6330;6330;6330;8,21;0,00%;;6330;6330;2,53;0,00%;;6330;6330;3,43;0,00%;;30kroB150_T40_p2;0
29pr144_T80_p2;6356;6356;6356;6,38;0,00%;;6356;6356;2,3;0,00%;;6356;6356;3,48;0,00%;;31pr152_T40_p2;0
30ch150_T80_p2;6382;6331;6331;8,84;0,80%;;6382;6373,5;3,1;0,00%;;6331;6331;3,54;0,80%;;32u159_T40_p2;0
30kroA150_T80_p2;6081;6081;6081;10,7;0,00%;;6081;5974,8;3,15;0,00%;;6081;6081;3,71;0,00%;;39rat195_T40_p2;0
30kroB150_T80_p2;6880;6880;6880;7,67;0,00%;;6880;6880;3,49;0,00%;;6880;6880;3,92;0,00%;;40kroa200_T40_p2;0
31pr152_T80_p2;5928;5928;5916,8;13,17;0,00%;;5800;5800;1,84;2,16%;;5928;5825,6;3,52;0,00%;;40krob200_T40_p2;0
32u159_T80_p2;7164;7164;7164;10,19;0,00%;;7164;7164;4,35;0,00%;;7164;7164;4,15;0,00%;;45ts225_T40_p2;0
39rat195_T80_p2;8522;8522;8522;11,59;0,00%;;8522;8522;5,87;0,00%;;8522;8522;5,08;0,00%;;45tsp225_T40_p2;0
40d198_T80_p2;8628;8628;8628;32,84;0,00%;;8628;8628;8,52;0,00%;;8628;8628;5,03;0,00%;;46pr226_T40_p2;0
40kroa200_T80_p2;9338;9338;9338;15,44;0,00%;;9338;9331,8;5,53;0,00%;;9338;9338;6,39;0,00%;;53gil262_T40_p2;0
40krob200_T80_p2;9077;9077;9077;15,18;0,00%;;9077;8876,9;5,42;0,00%;;9077;9066,4;6;0,00%;;56a280_T40_p2;0
45ts225_T80_p2;9888;9888;9752,4;6,72;0,00%;;9888;9785,2;10,11;0,00%;;9888;9748,4;6,78;0,00%;;60pr299_T40_p2;0
45tsp225_T80_p2;10030;9934;9921,4;20,41;0,96%;;10030;10024,4;6,94;0,00%;;9934;9927,4;8,59;0,96%;;64lin318_T40_p2;0
46pr226_T80_p2;10770;10770;10770;10,03;0,00%;;10770;10734,6;5,57;0,00%;;10770;10770;7,64;0,00%;;11berlin52_T60_p1;0
53gil262_T80_p2;11606;11606;11586,6;20,67;0,00%;;11606;11439;11,43;0,00%;;11606;11586,6;11,59;0,00%;;11eil51_T60_p1;0
53pr264_T80_p2;12048;12048;12048;30,97;0,00%;;12048;11824,5;6,55;0,00%;;12048;12022,7;11,38;0,00%;;14st70_T60_p1;0
56a280_T80_p2;11984;11984;11898,5;21,6;0,00%;;11984;11911,4;12,68;0,00%;;11952;11925,6;12,52;0,27%;;16eil76_T60_p1;0
60pr299_T80_p2;13653;13653;13619,2;30,09;0,00%;;13653;13533,8;16,36;0,00%;;13653;13649,5;14,27;0,00%;;16pr76_T60_p1;0
64lin318_T80_p2;15103;15103;15055,9;32,56;0,00%;;15103;14981,5;19,13;0,00%;;15103;15012,9;16,23;0,00%;;20kroA100_T60_p1;0
80rd400_T80_p2;18529;18529;18438,3;40,62;0,00%;;18239;18040,7;37,51;1,57%;;18519;18225,9;25,19;0,05%;;20kroB100_T60_p1;0
84fl417_T80_p2;20248;20248;20245,2;54,45;0,00%;;20220;19885,6;21,94;0,14%;;20220;20152,2;26,48;0,14%;;20kroC100_T60_p1;0
88pr439_T80_p2;21134;21134;21094,3;77,32;0,00%;;21068;21017,6;43,8;0,31%;;21068;20951,4;34,51;0,31%;;20kroD100_T60_p1;0
89pcb442_T80_p2;20243;20214;20159,4;55,84;0,14%;;20099;19693,5;42,32;0,71%;;20120;19688,9;29,84;0,61%;;20kroE100_T60_p1;0
99d493_T80_p2;23726;23726;23645,9;51,99;0,00%;;23646;23233,3;78,87;0,34%;;23511;23361,6;49,19;0,91%;;20rat99_T60_p1;0
115rat575_T80_p2;25145;25072;24891,3;95,12;0,29%;;24875;24434,6;76,2;1,07%;;24779;24498;48,88;1,46%;;20rd100_T60_p1;0
115u574_T80_p2;27389;27389;27293,9;112,68;0,00%;;26828;26308,3;97,57;2,05%;;27077;26586,6;56,14;1,14%;;21eil101_T60_p1;0
131p654_T80_p2;32335;32335;32331,6;107,37;0,00%;;32216;32030,2;49,79;0,37%;;32227;32074,9;79,63;0,33%;;21lin105_T60_p1;0
132d657_T80_p2;30642;30497;30372,7;110,93;0,47%;;30123;29311,8;110,47;1,69%;;29962;29437,6;72,91;2,22%;;22pr107_T60_p1;0
145u724_T80_p2;33050;32935;32768,9;116,67;0,35%;;31863;31633,2;165,53;3,59%;;32357;31830;83,79;2,10%;;25pr124_T60_p1;0
157rat783_T80_p2;34081;34081;33731,1;170,03;0,00%;;32613;31793,5;202,87;4,31%;;32972;32383,5;102,78;3,25%;;26bier127_T60_p1;0
201pr1002_T80_p2;46972;46800;46719,9;146,77;0,37%;;45394;44801,6;420,85;3,36%;;45404;44720,2;216,35;3,34%;;28pr136_T60_p1;0
212u1060_T80_p2;50704;50704;50152,4;233,12;0,00%;;48879;47680,8;566,02;3,60%;;48602;47784,1;248,01;4,15%;;29pr144_T60_p1;0
217vm1084_T80_p2;51539;51485;51323,3;185,85;0,10%;;49635;48736,8;605,05;3,69%;;49233;48523,5;186,99;4,47%;;30ch150_T60_p1;0
11berlin52_RND_T40_p1;50;50;50;8,17;0,00%;;50;50;0,63;0,00%;;50;50;1,99;0,00%;;30kroA150_T60_p1;0
11eil51_RND_T40_p1;37;34;34;1,01;8,11%;;37;37;0,44;0,00%;;37;37;1,6;0,00%;;30kroB150_T60_p1;0
14st70_RND_T40_p1;56;56;56;6,81;0,00%;;56;56;0,76;0,00%;;56;56;1,72;0,00%;;31pr152_T60_p1;0
16eil76_RND_T40_p1;51;51;51;4,11;0,00%;;51;51;0,88;0,00%;;51;51;1,91;0,00%;;32u159_T60_p1;0
16pr76_RND_T40_p1;70;70;69,7;4,68;0,00%;;70;70;1,17;0,00%;;70;70;2,24;0,00%;;39rat195_T60_p1;0
20kroA100_RND_T40_p1;80;74;74;1,12;7,50%;;80;80;1,74;0,00%;;80;80;2,51;0,00%;;40d198_T60_p1;0
20kroB100_RND_T40_p1;86;86;85,7;2,85;0,00%;;86;86;2,28;0,00%;;86;86;2,51;0,00%;;40kroa200_T60_p1;0
20kroC100_RND_T40_p1;72;72;71,3;6,12;0,00%;;72;71,2;1,69;0,00%;;72;72;2,47;0,00%;;40krob200_T60_p1;0
20kroD100_RND_T40_p1;78;78;78;7,95;0,00%;;78;76,4;2,45;0,00%;;78;78;2,44;0,00%;;45ts225_T60_p1;0
20kroE100_RND_T40_p1;90;90;90;9,95;0,00%;;90;90;2,37;0,00%;;90;90;2,48;0,00%;;46pr226_T60_p1;0
20rat99_RND_T40_p1;73;73;73;6,58;0,00%;;73;73;1,46;0,00%;;73;73;2,06;0,00%;;53pr264_T60_p1;0
20rd100_RND_T40_p1;82;80;80;7,37;2,44%;;82;81,6;2,18;0,00%;;80;80;2,21;2,44%;;56a280_T60_p1;0
21eil101_RND_T40_p1;83;76;76;4,62;8,43%;;83;83;1,71;0,00%;;83;83;2,7;0,00%;;64lin318_T60_p1;0
21lin105_RND_T40_p1;95;95;95;9,2;0,00%;;95;95;2,17;0,00%;;95;95;2,4;0,00%;;11berlin52_T60_p2;0
22pr107_RND_T40_p1;94;94;94;13,77;0,00%;;94;94;3,21;0,00%;;94;94;2,36;0,00%;;11eil51_T60_p2;0
25pr124_RND_T40_p1;101;101;101;6,59;0,00%;;101;101;3,27;0,00%;;101;101;2,9;0,00%;;14st70_T60_p2;0
26bier127_RND_T40_p1;125;125;125;15,17;0,00%;;125;125;5,24;0,00%;;125;125;3,44;0,00%;;16eil76_T60_p2;0
26ch130_RND_T40_p1;111;111;107,2;6,46;0,00%;;111;110,3;3,98;0,00%;;111;111;3,65;0,00%;;16pr76_T60_p2;0
28pr136_RND_T40_p1;120;120;119,1;5,52;0,00%;;120;120;4,44;0,00%;;120;120;3,1;0,00%;;20kroA100_T60_p2;0
29pr144_RND_T40_p1;137;137;137;16,08;0,00%;;137;137;5,28;0,00%;;137;137;3,89;0,00%;;20kroB100_T60_p2;0
30ch150_RND_T40_p1;114;111;111;5,5;2,63%;;114;112,7;5,15;0,00%;;111;111;3,58;2,63%;;20kroC100_T60_p2;0
30kroA150_RND_T40_p1;110;104;103;2,89;5,45%;;109;106,4;4,17;0,91%;;110;109,8;3,75;0,00%;;20kroD100_T60_p2;0
30kroB150_RND_T40_p1;120;120;119,4;8,2;0,00%;;120;118,9;6,16;0,00%;;120;119,9;4,22;0,00%;;20kroE100_T60_p2;0
31pr152_RND_T40_p1;136;136;136;14,9;0,00%;;136;136;7,11;0,00%;;136;136;3,61;0,00%;;20rat99_T60_p2;0
32u159_RND_T40_p1;143;143;143;11,1;0,00%;;143;143;5,21;0,00%;;143;143;4,08;0,00%;;21eil101_T60_p2;0
39rat195_RND_T40_p1;135;135;135;7,19;0,00%;;135;133,8;7,7;0,00%;;135;135;4,03;0,00%;;21lin105_T60_p2;0
40d198_RND_T40_p1;149;148;148;7,57;0,67%;;149;148,1;6,61;0,00%;;148;148;3,21;0,67%;;22pr107_T60_p2;0
40kroa200_RND_T40_p1;173;173;173;13,06;0,00%;;173;173;8,55;0,00%;;173;173;6,31;0,00%;;25pr124_T60_p2;0
40krob200_RND_T40_p1;162;162;161,3;15,78;0,00%;;161;160,4;10,99;0,62%;;162;160,7;5,76;0,00%;;26bier127_T60_p2;0
45ts225_RND_T40_p1;198;198;193,1;11,18;0,00%;;198;195,2;13,42;0,00%;;198;197,2;7,71;0,00%;;26ch130_T60_p2;0
45tsp225_RND_T40_p1;167;167;148,6;16,33;0,00%;;167;166,1;10,31;0,00%;;167;166,5;5,61;0,00%;;28pr136_T60_p2;0
46pr226_RND_T40_p1;207;207;207;18,34;0,00%;;207;207;14,76;0,00%;;207;207;5,88;0,00%;;29pr144_T60_p2;0
53gil262_RND_T40_p1;204;204;203,3;20,99;0,00%;;204;203,8;18,25;0,00%;;204;202,9;11,76;0,00%;;30ch150_T60_p2;0
53pr264_RND_T40_p1;245;245;244,8;28,76;0,00%;;245;242,9;35,03;0,00%;;242;242;6,19;1,22%;;30kroA150_T60_p2;0
56a280_RND_T40_p1;204;204;203,3;19,16;0,00%;;203;201,9;15,14;0,49%;;204;202,9;7,65;0,00%;;31pr152_T60_p2;0
60pr299_RND_T40_p1;254;254;242,9;25,43;0,00%;;253;247,2;22,91;0,39%;;254;248,4;8,83;0,00%;;32u159_T60_p2;0
64lin318_RND_T40_p1;289;289;288,9;40,11;0,00%;;285;284,5;42,49;1,38%;;289;286,4;24,58;0,00%;;39rat195_T60_p2;0
80rd400_RND_T40_p1;351;351;345,8;42,29;0,00%;;348;344,2;59,68;0,85%;;346;340,8;34,11;1,42%;;40d198_T60_p2;0
84fl417_RND_T40_p1;375;375;375;114,4;0,00%;;371;371;119,42;1,07%;;371;371;27,32;1,07%;;40kroa200_T60_p2;0
88pr439_RND_T40_p1;431;431;430,7;59,92;0,00%;;431;427,2;120,91;0,00%;;427;423,4;61,74;0,93%;;40krob200_T60_p2;0
89pcb442_RND_T40_p1;376;364;354,5;19,33;3,19%;;372;365,1;69,5;1,06%;;376;365,7;46,41;0,00%;;45ts225_T60_p2;0
99d493_RND_T40_p1;412;412;408,3;53,68;0,00%;;409;402,2;93,55;0,73%;;412;405,1;51,05;0,00%;;45tsp225_T60_p2;0
115rat575_RND_T40_p1;420;420;410,7;76,79;0,00%;;413;397,4;96,66;1,67%;;401;394,3;57,47;4,52%;;46pr226_T60_p2;0
115u574_RND_T40_p1;502;499;496,8;70,05;0,60%;;502;485,1;143,24;0,00%;;491;477,6;85,67;2,19%;;53gil262_T60_p2;0
131p654_RND_T40_p1;606;606;606;2453,02;0,00%;;606;606;435,87;0,00%;;606;606;63,66;0,00%;;53pr264_T60_p2;0
132d657_RND_T40_p1;518;513;506;119,41;0,97%;;504;497,5;139,65;2,70%;;518;501,9;103,09;0,00%;;56a280_T60_p2;0
145u724_RND_T40_p1;592;579;572,5;136,48;2,20%;;592;572,7;226,57;0,00%;;577;567,8;141,35;2,53%;;11berlin52_T80_p1;0
157rat783_RND_T40_p1;571;571;553,6;159,83;0,00%;;563;543;187,23;1,40%;;551;538,6;134,35;3,50%;;11eil51_T80_p1;0
201pr1002_RND_T40_p1;856;856;838,3;336,22;0,00%;;849;815,9;591,27;0,82%;;839;809,5;353,71;1,99%;;14st70_T80_p1;0
212u1060_RND_T40_p1;947;940;919,3;530,15;0,74%;;944;923,1;826,72;0,32%;;887;876,3;431,72;6,34%;;16eil76_T80_p1;0
