;;MASOP;;;;;VNS-SOP;;;;;BRKGA;;;
Instance;Best;Sol;Sol.Avg;Time;Gap%;;Sol;Sol.Avg;Time;Gap%;;Sol;Sol.Avg;Time;Gap%
21eil101_T80_p1;91;91;91,0;7,71;0,00%;;91;91,0;1,44;0,00%;;91;91,0;3,01;0,00%
21lin105_T80_p1;90;90;90,0;9,88;0,00%;;90;90,0;1,19;0,00%;;90;90,0;2,61;0,00%
22pr107_T80_p1;65;65;65,0;4,04;0,00%;;65;65,0;0,86;0,00%;;65;65,0;2,41;0,00%
25pr124_T80_p1;99;99;99,0;10,63;0,00%;;99;99,0;1,66;0,00%;;99;99,0;3,02;0,00%
26bier127_T80_p1;123;123;123,0;7,64;0,00%;;123;123,0;3,05;0,00%;;123;122,8;4,32;0,00%
26ch130_T80_p1;117;115;114,7;4,87;1,71%;;117;116,8;2,21;0,00%;;115;115,0;3,41;1,71%
28pr136_T80_p1;123;123;122,7;7,03;0,00%;;123;123,0;2,77;0,00%;;123;123,0;3,56;0,00%
29pr144_T80_p1;125;125;125,0;4,86;0,00%;;125;124,1;2,29;0,00%;;125;125,0;3,50;0,00%
30ch150_T80_p1;127;127;126,8;7,85;0,00%;;127;126,9;3,58;0,00%;;127;127,0;3,76;0,00%
30kroA150_T80_p1;120;120;120,0;9,44;0,00%;;120;119,6;2,99;0,00%;;120;120,0;3,69;0,00%
30kroB150_T80_p1;138;138;138,0;6,69;0,00%;;138;137,8;3,48;0,00%;;138;138,0;3,91;0,00%
31pr152_T80_p1;118;118;118,0;10,44;0,00%;;115;115,0;1,83;2,54%;;118;116,5;3,76;0,00%
32u159_T80_p1;140;140;140,0;9,90;0,00%;;140;140,0;3,76;0,00%;;140;140,0;4,10;0,00%
39rat195_T80_p1;167;167;167,0;12,44;0,00%;;167;167,0;6,40;0,00%;;167;167,0;5,00;0,00%
40d198_T80_p1;171;171;171,0;32,96;0,00%;;171;171,0;7,84;0,00%;;171;171,0;5,24;0,00%
40kroa200_T80_p1;184;184;184,0;13,24;0,00%;;184;183,7;5,14;0,00%;;184;184,0;6,16;0,00%
40krob200_T80_p1;179;179;178,1;16,74;0,00%;;179;177,1;7,45;0,00%;;179;177,3;6,34;0,00%
45ts225_T80_p1;193;188;187,1;4,80;2,59%;;192;188,5;9,21;0,52%;;193;188,5;6,44;0,00%
45tsp225_T80_p1;198;196;195,9;19,04;1,01%;;198;197,9;7,48;0,00%;;196;195,8;8,15;1,01%
46pr226_T80_p1;213;213;213,0;12,86;0,00%;;213;213,0;5,13;0,00%;;213;213,0;7,68;0,00%
53gil262_T80_p1;226;226;225,0;17,39;0,00%;;226;225,0;10,69;0,00%;;226;224,5;10,80;0,00%
53pr264_T80_p1;238;238;238,0;23,72;0,00%;;233;233,0;5,96;2,10%;;238;237,5;11,96;0,00%
56a280_T80_p1;232;232;231,8;23,05;0,00%;;232;228,7;12,27;0,00%;;232;231,3;12,48;0,00%
60pr299_T80_p1;270;270;269,5;26,29;0,00%;;269;267,3;15,83;0,37%;;270;269,2;14,44;0,00%
64lin318_T80_p1;295;295;294,1;22,17;0,00%;;295;291,5;17,79;0,00%;;295;291,8;16,95;0,00%
80rd400_T80_p1;364;363;360,7;37,22;0,27%;;359;354,3;36,63;1,37%;;356;350,6;24,71;2,20%
84fl417_T80_p1;399;399;398,8;67,36;0,00%;;399;395,1;20,87;0,00%;;398;397,4;24,36;0,25%
88pr439_T80_p1;419;419;418,9;80,23;0,00%;;415;412,5;38,09;0,95%;;414;412,1;33,66;1,19%
89pcb442_T80_p1;402;401;399,2;53,78;0,25%;;394;385,4;44,48;1,99%;;399;389,5;30,06;0,75%
99d493_T80_p1;468;468;467,0;44,04;0,00%;;467;458,6;74,60;0,21%;;466;462,1;45,72;0,43%
115rat575_T80_p1;498;495;493,0;79,36;0,60%;;487;478,1;80,53;2,21%;;486;478,2;47,94;2,41%
115u574_T80_p1;540;539;537,4;87,25;0,19%;;533;527,2;102,86;1,30%;;532;521,5;55,65;1,48%
131p654_T80_p1;637;636;636,0;95,31;0,16%;;636;632,0;45,60;0,16%;;636;633,0;79,01;0,16%
132d657_T80_p1;594;592;589,3;97,33;0,34%;;575;561,1;122,89;3,20%;;575;565,1;72,99;3,20%
145u724_T80_p1;649;645;639,4;84,98;0,62%;;626;603,1;170,54;3,54%;;634;621,1;86,01;2,31%
157rat783_T80_p1;663;661;653,8;149,52;0,30%;;652;643,3;188,87;1,66%;;641;632,1;100,67;3,32%
201pr1002_T80_p1;928;928;925,1;184,13;0,00%;;896;884,4;403,31;3,45%;;909;874,5;213,96;2,05%
212u1060_T80_p1;1001;1001;994,5;228,23;0,00%;;967;958,3;476,64;3,40%;;960;945,0;247,62;4,10%
217vm1084_T80_p1;1006;1004;1001,8;119,15;0,20%;;979;968,4;688,76;2,68%;;979;965,3;195,57;2,68%
11berlin52_T80_p2;2384;2384;2384,0;7,16;0,00%;;2384;2384,0;0,42;0,00%;;2384;2384,0;1,41;0,00%
11eil51_T80_p2;2114;2114;2114,0;3,26;0,00%;;2114;2114,0;0,44;0,00%;;2114;2114,0;1,58;0,00%
14st70_T80_p2;3355;3355;3355,0;8,49;0,00%;;3355;3355,0;0,68;0,00%;;3355;3355,0;1,99;0,00%
16eil76_T80_p2;3573;3573;3568,2;6,03;0,00%;;3573;3573,0;0,82;0,00%;;3573;3573,0;2,23;0,00%
16pr76_T80_p2;3611;3611;3608,0;3,25;0,00%;;3611;3607,0;1,10;0,00%;;3611;3611,0;2,42;0,00%
20kroA100_T80_p2;4115;4115;4115,0;7,87;0,00%;;4115;4115,0;1,21;0,00%;;4115;4115,0;2,45;0,00%
20kroB100_T80_p2;4188;4188;4188,0;5,49;0,00%;;4188;4169,2;1,34;0,00%;;4188;4188,0;2,53;0,00%
20kroC100_T80_p2;3999;3999;3999,0;7,56;0,00%;;3999;3999,0;1,14;0,00%;;3999;3999,0;2,47;0,00%
20kroD100_T80_p2;4267;4267;4267,0;9,31;0,00%;;4267;4267,0;1,25;0,00%;;4267;4267,0;2,45;0,00%
20kroE100_T80_p2;4002;4002;4002,0;4,83;0,00%;;4002;3974,4;1,37;0,00%;;4002;4002,0;2,51;0,00%
20rat99_T80_p2;3992;3992;3992,0;9,85;0,00%;;3992;3992,0;1,21;0,00%;;3992;3992,0;2,35;0,00%
20rd100_T80_p2;4640;4640;4640,0;10,30;0,00%;;4640;4640,0;1,27;0,00%;;4640;4640,0;2,79;0,00%
21eil101_T80_p2;4717;4717;4705,3;9,04;0,00%;;4717;4717,0;1,45;0,00%;;4717;4707,9;2,83;0,00%
21lin105_T80_p2;4561;4561;4561,0;9,92;0,00%;;4561;4561,0;1,21;0,00%;;4561;4561,0;2,59;0,00%
22pr107_T80_p2;3275;3275;3275,0;7,59;0,00%;;3275;3275,0;0,99;0,00%;;3275;3275,0;2,24;0,00%
25pr124_T80_p2;4947;4947;4932,2;4,88;0,00%;;4947;4947,0;1,63;0,00%;;4947;4947,0;3,04;0,00%
26bier127_T80_p2;6218;6218;6218,0;8,64;0,00%;;6218;6218,0;2,98;0,00%;;6218;6211,5;4,08;0,00%
26ch130_T80_p2;5967;5895;5882,1;7,43;1,21%;;5967;5920,2;3,09;0,00%;;5895;5895,0;3,64;1,21%
28pr136_T80_p2;6330;6330;6330,0;8,21;0,00%;;6330;6330,0;2,53;0,00%;;6330;6330,0;3,43;0,00%
29pr144_T80_p2;6356;6356;6356,0;6,38;0,00%;;6356;6356,0;2,30;0,00%;;6356;6356,0;3,48;0,00%
30ch150_T80_p2;6382;6331;6331,0;8,84;0,80%;;6382;6373,5;3,10;0,00%;;6331;6331,0;3,54;0,80%
30kroA150_T80_p2;6081;6081;6081,0;10,70;0,00%;;6081;5974,8;3,15;0,00%;;6081;6081,0;3,71;0,00%
30kroB150_T80_p2;6880;6880;6880,0;7,67;0,00%;;6880;6880,0;3,49;0,00%;;6880;6880,0;3,92;0,00%
31pr152_T80_p2;5928;5928;5916,8;13,17;0,00%;;5800;5800,0;1,84;2,16%;;5928;5825,6;3,52;0,00%
32u159_T80_p2;7164;7164;7164,0;10,19;0,00%;;7164;7164,0;4,35;0,00%;;7164;7164,0;4,15;0,00%
39rat195_T80_p2;8522;8522;8522,0;11,59;0,00%;;8522;8522,0;5,87;0,00%;;8522;8522,0;5,08;0,00%
40d198_T80_p2;8628;8628;8628,0;32,84;0,00%;;8628;8628,0;8,52;0,00%;;8628;8628,0;5,03;0,00%
40kroa200_T80_p2;9338;9338;9338,0;15,44;0,00%;;9338;9331,8;5,53;0,00%;;9338;9338,0;6,39;0,00%
40krob200_T80_p2;9077;9077;9077,0;15,18;0,00%;;9077;8876,9;5,42;0,00%;;9077;9066,4;6,00;0,00%
45ts225_T80_p2;9888;9888;9752,4;6,72;0,00%;;9888;9785,2;10,11;0,00%;;9888;9748,4;6,78;0,00%
45tsp225_T80_p2;10030;9934;9921,4;20,41;0,96%;;10030;10024,4;6,94;0,00%;;9934;9927,4;8,59;0,96%
46pr226_T80_p2;10770;10770;10770,0;10,03;0,00%;;10770;10734,6;5,57;0,00%;;10770;10770,0;7,64;0,00%
53gil262_T80_p2;11606;11606;11586,6;20,67;0,00%;;11606;11439,0;11,43;0,00%;;11606;11586,6;11,59;0,00%
53pr264_T80_p2;12048;12048;12048,0;30,97;0,00%;;12048;11824,5;6,55;0,00%;;12048;12022,7;11,38;0,00%
56a280_T80_p2;11984;11984;11898,5;21,60;0,00%;;11984;11911,4;12,68;0,00%;;11952;11925,6;12,52;0,27%
60pr299_T80_p2;13653;13653;13619,2;30,09;0,00%;;13653;13533,8;16,36;0,00%;;13653;13649,5;14,27;0,00%
64lin318_T80_p2;15103;15103;15055,9;32,56;0,00%;;15103;14981,5;19,13;0,00%;;15103;15012,9;16,23;0,00%
80rd400_T80_p2;18529;18529;18438,3;40,62;0,00%;;18239;18040,7;37,51;1,57%;;18519;18225,9;25,19;0,05%
84fl417_T80_p2;20248;20248;20245,2;54,45;0,00%;;20220;19885,6;21,94;0,14%;;20220;20152,2;26,48;0,14%
88pr439_T80_p2;21134;21134;21094,3;77,32;0,00%;;21068;21017,6;43,80;0,31%;;21068;20951,4;34,51;0,31%
89pcb442_T80_p2;20243;20214;20159,4;55,84;0,14%;;20099;19693,5;42,32;0,71%;;20120;19688,9;29,84;0,61%
99d493_T80_p2;23726;23726;23645,9;51,99;0,00%;;23646;23233,3;78,87;0,34%;;23511;23361,6;49,19;0,91%
115rat575_T80_p2;25145;25072;24891,3;95,12;0,29%;;24875;24434,6;76,20;1,07%;;24779;24498,0;48,88;1,46%
115u574_T80_p2;27389;27389;27293,9;112,68;0,00%;;26828;26308,3;97,57;2,05%;;27077;26586,6;56,14;1,14%
131p654_T80_p2;32335;32335;32331,6;107,37;0,00%;;32216;32030,2;49,79;0,37%;;32227;32074,9;79,63;0,33%
132d657_T80_p2;30642;30497;30372,7;110,93;0,47%;;30123;29311,8;110,47;1,69%;;29962;29437,6;72,91;2,22%
145u724_T80_p2;33050;32935;32768,9;116,67;0,35%;;31863;31633,2;165,53;3,59%;;32357;31830,0;83,79;2,10%
157rat783_T80_p2;34081;34081;33731,1;170,03;0,00%;;32613;31793,5;202,87;4,31%;;32972;32383,5;102,78;3,25%
201pr1002_T80_p2;46972;46800;46719,9;146,77;0,37%;;45394;44801,6;420,85;3,36%;;45404;44720,2;216,35;3,34%
212u1060_T80_p2;50704;50704;50152,4;233,12;0,00%;;48879;47680,8;566,02;3,60%;;48602;47784,1;248,01;4,15%
217vm1084_T80_p2;51539;51485;51323,3;185,85;0,10%;;49635;48736,8;605,05;3,69%;;49233;48523,5;186,99;4,47%
11berlin52_RND_T40_p1;50;50;50,0;8,17;0,00%;;50;50,0;0,63;0,00%;;50;50,0;1,99;0,00%
11eil51_RND_T40_p1;37;34;34,0;1,01;8,11%;;37;37,0;0,44;0,00%;;37;37,0;1,60;0,00%
14st70_RND_T40_p1;56;56;56,0;6,81;0,00%;;56;56,0;0,76;0,00%;;56;56,0;1,72;0,00%
16eil76_RND_T40_p1;51;51;51,0;4,11;0,00%;;51;51,0;0,88;0,00%;;51;51,0;1,91;0,00%
16pr76_RND_T40_p1;70;70;69,7;4,68;0,00%;;70;70,0;1,17;0,00%;;70;70,0;2,24;0,00%
20kroA100_RND_T40_p1;80;74;74,0;1,12;7,50%;;80;80,0;1,74;0,00%;;80;80,0;2,51;0,00%
20kroB100_RND_T40_p1;86;86;85,7;2,85;0,00%;;86;86,0;2,28;0,00%;;86;86,0;2,51;0,00%
20kroC100_RND_T40_p1;72;72;71,3;6,12;0,00%;;72;71,2;1,69;0,00%;;72;72,0;2,47;0,00%
20kroD100_RND_T40_p1;78;78;78,0;7,95;0,00%;;78;76,4;2,45;0,00%;;78;78,0;2,44;0,00%
20kroE100_RND_T40_p1;90;90;90,0;9,95;0,00%;;90;90,0;2,37;0,00%;;90;90,0;2,48;0,00%
20rat99_RND_T40_p1;73;73;73,0;6,58;0,00%;;73;73,0;1,46;0,00%;;73;73,0;2,06;0,00%
20rd100_RND_T40_p1;82;80;80,0;7,37;2,44%;;82;81,6;2,18;0,00%;;80;80,0;2,21;2,44%
21eil101_RND_T40_p1;83;76;76,0;4,62;8,43%;;83;83,0;1,71;0,00%;;83;83,0;2,70;0,00%
21lin105_RND_T40_p1;95;95;95,0;9,20;0,00%;;95;95,0;2,17;0,00%;;95;95,0;2,40;0,00%
22pr107_RND_T40_p1;94;94;94,0;13,77;0,00%;;94;94,0;3,21;0,00%;;94;94,0;2,36;0,00%
25pr124_RND_T40_p1;101;101;101,0;6,59;0,00%;;101;101,0;3,27;0,00%;;101;101,0;2,90;0,00%
26bier127_RND_T40_p1;125;125;125,0;15,17;0,00%;;125;125,0;5,24;0,00%;;125;125,0;3,44;0,00%
26ch130_RND_T40_p1;111;111;107,2;6,46;0,00%;;111;110,3;3,98;0,00%;;111;111,0;3,65;0,00%
28pr136_RND_T40_p1;120;120;119,1;5,52;0,00%;;120;120,0;4,44;0,00%;;120;120,0;3,10;0,00%
29pr144_RND_T40_p1;137;137;137,0;16,08;0,00%;;137;137,0;5,28;0,00%;;137;137,0;3,89;0,00%
30ch150_RND_T40_p1;114;111;111,0;5,50;2,63%;;114;112,7;5,15;0,00%;;111;111,0;3,58;2,63%
30kroA150_RND_T40_p1;110;104;103,0;2,89;5,45%;;109;106,4;4,17;0,91%;;110;109,8;3,75;0,00%
30kroB150_RND_T40_p1;120;120;119,4;8,20;0,00%;;120;118,9;6,16;0,00%;;120;119,9;4,22;0,00%
31pr152_RND_T40_p1;136;136;136,0;14,90;0,00%;;136;136,0;7,11;0,00%;;136;136,0;3,61;0,00%
32u159_RND_T40_p1;143;143;143,0;11,10;0,00%;;143;143,0;5,21;0,00%;;143;143,0;4,08;0,00%
39rat195_RND_T40_p1;135;135;135,0;7,19;0,00%;;135;133,8;7,70;0,00%;;135;135,0;4,03;0,00%
40d198_RND_T40_p1;149;148;148,0;7,57;0,67%;;149;148,1;6,61;0,00%;;148;148,0;3,21;0,67%
40kroa200_RND_T40_p1;173;173;173,0;13,06;0,00%;;173;173,0;8,55;0,00%;;173;173,0;6,31;0,00%
40krob200_RND_T40_p1;162;162;161,3;15,78;0,00%;;161;160,4;10,99;0,62%;;162;160,7;5,76;0,00%
45ts225_RND_T40_p1;198;198;193,1;11,18;0,00%;;198;195,2;13,42;0,00%;;198;197,2;7,71;0,00%
45tsp225_RND_T40_p1;167;167;148,6;16,33;0,00%;;167;166,1;10,31;0,00%;;167;166,5;5,61;0,00%
46pr226_RND_T40_p1;207;207;207,0;18,34;0,00%;;207;207,0;14,76;0,00%;;207;207,0;5,88;0,00%
53gil262_RND_T40_p1;204;204;203,3;20,99;0,00%;;204;203,8;18,25;0,00%;;204;202,9;11,76;0,00%
53pr264_RND_T40_p1;245;245;244,8;28,76;0,00%;;245;242,9;35,03;0,00%;;242;242,0;6,19;1,22%
56a280_RND_T40_p1;204;204;203,3;19,16;0,00%;;203;201,9;15,14;0,49%;;204;202,9;7,65;0,00%
60pr299_RND_T40_p1;254;254;242,9;25,43;0,00%;;253;247,2;22,91;0,39%;;254;248,4;8,83;0,00%
64lin318_RND_T40_p1;289;289;288,9;40,11;0,00%;;285;284,5;42,49;1,38%;;289;286,4;24,58;0,00%
80rd400_RND_T40_p1;351;351;345,8;42,29;0,00%;;348;344,2;59,68;0,85%;;346;340,8;34,11;1,42%
84fl417_RND_T40_p1;375;375;375,0;114,40;0,00%;;371;371,0;119,42;1,07%;;371;371,0;27,32;1,07%
88pr439_RND_T40_p1;431;431;430,7;59,92;0,00%;;431;427,2;120,91;0,00%;;427;423,4;61,74;0,93%
89pcb442_RND_T40_p1;376;364;354,5;19,33;3,19%;;372;365,1;69,50;1,06%;;376;365,7;46,41;0,00%
99d493_RND_T40_p1;412;412;408,3;53,68;0,00%;;409;402,2;93,55;0,73%;;412;405,1;51,05;0,00%
115rat575_RND_T40_p1;420;420;410,7;76,79;0,00%;;413;397,4;96,66;1,67%;;401;394,3;57,47;4,52%
115u574_RND_T40_p1;502;499;496,8;70,05;0,60%;;502;485,1;143,24;0,00%;;491;477,6;85,67;2,19%
131p654_RND_T40_p1;606;606;606,0;2453,02;0,00%;;606;606,0;435,87;0,00%;;606;606,0;63,66;0,00%
132d657_RND_T40_p1;518;513;506,0;119,41;0,97%;;504;497,5;139,65;2,70%;;518;501,9;103,09;0,00%
145u724_RND_T40_p1;592;579;572,5;136,48;2,20%;;592;572,7;226,57;0,00%;;577;567,8;141,35;2,53%
157rat783_RND_T40_p1;571;571;553,6;159,83;0,00%;;563;543,0;187,23;1,40%;;551;538,6;134,35;3,50%
201pr1002_RND_T40_p1;856;856;838,3;336,22;0,00%;;849;815,9;591,27;0,82%;;839;809,5;353,71;1,99%
212u1060_RND_T40_p1;947;940;919,3;530,15;0,74%;;944;923,1;826,72;0,32%;;887;876,3;431,72;6,34%
217vm1084_RND_T40_p1;1045;1020;1016,8;407,08;2,39%;;1045;1017,1;983,04;0,00%;;1033;1020,2;589,06;1,15%
11berlin52_RND_T40_p2;2584;2584;2584,0;7,61;0,00%;;2584;2584,0;0,63;0,00%;;2584;2584,0;1,95;0,00%
11eil51_RND_T40_p2;1929;1929;1929,0;1,78;0,00%;;1929;1929,0;0,48;0,00%;;1929;1929,0;1,53;0,00%
14st70_RND_T40_p2;2736;2736;2736,0;6,76;0,00%;;2736;2736,0;0,85;0,00%;;2736;2736,0;1,58;0,00%
16eil76_RND_T40_p2;2518;2518;2518,0;2,44;0,00%;;2518;2518,0;0,98;0,00%;;2518;2518,0;1,90;0,00%
16pr76_RND_T40_p2;3550;3550;3550,0;5,21;0,00%;;3550;3550,0;1,30;0,00%;;3550;3550,0;2,17;0,00%
20kroA100_RND_T40_p2;3894;3434;3434,0;1,60;11,81%;;3894;3894,0;1,69;0,00%;;3894;3894,0;2,50;0,00%
20kroB100_RND_T40_p2;4357;4357;4357,0;2,41;0,00%;;4357;4357,0;2,14;0,00%;;4357;4357,0;2,51;0,00%
20kroC100_RND_T40_p2;3586;3586;3570,7;7,45;0,00%;;3586;3560,8;1,74;0,00%;;3586;3586,0;2,29;0,00%
20kroD100_RND_T40_p2;3799;3799;3799,0;7,43;0,00%;;3799;3749,0;2,51;0,00%;;3799;3799,0;2,40;0,00%
20kroE100_RND_T40_p2;4614;4614;4614,0;11,12;0,00%;;4614;4614,0;1,92;0,00%;;4614;4614,0;2,32;0,00%
20rat99_RND_T40_p2;3624;3624;3624,0;5,60;0,00%;;3624;3624,0;1,43;0,00%;;3624;3624,0;2,08;0,00%
20rd100_RND_T40_p2;4181;4038;4038,0;5,96;3,42%;;4181;4152,4;2,51;0,00%;;4038;4038,0;2,06;3,42%
21eil101_RND_T40_p2;4264;4264;4132,6;3,50;0,00%;;4264;4264,0;1,84;0,00%;;4264;4264,0;2,60;0,00%
21lin105_RND_T40_p2;4814;4814;4814,0;9,69;0,00%;;4814;4814,0;2,23;0,00%;;4814;4814,0;2,35;0,00%
22pr107_RND_T40_p2;4740;4740;4740,0;12,99;0,00%;;4740;4740,0;2,92;0,00%;;4740;4740,0;2,39;0,00%
25pr124_RND_T40_p2;5035;5035;5028,0;8,33;0,00%;;5035;5035,0;3,93;0,00%;;5035;5031,5;3,12;0,00%
26bier127_RND_T40_p2;6329;6329;6329,0;15,93;0,00%;;6329;6329,0;6,46;0,00%;;6329;6327,2;4,58;0,00%
26ch130_RND_T40_p2;5630;5630;5297,9;4,18;0,00%;;5630;5630,0;3,95;0,00%;;5630;5630,0;3,64;0,00%
28pr136_RND_T40_p2;6106;6106;6106,0;4,96;0,00%;;6106;6106,0;4,42;0,00%;;6106;6106,0;3,29;0,00%
29pr144_RND_T40_p2;6848;6848;6848,0;15,34;0,00%;;6848;6848,0;5,31;0,00%;;6848;6848,0;3,82;0,00%
30ch150_RND_T40_p2;6025;5896;5792,0;6,70;2,14%;;6025;5765,8;4,73;0,00%;;5896;5886,0;3,88;2,14%
30kroA150_RND_T40_p2;5450;5399;5336,1;10,48;0,94%;;5450;5413,3;3,69;0,00%;;5450;5450,0;3,68;0,00%
30kroB150_RND_T40_p2;6255;6255;6198,3;7,48;0,00%;;6255;6128,4;4,42;0,00%;;6255;6235,7;4,30;0,00%
31pr152_RND_T40_p2;6928;6928;6928,0;14,55;0,00%;;6928;6928,0;6,84;0,00%;;6928;6928,0;3,65;0,00%
32u159_RND_T40_p2;7507;7507;7507,0;13,62;0,00%;;7507;7507,0;5,25;0,00%;;7507;7507,0;3,84;0,00%
39rat195_RND_T40_p2;6813;6813;6813,0;6,29;0,00%;;6813;6803,1;7,13;0,00%;;6813;6813,0;3,83;0,00%
40d198_RND_T40_p2;7412;7412;7412,0;7,30;0,00%;;7412;7412,0;6,15;0,00%;;7412;7412,0;3,33;0,00%
40kroa200_RND_T40_p2;9014;9014;9014,0;11,96;0,00%;;9014;9014,0;9,37;0,00%;;9014;9014,0;6,47;0,00%
40krob200_RND_T40_p2;8315;8315;8224,6;12,05;0,00%;;8315;8132,1;9,82;0,00%;;8315;8186,3;5,81;0,00%
45ts225_RND_T40_p2;9835;9835;9569,2;11,02;0,00%;;9835;9519,4;12,47;0,00%;;9835;9835,0;7,50;0,00%
45tsp225_RND_T40_p2;8373;8373;8373,0;10,93;0,00%;;8373;8370,1;12,46;0,00%;;8373;8373,0;5,44;0,00%
46pr226_RND_T40_p2;10322;10322;10322,0;25,97;0,00%;;10312;10312,0;16,54;0,10%;;10312;10308,6;7,09;0,10%
53gil262_RND_T40_p2;10309;10309;10274,4;23,65;0,00%;;10309;10309,0;11,69;0,00%;;10309;10282,6;11,93;0,00%
53pr264_RND_T40_p2;12304;12304;12297,4;36,70;0,00%;;12304;12198,4;41,15;0,00%;;12106;12106,0;6,19;1,61%
56a280_RND_T40_p2;10285;10285;10275,5;15,99;0,00%;;10274;10191,3;17,82;0,11%;;10285;10168,6;8,03;0,00%
60pr299_RND_T40_p2;12995;12995;12648,2;28,14;0,00%;;12995;12744,5;24,63;0,00%;;12995;12735,7;8,76;0,00%
64lin318_RND_T40_p2;14743;14743;14721,1;38,27;0,00%;;14704;14604,8;48,71;0,26%;;14719;14587,0;24,14;0,16%
80rd400_RND_T40_p2;17917;17917;17772,4;36,47;0,00%;;17676;17245,5;61,83;1,35%;;17521;17238,6;34,67;2,21%
84fl417_RND_T40_p2;19107;19107;19107,0;281,52;0,00%;;19107;19101,6;128,36;0,00%;;19101;19101,0;26,79;0,03%
88pr439_RND_T40_p2;21815;21815;21765,3;58,43;0,00%;;21738;21598,9;117,49;0,35%;;21565;21433,9;58,84;1,15%
89pcb442_RND_T40_p2;18908;18449;18244,4;32,77;2,43%;;18702;18270,0;65,96;1,09%;;18908;18579,5;45,69;0,00%
99d493_RND_T40_p2;21030;20864;20610,8;58,98;0,79%;;20722;20410,7;87,41;1,46%;;21030;20548,9;51,27;0,00%
115rat575_RND_T40_p2;21167;21167;20671,2;53,04;0,00%;;20740;20145,5;82,91;2,02%;;20972;20534,5;58,80;0,92%
115u574_RND_T40_p2;25493;25493;25333,7;80,04;0,00%;;25016;24365,2;151,24;1,87%;;25451;24860,1;86,23;0,16%
131p654_RND_T40_p2;30212;30212;30212,0;3208,31;0,00%;;30212;30212,0;456,05;0,00%;;30212;30212,0;60,46;0,00%
132d657_RND_T40_p2;26772;26031;25657,6;113,91;2,77%;;25859;25530,8;139,22;3,41%;;26772;25825,5;102,82;0,00%
145u724_RND_T40_p2;29997;29526;28946,1;179,53;1,57%;;29888;29040,2;229,45;0,36%;;29952;28776,4;139,95;0,15%
157rat783_RND_T40_p2;29807;29807;29473,0;182,79;0,00%;;28314;27533,1;183,40;5,01%;;28992;28033,5;134,63;2,73%
201pr1002_RND_T40_p2;44229;44229;43322,8;369,69;0,00%;;43615;42392,9;616,96;1,39%;;43320;42283,2;364,83;2,06%
212u1060_RND_T40_p2;48481;48481;48016,7;387,87;0,00%;;47330;46540,3;841,93;2,37%;;46705;45073,5;437,69;3,66%
217vm1084_RND_T40_p2;52987;52987;52831,5;749,58;0,00%;;52335;51977,2;1001,42;1,23%;;52534;51640,4;563,33;0,85%
11berlin52_RND_T60_p1;51;51;51,0;8,56;0,00%;;51;51,0;0,78;0,00%;;51;51,0;2,28;0,00%
11eil51_RND_T60_p1;50;50;50,0;6,58;0,00%;;50;50,0;0,66;0,00%;;50;50,0;1,91;0,00%
14st70_RND_T60_p1;64;64;64,0;8,14;0,00%;;64;64,0;1,08;0,00%;;64;64,0;1,87;0,00%
16eil76_RND_T60_p1;74;74;73,9;5,32;0,00%;;74;74,0;1,52;0,00%;;74;73,9;2,69;0,00%
16pr76_RND_T60_p1;74;74;74,0;11,00;0,00%;;74;74,0;1,78;0,00%;;74;74,0;2,42;0,00%
20kroA100_RND_T60_p1;98;98;97,3;10,53;0,00%;;96;95,9;3,17;2,04%;;96;96,0;3,38;2,04%
20kroB100_RND_T60_p1;98;98;96,8;10,52;0,00%;;98;93,5;2,81;0,00%;;98;96,5;3,38;0,00%
20kroC100_RND_T60_p1;93;93;92,7;9,53;0,00%;;93;90,8;2,83;0,00%;;93;92,6;3,54;0,00%
20kroD100_RND_T60_p1;93;93;93,0;9,21;0,00%;;93;93,0;2,58;0,00%;;93;93,0;3,03;0,00%
20kroE100_RND_T60_p1;97;97;97,0;13,22;0,00%;;97;97,0;3,07;0,00%;;97;97,0;2,90;0,00%
20rat99_RND_T60_p1;87;87;87,0;7,47;0,00%;;87;87,0;2,19;0,00%;;87;87,0;2,71;0,00%
20rd100_RND_T60_p1;99;99;98,5;11,69;0,00%;;99;99,0;2,71;0,00%;;99;99,0;3,27;0,00%
21eil101_RND_T60_p1;97;97;96,8;5,98;0,00%;;97;97,0;3,24;0,00%;;97;96,7;3,62;0,00%
21lin105_RND_T60_p1;104;104;104,0;13,84;0,00%;;104;104,0;2,94;0,00%;;104;104,0;2,30;0,00%
22pr107_RND_T60_p1;106;106;106,0;14,34;0,00%;;106;106,0;3,57;0,00%;;106;106,0;2,30;0,00%
25pr124_RND_T60_p1;119;119;119,0;11,65;0,00%;;119;119,0;4,42;0,00%;;119;118,6;4,23;0,00%
26bier127_RND_T60_p1;126;126;126,0;20,85;0,00%;;126;126,0;5,98;0,00%;;126;126,0;3,14;0,00%
26ch130_RND_T60_p1;127;127;125,9;10,40;0,00%;;127;127,0;5,18;0,00%;;127;126,8;4,60;0,00%
28pr136_RND_T60_p1;132;132;131,7;12,94;0,00%;;129;129,0;5,43;2,27%;;129;129,0;4,22;2,27%
29pr144_RND_T60_p1;141;141;141,0;17,22;0,00%;;141;141,0;7,45;0,00%;;141;141,0;4,79;0,00%
30ch150_RND_T60_p1;145;145;144,7;11,69;0,00%;;145;145,0;7,03;0,00%;;145;144,5;5,85;0,00%
