dataset_name;l=2restarts=50;duration;l=5restarts=20;duration;l=10restarts=10;duration;l=20restarts=5;duration;l=50restarts=2;duration;best;gap_1;gap_2;gap_3;gap_4;gap_5
45ts225_v3_p2;9177;2.059;9177;1.643;9177;1.553;9177;1.499;9177;1.24;9177;0;0;0;0;0
45ts225_v4_p1;190;1.839;190;1.534;190;1.379;190;1.33;190;1.419;190;0;0;0;0;0
45ts225_v4_p2;9740;1.903;9740;1.613;9740;1.461;9740;1.626;9740;1.515;9740;0;0;0;0;0
45tsp225_v2_p1;168;1.747;168;1.707;168;1.676;168;1.677;168;1.754;168;0;0;0;0;0
45tsp225_v2_p2;8747;1.736;8618;1.657;8618;1.742;8618;1.433;8618;1.667;8747;0;0,014747914;0,014747914;0,014747914;0,014747914
45tsp225_v3_p1;150;2.098;150;2.101;150;1.795;150;1.586;150;1.151;150;0;0;0;0;0
45tsp225_v3_p2;7636;1.762;7636;1.841;7636;1.852;7636;1.528;7636;1.939;7636;0;0;0;0;0
45tsp225_v4_p1;154;1.776;154;1.957;154;1.712;154;1.683;154;1.297;154;0;0;0;0;0
45tsp225_v4_p2;7821;1.568;7821;1.649;7821;1.526;7821;1.723;7821;1.267;7821;0;0;0;0;0
46pr226_v2_p1;179;1.515;179;1.516;179;1.235;179;1.134;179;1.503;179;0;0;0;0;0
46pr226_v2_p2;8959;1.773;8959;1.621;8959;1.411;8959;1.358;8959;1.383;8959;0;0;0;0;0
46pr226_v3_p1;158;2.113;158;1.898;158;1.572;158;1.647;158;1.425;158;0;0;0;0;0
46pr226_v3_p2;7903;1.966;7903;1.821;7903;1.671;7903;1.396;7903;1.323;7903;0;0;0;0;0
46pr226_v4_p1;169;2.074;169;1.714;169;1.441;169;1.337;169;1.284;169;0;0;0;0;0
46pr226_v4_p2;8509;2.026;8509;1.642;8509;1.531;8509;1.431;8509;1.367;8509;0;0;0;0;0
53gil262_v2_p1;220;3.623;220;3.341;220;2.515;220;2.674;219;2.083;220;0;0;0;0;0,004545455
53gil262_v2_p2;11153;3.499;11197;3.351;11197;3.176;11153;2.362;11066;2.105;11197;0,003929624;0;0;0,003929624;0,011699562
53gil262_v3_p1;195;2.704;195;2.577;195;1.999;195;2.263;195;2.257;195;0;0;0;0;0
53gil262_v3_p2;9689;2.902;9689;2.734;9689;2.339;9689;2.142;9689;2.004;9689;0;0;0;0;0
53gil262_v4_p1;209;2.951;209;2.424;209;2.472;209;2.213;209;2.664;209;0;0;0;0;0
53gil262_v4_p2;10338;3.656;10338;2.854;10338;2.835;10338;2.801;10338;2.267;10338;0;0;0;0;0
53pr264_v2_p1;189;2.311;189;2.037;189;1.54;189;1.566;189;1.511;189;0;0;0;0;0
53pr264_v2_p2;9528;1.982;9528;1.611;9528;1.728;9528;1.536;9528;1.437;9528;0;0;0;0;0
53pr264_v3_p1;131;1.656;131;1.552;131;1.492;131;1.498;131;1.497;131;0;0;0;0;0
53pr264_v3_p2;6588;1.668;6588;1.567;6588;1.542;6588;1.518;6588;1.517;6588;0;0;0;0;0
53pr264_v4_p1;131;1.841;131;1.725;131;1.704;131;1.667;131;1.676;131;0;0;0;0;0
53pr264_v4_p2;6588;1.856;6588;1.775;6588;1.688;6588;1.659;6588;1.655;6588;0;0;0;0;0
56a280_v2_p1;203;3.916;206;3.558;204;3.526;203;3.803;202;3.914;206;0,014563107;0;0,009708738;0,014563107;0,019417476
56a280_v2_p2;10484;4.127;10484;3.568;10484;3.615;10540;3.366;10485;3.883;10540;0,005313093;0,005313093;0,005313093;0;0,005218216
56a280_v3_p1;179;4.134;179;3.484;179;3.015;179;2.753;179;2.559;179;0;0;0;0;0
56a280_v3_p2;9116;4.082;9116;4.302;9116;3.289;9116;4.265;9116;4.856;9116;0;0;0;0;0
56a280_v4_p1;185;3.861;185;3.678;185;3.42;185;3.059;185;2.544;185;0;0;0;0;0
56a280_v4_p2;9423;3.603;9423;3.288;9423;3.148;9423;2.934;9423;2.469;9423;0;0;0;0;0
60pr299_v2_p1;206;3.604;207;3.557;206;3.054;206;4.057;206;3.256;207;0,004830918;0;0,004830918;0,004830918;0,004830918
60pr299_v2_p2;10524;5.685;10524;6.055;10524;4.337;10592;4.247;10588;4.096;10592;0,00641994;0,00641994;0,00641994;0;0,000377644
60pr299_v3_p1;172;4.077;172;3.662;172;3.169;172;3.392;174;3.402;174;0,011494253;0,011494253;0,011494253;0,011494253;0
60pr299_v3_p2;8834;4.413;8834;4.634;8834;4.222;8834;3.955;8834;3.266;8834;0;0;0;0;0
60pr299_v4_p1;178;3.983;178;3.893;178;3.518;178;3.616;178;3;178;0;0;0;0;0
60pr299_v4_p2;9085;4.699;9085;4.45;9085;4.546;9085;4.285;9085;3.564;9085;0;0;0;0;0
64lin318_v2_p1;297;3.516;297;2.801;297;2.994;297;2.688;297;2.214;297;0;0;0;0;0
64lin318_v2_p2;15220;4.249;15220;4.075;15220;3.004;15290;2.479;15095;2.007;15290;0,004578156;0,004578156;0,004578156;0;0,012753434
64lin318_v3_p1;291;4.755;292;3.649;291;3.077;292;3.575;292;3.268;292;0,003424658;0;0,003424658;0;0
64lin318_v3_p2;14966;5.365;14924;4.653;15007;4.638;14976;3.695;14973;3.231;15007;0,002732058;0,005530752;0;0,002065703;0,002265609
64lin318_v4_p1;302;4.525;302;4.04;302;4.002;302;3.311;302;3.204;302;0;0;0;0;0
64lin318_v4_p2;15459;5.08;15459;4.116;15459;3.774;15459;2.873;15459;2.617;15459;0;0;0;0;0
80rd400_v2_p1;392;9.771;392;8.482;392;6.699;392;5.846;393;6.311;393;0,002544529;0,002544529;0,002544529;0,002544529;0
80rd400_v2_p2;19893;10.386;19903;9.17;19903;7.129;19875;8.932;19893;6.616;19903;0,000502437;0;0;0,001406823;0,000502437
80rd400_v3_p1;399;9.624;399;7.23;399;6.354;399;6.218;399;5.24;399;0;0;0;0;0
80rd400_v3_p2;20158;10.129;20158;7.953;20158;8.197;20158;8.135;20158;5.615;20158;0;0;0;0;0
80rd400_v4_p1;399;6.511;399;5.24;399;4.795;399;4.625;399;4.367;399;0;0;0;0;0
80rd400_v4_p2;20158;6.846;20158;5.329;20158;4.807;20158;4.61;20158;4.336;20158;0;0;0;0;0
84fl417_v2_p1;370;10.865;370;7.923;370;6.21;370;5.498;370;6.595;370;0;0;0;0;0
84fl417_v2_p2;19059;13.608;19042;9.819;19026;7.322;19059;10.042;19059;6.734;19059;0;0,000891967;0,001731465;0;0
84fl417_v3_p1;319;13.576;319;11.366;319;14.119;319;11.582;319;9.699;319;0;0;0;0;0
84fl417_v3_p2;16324;18.184;16327;16.057;16237;11.815;16324;9.785;16250;15.086;16327;0,000183745;0;0,005512342;0,000183745;0,004716114
84fl417_v4_p1;366;14.482;366;10.071;365;9.814;365;8.014;365;9.332;366;0;0;0,00273224;0,00273224;0,00273224
84fl417_v4_p2;18750;16.781;18770;13.725;18750;11.398;18770;16.518;18737;12.087;18770;0,00106553;0;0,00106553;0;0,001758125
88pr439_v2_p1;429;9.567;428;8.448;427;7.609;427;6.593;429;5.649;429;0;0,002331002;0,004662005;0,004662005;0
88pr439_v2_p2;21719;9.956;21561;9.135;21719;9.758;21719;9.458;21719;8.156;21719;0;0,007274736;0;0;0
88pr439_v3_p1;428;9.695;428;8.573;429;8.643;428;9.7;428;10.683;429;0,002331002;0,002331002;0;0,002331002;0,002331002
88pr439_v3_p2;21726;12.345;21701;10.078;21710;9.235;21711;8.716;21713;6.816;21726;0;0,001150695;0,000736445;0,000690417;0,000598361
88pr439_v4_p1;438;10.914;438;9.24;438;7.375;438;5.83;438;7.293;438;0;0;0;0;0
88pr439_v4_p2;22177;11.298;22177;9.315;22177;7.049;22177;5.872;22177;5.32;22177;0;0;0;0;0
89pcb442_v2_p1;416;16.721;420;13.347;419;11.479;419;13.431;417;9.176;420;0,00952381;0;0,002380952;0,002380952;0,007142857
89pcb442_v2_p2;21085;18.875;21116;14.507;21136;13.864;21181;14.631;21127;8.691;21181;0,004532364;0,003068788;0,002124546;0;0,002549455
89pcb442_v3_p1;423;17.2;424;14.319;426;11.06;426;11.502;424;10.225;426;0,007042254;0,004694836;0;0;0,004694836
89pcb442_v3_p2;21584;19.079;21468;14.176;21584;13.902;21584;13.797;21584;12.09;21584;0;0,005374351;0;0;0
89pcb442_v4_p1;438;11.884;438;11.406;438;9.297;438;8.843;438;9.713;438;0;0;0;0;0
89pcb442_v4_p2;22204;14.525;22141;12.04;22204;9.975;22204;9.134;22141;7.14;22204;0;0,002837327;0;0;0,002837327
99d493_v2_p1;459;15.389;460;15.078;460;9.584;460;12.025;460;7.939;460;0,002173913;0;0;0;0
99d493_v2_p2;23222;18.315;23248;13.681;23223;15.815;23194;9.672;23248;11.624;23248;0,001118376;0;0,001075361;0,00232278;0
99d493_v3_p1;416;17.773;415;16.021;415;13.03;415;13.915;415;8.305;416;0;0,002403846;0,002403846;0,002403846;0,002403846
99d493_v3_p2;20986;19.941;20973;19.927;20998;21.968;21056;19.965;21029;19.294;21056;0,003324468;0,003941869;0,002754559;0;0,001282295
99d493_v4_p1;457;17.961;458;13.051;458;15.776;457;10.6;457;9.12;458;0,002183406;0;0;0,002183406;0,002183406
99d493_v4_p2;22972;22.811;22971;17.472;22968;12.895;22963;16.337;22992;13.922;22992;0,000869868;0,000913361;0,001043841;0,001261308;0
;;;;;;;;;;;;;;;;
Average;;33.130;;26.404;;25.078;;23.465;;19.612;;0,000722774;0,000628494;0,000563669;0,000543149;0,000654533
